%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%             X (in)              Y (in)              Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
                0              -11                0    2.9296017e-05        3745.8218   -3.2140313e-07    2.9296017e-05        3814.8275   -3.2140317e-07 
                0       -10.777778                0     3.015632e-05        3973.7888   -3.4978111e-07     3.015632e-05        4047.7401   -3.4978113e-07 
                0       -10.555556                0    3.1017905e-05        4221.1725   -3.8111213e-07    3.1017905e-05        4300.5468   -3.8111215e-07 
                0       -10.333333                0    3.1875791e-05        4490.1935   -4.1575012e-07    3.1875791e-05        4575.5248   -4.1575016e-07 
                0       -10.111111                0    3.2724104e-05        4783.4067   -4.5409821e-07    3.2724104e-05        4875.2932   -4.5409826e-07 
                0       -9.8888889                0    3.3555955e-05        5103.7675   -4.9662269e-07    3.3555955e-05        5202.8803   -4.9662273e-07 
                0       -9.6666667                0    3.4363337e-05        5454.7128   -5.4385905e-07    3.4363337e-05        5561.8062   -5.4385909e-07 
                0       -9.4444444                0    3.5136927e-05        5840.2656   -5.9642721e-07    3.5136927e-05        5956.1884   -5.9642726e-07 
                0       -9.2222222                0    3.5865995e-05        6265.1675   -6.5503742e-07    3.5865995e-05        6390.8759   -6.5503746e-07 
                0               -9                0    3.6538154e-05        6735.0504   -7.2053256e-07    3.6538154e-05        6871.6231    -7.205326e-07 
                0       -8.7777778                0    3.7139264e-05        7256.6631    -7.938981e-07    3.7139264e-05        7405.3178   -7.9389814e-07 
                0       -8.5555556                0    3.7653133e-05        7838.1738   -8.7629521e-07    3.7653133e-05        8000.2857   -8.7629523e-07 
                0       -8.3333333                0    3.8061342e-05        8489.5816   -9.6910459e-07    3.8061342e-05        8666.7037   -9.6910462e-07 
                0       -8.1111111                0    3.8342936e-05        9223.2882    -1.073976e-06    3.8342936e-05        9417.1726   -1.0739761e-06 
                0       -7.8888889                0    3.8474082e-05        10054.911   -1.1928918e-06    3.8474082e-05        10267.531   -1.1928919e-06 
                0       -7.6666667                0    3.8427703e-05        11004.467   -1.3282188e-06    3.8427703e-05        11238.036   -1.3282189e-06 
                0       -7.4444444                0    3.8173002e-05        12098.148   -1.4828081e-06    3.8173002e-05        12355.138   -1.4828081e-06 
                0       -7.2222222                0    3.7674583e-05        13371.066   -1.6600243e-06    3.7674583e-05        13654.211   -1.6600243e-06 
                0               -7                0    3.6891796e-05        14871.639   -1.8637945e-06    3.6891796e-05        15183.925   -1.8637945e-06 
                0       -6.7777778                0    3.5776915e-05        16668.854   -2.0984585e-06    3.5776915e-05         17013.47   -2.0984586e-06 
                0       -6.5555556                0    3.4272851e-05        18864.664   -2.3682485e-06    3.4272851e-05        19244.907   -2.3682486e-06 
