%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
       0.10999809            4.875       0.41051848        693.57951        222320.85        41747.275         10.50878        3368.4977        632.53446    0.00088478344        0.2836096      0.053256039        226207.59        3427.3878       0.28856783 
       0.10999809            4.625       0.41051848       -3840.8512        326071.35         23724.67       -58.194715        4940.4749        359.46469    -0.0048996856       0.41596172      0.030265016        326955.86        4953.8767       0.41709008 
       0.10999809            4.375       0.41051848       -8349.3619        351546.07        7394.0469       -126.50548        5326.4556        112.03101     -0.010651089       0.44845924     0.0094324157        351722.93        5329.1354       0.44868486 
       0.10999809            4.125       0.41051848         -16075.3        284380.04       -35362.503       -243.56516        4308.7886        -535.7955     -0.020506891       0.36277709     -0.045111132        287020.79        4348.7998       0.36614582 
       0.10999809            3.875       0.41051848        -36783.88       -15185.765       -129984.83       -557.33151       -230.08736       -1969.4672      -0.04692435     -0.019372132      -0.16581866        135940.13        2059.6989       0.17341569 
       0.10999809            3.625       0.41051848        -38518.67       -475233.49       -141256.99       -583.61621       -7200.5074       -2140.2575     -0.049137382      -0.60624444       -0.1801983        497276.68        7534.4951       0.63436443 
       0.10999809            3.375       0.41051848       -46749.778       -1003316.2       -171862.35       -708.32997       -15201.761       -2603.9751     -0.059637617       -1.2799075      -0.21924086        1019002.3        15439.429        1.2999178 
       0.10999809            3.125       0.41051848       -62726.778       -1676911.7       -225934.88       -950.40572       -25407.752       -3423.2558     -0.080019109       -2.1391977      -0.28821993        1693225.9        25654.938        2.1600094 
       0.10999809            2.875       0.41051848       -27586.619       -2219527.9       -74494.744       -417.97907        -33629.21       -1128.7082     -0.035191615       -2.8314007     -0.095031232          2220949        33650.742        2.8332136 
       0.10999809            2.625       0.41051848       -14860.141       -2384264.8       -11815.072       -225.15365       -36125.225       -179.01624      -0.01895674       -3.0415518     -0.015072215        2384340.4         36126.37        3.0416483 
       0.10999809            2.375       0.41051848        -10234.85       -2433836.5        1713.3714       -155.07349       -36876.311        25.960173     -0.013056363       -3.1047893     0.0021857085        2433858.6        36876.646        3.1048175 
       0.10999809            2.125       0.41051848       -6864.2888       -2448831.1        6330.3822       -104.00438       -37103.502        95.914881    -0.0087566155       -3.1239176     0.0080755231        2448848.9        37103.772        3.1239403 
       0.10999809            1.875       0.41051848       -4455.2365         -2447810        7684.9055       -67.503584        -37088.03        116.43796    -0.0056834428        -3.122615     0.0098034573        2447826.1        37088.275        3.1226355 
       0.10999809            1.625       0.41051848       -2815.5111       -2439114.2          7637.54        -42.65926       -36956.276         115.7203    -0.0035916829        -3.111522     0.0097430342        2439127.8        36956.482        3.1115393 
       0.10999809            1.375       0.41051848        -1747.353       -2427392.9        6886.0361       -26.475045        -36778.68        104.33388     -0.002229058       -3.0965693      0.008784358        2427403.3        36778.837        3.0965826 
       0.10999809            1.125       0.41051848       -1082.2774       -2415498.6        5739.8918       -16.398142       -36598.463        86.968057    -0.0013806364        -3.081396      0.007322248        2415505.6         36598.57         3.081405 
       0.10999809            0.875       0.41051848       -693.61682       -2405258.4        4354.8361       -10.509346       -36443.308        65.982365   -0.00088483104       -3.0683328     0.0055553643        2405262.4         36443.37         3.068338 
       0.10999809            0.625       0.41051848       -490.05103       -2397864.8        2818.0156       -7.4250156       -36331.285        42.697206   -0.00062514684        -3.058901     0.0035948777        2397866.5         36331.31        3.0589032 
       0.10999809            0.375       0.41051848       -405.26652       -2394094.6         1182.933       -6.1404018       -36274.161        17.923227   -0.00051698918       -3.0540915     0.0015090404        2394094.9        36274.165        3.0540919 
       0.10999809            0.125       0.41051848       -388.88556       -2394434.8       -514.41303       -5.8922055       -36279.315       -7.7941368   -0.00049609237       -3.0545254   -0.00065622488        2394434.9        36279.316        3.0545256 
       0.10999809           -0.125       0.41051848       -399.38241       -2399153.5        -2247.014       -6.0512486       -36350.811       -34.045667   -0.00050948296        -3.060545    -0.0028664641        2399154.6        36350.827        3.0605464 
       0.10999809           -0.375       0.41051848       -398.38515       -2408334.2       -3991.5015       -6.0361386       -36489.911       -60.477295   -0.00050821077       -3.0722565    -0.0050918667        2408337.5        36489.962        3.0722608 
       0.10999809           -0.625       0.41051848       -345.50475       -2421880.8       -5723.8299       -5.2349204       -36695.164       -86.724695   -0.00044075247       -3.0895377    -0.0073017583        2421887.6        36695.267        3.0895463 
       0.10999809           -0.875       0.41051848       -192.81738       -2439496.2       -7414.5078       -2.9214754       -36962.063       -112.34103    -0.0002459727       -3.1120092    -0.0094585172        2439507.4        36962.234        3.1120236 
       0.10999809           -1.125       0.41051848        121.86114       -2460625.9       -9021.5027        1.8463809       -37282.211       -136.68944    0.00015545545       -3.1389639     -0.011508524        2460642.5        37282.461         3.138985 
       0.10999809           -1.375       0.41051848        683.60458       -2484354.7       -10477.074        10.357645       -37641.738       -158.74355    0.00087205865       -3.1692342     -0.013365363        2484376.9        37642.074        3.1692625 
       0.10999809           -1.625       0.41051848        1610.7205       -2509221.8       -11659.185        24.404856       -38018.512       -176.65432     0.0020547591       -3.2009565     -0.014873354        2509249.4         38018.93        3.2009918 
       0.10999809           -1.875       0.41051848        3063.7474       -2532886.3       -12320.881        46.420415       -38377.065       -186.68002     0.0039083522       -3.2311448     -0.015717465        2532918.1        38377.547        3.2311854 
       0.10999809           -2.125       0.41051848        5244.6068       -2551455.3       -11892.562        79.463739       -38658.414       -180.19033     0.0066904243       -3.2548329     -0.015171068        2551488.5        38658.916        3.2548752 
       0.10999809           -2.375       0.41051848        8398.3027       -2557784.5       -8801.0428        127.24701       -38754.311       -133.34913      0.010713522       -3.2629069     -0.011227288        2557813.5        38754.749        3.2629438 
       0.10999809           -2.625       0.41051848        12971.006       -2535489.4        1792.6737         196.5304       -38416.506        27.161723      0.016546815       -3.2344656     0.0022868726        2535523.2        38417.018        3.2345087 
       0.10999809           -2.875       0.41051848          26991.5       -2400783.6        64597.022        408.96212       -36375.509        978.74275      0.034432436       -3.0626245      0.082404936        2401804.2        36390.972        3.0639264 
       0.10999809           -3.125       0.41051848        72663.215       -1824386.9        251092.67        1100.9578       -27642.226        3804.4344      0.092694793       -2.3273285       0.32031315        1843017.9        27924.514        2.3510956 
       0.10999809           -3.375       0.41051848        56199.235       -1060137.1        194040.65        851.50355       -16062.684        2940.0098      0.071692072       -1.3523926       0.24753319        1079213.1        16351.713        1.3767273 
       0.10999809           -3.625       0.41051848        47428.043       -449740.73        162194.66        718.60671       -6814.2534        2457.4949      0.060502864      -0.57372391         0.206908        480440.68        7279.4043       0.61288714 
       0.10999809           -3.875       0.41051848        45475.131        92839.163        152797.16        689.01713         1406.654        2315.1085      0.058011579       0.11843279       0.19491982        184483.25        2795.2008       0.23534104 
       0.10999809           -4.125       0.41051848        15173.985        425959.73        27076.962        229.90886        6453.9353        410.25701      0.019357103       0.54338703      0.034541459         427089.1         6471.047       0.54482775 
       0.10999809           -4.375       0.41051848        5811.5934        461630.74        -18371.71        88.054446        6994.4052       -278.35924     0.0074137162       0.58889173     -0.023436368        462032.72        7000.4958       0.58940452 
       0.10999809           -4.625       0.41051848        1422.3973        403304.21       -32393.605        21.551475        6110.6698       -490.81219     0.0018145196       0.51448591     -0.041323777        404605.55        6130.3871         0.516146 
       0.10999809           -4.875       0.41051848       -3371.3093        265426.08        -50876.88       -51.080443        4021.6073       -770.86182    -0.0043007018       0.33859795     -0.064902466        270279.16        4095.1389       0.34478892 
       0.30052038            4.875       0.30052038        10247.361           220388        38918.545        155.26305        3339.2121        589.67493      0.013072323        0.2811439      0.049647494        224032.43        3394.4308       0.28579302 
       0.30052038            4.625       0.30052038       -3182.3324         326392.9        24326.054       -48.217158         4945.347        368.57658    -0.0040596284       0.41637192      0.031032188        327313.63        4959.2973       0.41754647 
       0.30052038            4.375       0.30052038       -16102.651        349522.73        10686.893       -243.97956         5295.799        161.92261     -0.020541781       0.44587812      0.013633023        350056.63        5303.8883        0.4465592 
       0.30052038            4.125       0.30052038       -39527.935        277572.15       -22859.316        -598.9081        4205.6387       -346.35327     -0.050424878       0.35409242     -0.029161104        281302.87        4262.1648       0.35885161 
       0.30052038            3.875       0.30052038       -97928.806       -19615.679       -92370.426       -1483.7698       -297.20726       -1399.5519      -0.12492553     -0.025023271      -0.11783483        136040.88        2061.2255       0.17354423 
       0.30052038            3.625       0.30052038       -104448.51       -476074.22       -102102.83       -1582.5532       -7213.2458       -1547.0125      -0.13324256      -0.60731695      -0.13025023        497977.05        7545.1069       0.63525788 
       0.30052038            3.375       0.30052038       -126892.35       -1002347.5       -124359.72       -1922.6113       -15187.083       -1884.2382      -0.16187365       -1.2786716      -0.15864283        1017972.2        15423.822        1.2986038 
       0.30052038            3.125       0.30052038       -168404.05       -1671714.5       -162033.98       -2551.5765       -25329.008       -2455.0603      -0.21482917       -2.1325678      -0.20670303        1687970.5         25575.31        2.1533052 
       0.30052038            2.875       0.30052038       -70400.735       -2211724.8       -51195.423       -1066.6778       -33510.981       -775.68823       -0.0898086       -2.8214464     -0.065308825        2213437.1        33536.925        2.8236308 
       0.30052038            2.625       0.30052038       -33142.415       -2382701.2       -2942.9282       -502.15781       -36101.533       -44.589821     -0.042279018       -3.0395571    -0.0037542258        2382933.5        36105.053        3.0398535 
       0.30052038            2.375       0.30052038       -20637.376       -2436144.8        8163.2298       -312.68752       -36911.284         123.6853     -0.026326627       -3.1077339      0.010413645        2436245.9        36912.816        3.1078628 
       0.30052038            2.125       0.30052038       -12651.284       -2451889.7        10731.517       -191.68613       -37149.845        162.59875     -0.016138953       -3.1278194       0.01368995        2451945.9        37150.695         3.127891 
       0.30052038            1.875       0.30052038       -7449.6663       -2450491.6        10430.899       -112.87373       -37128.661        158.04393    -0.0095033681       -3.1260359      0.013306459        2450525.2        37129.169        3.1260786 
       0.30052038            1.625       0.30052038       -4146.3139       -2441222.6        9218.4892       -62.822937       -36988.221        139.67408    -0.0052893573       -3.1142116      0.011759815        2441243.5        36988.538        3.1142383 
       0.30052038            1.375       0.30052038       -2150.4114       -2429007.2         7726.966       -32.581991       -36803.139        117.07524    -0.0027432304       -3.0986286      0.009857113        2429020.4        36803.339        3.0986455 
       0.30052038            1.125       0.30052038       -1044.3869       -2416745.1        6158.5475       -15.824044        -36617.35        93.311325    -0.0013323004       -3.0829862     0.0078563174        2416753.2        36617.473        3.0829965 
       0.30052038            0.875       0.30052038       -538.59557       -2406248.2        4574.1564       -8.1605389       -36458.307          69.3054   -0.00068707399       -3.0695956     0.0058351462        2406252.6        36458.373        3.0696012 
       0.30052038            0.625       0.30052038       -432.06485       -2398684.4        2988.6446       -6.5464371       -36343.704        45.282493    -0.0005511752       -3.0599466     0.0038125452        2398686.3        36343.733         3.059949 
       0.30052038            0.375       0.30052038       -581.68334       -2394810.7        1402.0094       -8.8133839       -36285.011        21.242567   -0.00074204007        -3.055005     0.0017885112        2394811.2        36285.018        3.0550056 
       0.30052038            0.125       0.30052038        -879.9002       -2395101.2       -190.54113       -13.331821       -36289.413       -2.8869869    -0.0011224685       -3.0553756   -0.00024306894        2395101.4        36289.415        3.0553758 
       0.30052038           -0.125       0.30052038       -1238.6415         -2399818       -1795.5396       -18.767295       -36360.879       -27.205145    -0.0015801065       -3.0613927    -0.0022905286          2399819        36360.894        3.0613939 
       0.30052038           -0.375       0.30052038       -1576.8412       -2409044.1       -3420.5187       -23.891533       -36500.668        -51.82604      -0.00201154       -3.0731622     -0.004363477        2409047.1        36500.713         3.073166 
       0.30052038           -0.625       0.30052038       -1809.2796       -2422689.4       -5073.9267       -27.413327       -36707.415       -76.877677    -0.0023080564       -3.0905691    -0.0064726916        2422695.4        36707.505        3.0905768 
       0.30052038           -0.875       0.30052038       -1834.6072       -2440468.7       -6764.8177       -27.797079       -36976.798       -102.49724    -0.0023403662       -3.1132498    -0.0086297225        2440478.7        36976.951        3.1132627 
       0.30052038           -1.125       0.30052038       -1520.3266       -2461847.3       -8500.9467       -23.035252       -37300.716       -128.80222    -0.0019394458        -3.140522     -0.010844462        2461862.4        37300.946        3.1405413 
       0.30052038           -1.375       0.30052038       -682.20669       -2485935.2       -10281.453       -10.336465       -37665.685       -155.77959    -0.0008702754       -3.1712504     -0.013115813        2485956.6        37666.009        3.1712777 
       0.30052038           -1.625       0.30052038        944.46496       -2511293.2       -12072.575        14.310075       -38049.896       -182.91781     0.0012048322        -3.203599     -0.015400707        2511322.4        38050.339        3.2036362 
       0.30052038           -1.875       0.30052038        3743.7542       -2535557.2       -13731.053        56.723549       -38417.534       -208.04626     0.0047758213       -3.2345521     -0.017516389        2535597.2        38418.139         3.234603 
       0.30052038           -2.125       0.30052038        8273.5014       -2554640.6       -14766.829        125.35608       -38706.676       -223.73983      0.010554316       -3.2588964     -0.018837704        2554696.7        38707.526        3.2589679 
       0.30052038           -2.375       0.30052038        15434.122         -2560698       -13582.667        233.85033       -38798.455       -205.79799      0.019688954       -3.2666236     -0.017327097        2560780.5        38799.705        3.2667289 
       0.30052038           -2.625       0.30052038        27127.313       -2535751.1       -5408.1063         411.0199       -38420.471       -81.941005       0.03460569       -3.2347994    -0.0068989969          2535902        38422.757        3.2349919 
       0.30052038           -2.875       0.30052038        68606.782       -2395428.1        41735.722        1039.4967       -36294.366        632.35943      0.087520095       -3.0557926      0.053241302        2396773.8        36314.755        3.0575093 
       0.30052038           -3.125       0.30052038        194725.18       -1819764.8        177577.16        2950.3814       -27572.194         2690.563       0.24840643       -2.3214322        0.2265311        1838748.4        27859.824         2.345649 
       0.30052038           -3.375       0.30052038        150275.03         -1058783        138471.93        2276.8944       -16042.167        2098.0596        0.1917024       -1.3506651       0.17664546        1078322.1        16338.213        1.3755907 
       0.30052038           -3.625       0.30052038        126396.07        -450280.5        115499.11         1915.092       -6822.4318        1749.9866       0.16124057      -0.57441249       0.14733957        481734.93        7299.0141       0.61453818 
       0.30052038           -3.875       0.30052038        120678.65        89626.611        107377.01        1828.4644         1357.979        1626.9244       0.15394698       0.11433461       0.13697839        184732.48         2798.977       0.23565898 
       0.30052038           -4.125       0.30052038        36558.448        421198.83        15465.554        553.91587        6381.8004        234.32658      0.046636771       0.53731366      0.019729052        423065.19        6410.0787       0.53969454 
       0.30052038           -4.375       0.30052038        8627.4348        460884.93       -19279.278        130.71871        6983.1051       -292.11027       0.01100582       0.58794032     -0.024594131        461368.67        6990.4343        0.5885574 
       0.30052038           -4.625       0.30052038         -3443.58        404003.87       -30723.327       -52.175454        6121.2708       -465.50495    -0.0043928958       0.51537845     -0.039193042        405185.03        6139.1671       0.51688523 
       0.30052038           -4.875       0.30052038       -17404.745         263627.8       -45453.805       -263.70826        3994.3606       -688.69402     -0.022202833       0.33630393     -0.057984375        268083.18        4061.8664       0.34198755 
       0.41051848            4.875       0.10999809        25403.101        218351.16        17296.339        384.89547        3308.3509        262.06575      0.032406152       0.27854556      0.022064543        220503.31        3340.9593       0.28129101 
       0.41051848            4.625       0.10999809        5606.1816           326430        11425.329        84.942145         4945.909        173.11105      0.007151677       0.41641924       0.01457503        326677.99        4949.6665        0.4167356 
       0.41051848            4.375       0.10999809       -12901.118        346867.75        5818.7526       -195.47149         5255.572        88.162919      -0.01645766       0.44249122      0.007422849        347156.35        5259.9448       0.44285938 
       0.41051848            4.125       0.10999809       -47554.145        271469.51       -7064.8186       -720.51734        4113.1743       -107.04271     -0.060663729       0.34630741    -0.0090124267        275693.67        4177.1769       0.35169608 
       0.41051848            3.875       0.10999809       -130795.38       -23235.014       -32927.855       -1981.7481       -352.04567       -498.90689      -0.16685265     -0.029640374     -0.042005307        136863.22        2073.6851       0.17459326 
       0.41051848            3.625       0.10999809       -141831.51       -476760.28       -36956.968       -2148.9623       -7223.6406       -559.95406       -0.1809312      -0.60819213     -0.047145154        498780.87         7557.286        0.6362833 
       0.41051848            3.375       0.10999809       -172479.26       -1001320.1       -45063.398       -2613.3222       -15171.517       -682.77875      -0.22002783        -1.277361     -0.057486341        1017065.3         15410.08        1.2974468 
       0.41051848            3.125       0.10999809       -226835.84       -1667500.9       -58298.446       -3436.9067       -25265.166       -883.30978      -0.28936927       -2.1271926     -0.074369987        1683868.3        25513.157        2.1480721 
       0.41051848            2.875       0.10999809       -88794.811       -2204896.6       -17262.548       -1345.3759       -33407.525       -261.55375       -0.1132735       -2.8127359     -0.022021435        2206751.4        33435.627         2.815102 
       0.41051848            2.625       0.10999809       -35173.932       -2380357.7        982.23488       -532.93836       -36066.026        14.882347     -0.044870577       -3.0365676     0.0012530145        2380617.8        36069.966        3.0368994 
       0.41051848            2.375       0.10999809       -18226.189       -2438107.6        5485.8351       -276.15438       -36941.024        83.118714      -0.02325073       -3.1102378     0.0069981538        2438181.9        36942.149        3.1103326 
