%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ
             7.75       -3.0817489            0.625        42271.129          1068592       -137005.37 
              7.5       -2.9823376            0.625        320645.95        1476423.4       -41416.875 
             7.25       -2.8829264            0.625        598956.98        1805324.3        -25906.02 
                7       -2.7835151            0.625        363477.32        2617251.2       -9796.6544 
             7.75       -2.8249365            0.625        50454.056          1202440       -56016.127 
              7.5       -2.7338095            0.625        252689.73        1751063.6       -34213.382 
             7.25       -2.6426825            0.625        310744.66          1989508       -20665.155 
                7       -2.5515555            0.625        143825.79          2273773       -19022.895 
             7.75       -2.5681241            0.625        41145.339        1432917.1        -31145.04 
              7.5       -2.4852814            0.625        148841.47        1891408.3       -19124.997 
             7.25       -2.4024387            0.625        136497.58        2001332.7       -16410.178 
                7       -2.3195959            0.625        58975.868        2135121.6       -15770.774 
             7.75       -2.3113117            0.625        11504.457        1626977.4        -21130.83 
              7.5       -2.2367532            0.625        71633.764        1943749.3       -14519.636 
             7.25       -2.1621948            0.625        65749.072        1994251.2       -13726.659 
                7       -2.0876364            0.625        29824.007        2076749.1       -13547.112 
             7.75       -2.0544993            0.625        -2445.169        1751558.1       -17671.972 
              7.5       -1.9882251            0.625        33489.909        1972050.8       -12199.179 
             7.25       -1.9219509            0.625        32357.883        1993773.6       -11653.786 
                7       -1.8556768            0.625        16512.461        2049433.5       -11591.951 
             7.75       -1.7976869            0.625       -7924.4556        1834657.7       -15148.347 
              7.5        -1.739697            0.625        15545.489        1988648.2        -10326.16 
             7.25       -1.6817071            0.625        16817.687          1997503       -9773.3841 
                7       -1.6237172            0.625        10132.929        2036332.3        -9762.891 
             7.75       -1.5408745            0.625        -9315.867        1893488.3       -12777.121 
              7.5       -1.4911688            0.625        7096.1538          1999619       -8656.8853 
             7.25       -1.4414632            0.625        9361.5902        2002980.2       -8217.3442 
                7       -1.3917576            0.625        6870.6773        2029740.9        -8192.034 
             7.75        -1.284062            0.625       -8789.7109        1936901.1       -10555.968 
              7.5       -1.2426407            0.625        3183.5265        2007359.8        -7111.594 
             7.25       -1.2012193            0.625        5371.2549        2008567.5       -6678.8939 
                7        -1.159798            0.625        4698.7428          2026389       -6690.8977 
             7.75       -1.0272496            0.625       -7527.6922          1969241       -8353.3157 
              7.5      -0.99411255            0.625        1219.3672        2013072.2       -5613.6295 
             7.25      -0.96097546            0.625        3171.3482        2013356.8       -5238.7533 
                7      -0.92783838            0.625        3262.2021          2024777       -5254.5009 
             7.75      -0.77043723            0.625       -5756.5738        1992807.3       -6177.6245 
              7.5      -0.74558441            0.625        336.22092        2017154.5       -4126.0593 
             7.25       -0.7207316            0.625        1823.2966        2017234.9       -3853.5053 
                7      -0.69587878            0.625        2214.1089        2023985.8       -3834.2397 
             7.75      -0.51362482            0.625       -3789.8649        2008984.7        -4039.582 
              7.5      -0.49705627            0.625        115.00387        2019780.6       -2688.7633 
             7.25      -0.48048773            0.625        1018.0766        2020030.6       -2481.2008 
                7      -0.46391919            0.625        1302.5756        2023603.7       -2434.5248 
             7.75      -0.25681241            0.625       -1825.7577        2018379.9       -1905.4341 
              7.5      -0.24852814            0.625       -5.8789787        2021227.2       -1250.4358 
             7.25      -0.24024387            0.625        378.23666        2021636.9       -1134.2079 
                7      -0.23195959            0.625        491.95098        2023426.2       -1046.6318 
             7.75   -8.8123953e-16            0.625        158.87415        2021231.9        215.83856 
              7.5   -8.9511731e-16            0.625       -35.939876        2021578.9        175.48142 
             7.25   -1.0547119e-15            0.625       -222.06491        2022060.7        204.08943 
                7   -1.0616508e-15            0.625       -332.60221          2023380        331.52391 
             7.75       0.25681241            0.625        2144.2362        2017627.2        2336.9956 
              7.5       0.24852814            0.625       -64.368725        2020856.9        1601.0525 
             7.25       0.24024387            0.625       -819.56895        2021250.3         1541.621 
                7       0.23195959            0.625       -1154.3926        2023474.3        1707.7646 
             7.75       0.51362482            0.625        4110.5942          2007480        4470.8418 
              7.5       0.49705627            0.625       -180.29593        2019041.7        3038.3843 
             7.25       0.48048773            0.625       -1450.9507        2019258.9        2886.3825 
                7       0.46391919            0.625       -1956.6665        2023694.9        3089.8991 
             7.75       0.77043723            0.625        6081.2424          1990552        6608.3904 
              7.5       0.74558441            0.625       -392.90756        2016050.4        4474.0841 
             7.25        0.7207316            0.625       -2241.6844        2016080.8        4255.0234 
                7       0.69587878            0.625       -2854.0709        2024110.2        4480.0121 
             7.75        1.0272496            0.625        7858.4035        1966237.5        8783.4253 
              7.5       0.99411255            0.625       -1262.9217        2011608.3        5959.3889 
             7.25       0.96097546            0.625       -3568.2893        2011824.3        5634.9942 
                7       0.92783838            0.625       -3881.8176        2024918.8        5886.7708 
             7.75         1.284062            0.625        9129.6255        1933153.5        10985.271 
              7.5        1.2426407            0.625       -3207.3772          2005544        7454.5105 
             7.25        1.2012193            0.625       -5738.0181        2006661.2        7068.4476 
                7         1.159798            0.625       -5291.0538        2026526.3        7305.5766 
             7.75        1.5408745            0.625        9669.8352        1889003.9        13205.383 
              7.5        1.4911688            0.625        -7090.022        1997462.8        8996.3491 
             7.25        1.4414632            0.625       -9685.6482        2000704.4        8598.6082 
                7        1.3917576            0.625       -7427.0043        2029842.8        8784.8075 
             7.75        1.7976869            0.625        8302.1505          1829453        15575.337 
              7.5         1.739697            0.625       -15489.032        1986169.7        10661.406 
             7.25        1.6817071            0.625       -17078.043        1994859.8        10144.714 
                7        1.6237172            0.625       -10641.433        2036355.4        10328.873 
             7.75        2.0544993            0.625          2865.86        1745672.1        18098.249 
              7.5        1.9882251            0.625       -33341.682        1969281.2        12529.629 
             7.25        1.9219509            0.625       -32513.816        1990758.4          12012.9 
                7        1.8556768            0.625       -16953.137        2049311.9          12124.8 
             7.75        2.3113117            0.625       -11000.149          1620508        21560.577 
              7.5        2.2367532            0.625        -71304.56          1940752         14845.68 
             7.25        2.1621948            0.625       -65715.173        1990845.9            14070 
                7        2.0876364            0.625       -30158.608        2076372.7        14038.141 
             7.75        2.5681241            0.625       -40480.817        1426097.2        31599.199 
              7.5        2.4852814            0.625       -148144.83        1888338.9         19452.82 
             7.25        2.4024387            0.625          -136086        1997489.7        16730.776 
                7        2.3195959            0.625       -59125.391        2134283.7        16201.988 
             7.75        2.8249365            0.625       -49509.184        1195810.8        56603.387 
              7.5        2.7338095            0.625       -251303.49        1748315.8        34582.731 
             7.25        2.6426825            0.625       -309482.99          1985268        20941.424 
                7        2.5515555            0.625       -143517.88        2271994.9        19357.093 
             7.75        3.0817489            0.625       -40218.452        1065003.7        138832.22 
              7.5        2.9823376            0.625       -317803.84        1474002.7        41932.204 
             7.25        2.8829264            0.625       -596166.68        1801603.5        26166.482 
                7        2.7835151            0.625       -361947.18        2613112.6        9763.0417 
             7.75       -3.0817489            0.375        97798.784        1241813.9        -130951.3 
              7.5       -2.9823376            0.375        378326.22        1446979.5       -41785.219 
             7.25       -2.8829264            0.375        628529.51        1809034.2       -17651.212 
                7       -2.7835151            0.375        378234.03        2560290.9        2711.7955 
             7.75       -2.8249365            0.375        53684.199        1602278.6       -45007.665 
              7.5       -2.7338095            0.375        231333.96        1742525.9       -27879.355 
             7.25       -2.6426825            0.375        281397.45        2022885.5       -13057.211 
                7       -2.5515555            0.375        123984.56        2197707.4       -9993.2475 
             7.75       -2.5681241            0.375        34940.709        1787769.5       -14852.778 
              7.5       -2.4852814            0.375         125518.8        1892560.4       -12423.045 
             7.25       -2.4024387            0.375        118894.28        2023840.2       -10546.924 
                7       -2.3195959            0.375        44721.692        2075413.7       -8814.3779 
             7.75       -2.3113117            0.375        8397.2005        1901365.5       -5144.5458 
              7.5       -2.2367532            0.375        53598.833        1948441.1       -7857.0395 
             7.25       -2.1621948            0.375        50720.027        2010093.7       -8751.3846 
                7       -2.0876364            0.375        18164.735        2029615.1       -7788.8555 
             7.75       -2.0544993            0.375        -4291.789          1956941       -3534.6101 
