%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
             7.75       -3.0817489            0.625        42271.129          1068592       -137005.37        42.313442        1069.6617       -137.14252       0.05317264        1.3441765      -0.17233837          1078168        1079.2473        1.3562221 
              7.5       -2.9823376            0.625        320645.95        1476423.4       -41416.875        320.96692        1477.9013       -41.458333       0.40333892        1.8571856     -0.052098078        1511408.4        1512.9213         1.901193 
             7.25       -2.8829264            0.625        598956.98        1805324.3        -25906.02        599.55654        1807.1314       -25.931952       0.75342497        2.2709083     -0.032587051        1902266.1        1904.1703         2.392851 
                7       -2.7835151            0.625        363477.32        2617251.2       -9796.6544        363.84116         2619.871       -9.8064609       0.45721629         3.292227     -0.012323162        2642388.2        2645.0332        3.3238468 
             7.75       -2.8249365            0.625        50454.056          1202440       -56016.127        50.504561        1203.6436       -56.072199      0.063465903        1.5125432     -0.070462404        1204800.9        1206.0069         1.515513 
              7.5       -2.7338095            0.625        252689.73        1751063.6       -34213.382        252.94267        1752.8165        -34.24763       0.31785713        2.2026541     -0.043036841        1769532.8        1771.3042        2.2258864 
             7.25       -2.6426825            0.625        310744.66          1989508       -20665.155        311.05572        1991.4995       -20.685841       0.39088415         2.502592     -0.025994594        2013735.6        2015.7514        2.5330679 
                7       -2.5515555            0.625        143825.79          2273773       -19022.895        143.96976        2276.0491       -19.041936       0.18091774        2.8601676     -0.023928803        2278396.7        2280.6774        2.8659837 
             7.75       -2.5681241            0.625        41145.339        1432917.1        -31145.04        41.186525        1434.3514       -31.176216      0.051756514        1.8024592     -0.039177189          1433846        1435.2813        1.8036276 
              7.5       -2.4852814            0.625        148841.47        1891408.3       -19124.997        148.99046        1893.3016       -19.144141       0.18722693        2.3791929     -0.024057238        1897352.1        1899.2513        2.3866696 
             7.25       -2.4024387            0.625        136497.58        2001332.7       -16410.178        136.63422         2003.336       -16.426604       0.17169962        2.5174663      -0.02064228        2006049.2        2008.0573        2.5233992 
                7       -2.3195959            0.625        58975.868        2135121.6       -15770.774        59.034903        2137.2589       -15.786561      0.074185447        2.6857587     -0.019837977        2135994.2        2138.1323        2.6868563 
             7.75       -2.3113117            0.625        11504.457        1626977.4        -21130.83        11.515973         1628.606       -21.151982      0.014471398        2.0465667     -0.026580365        1627155.3        1628.7841        2.0467905 
              7.5       -2.2367532            0.625        71633.764        1943749.3       -14519.636        71.705469         1945.695        -14.53417       0.09010775        2.4450325     -0.018264177          1945123        1947.0701        2.4467605 
             7.25       -2.1621948            0.625        65749.072        1994251.2       -13726.659        65.814887        1996.2474         -13.7404      0.082705426        2.5085585     -0.017266695          1995382        1997.3793        2.5099809 
                7       -2.0876364            0.625        29824.007        2076749.1       -13547.112        29.853861        2078.8279       -13.560673      0.037515469        2.6123322     -0.017040844        2077007.4        2079.0865        2.6126572 
             7.75       -2.0544993            0.625        -2445.169        1751558.1       -17671.972       -2.4476166        1753.3114       -17.689662    -0.0030757658        2.2032761     -0.022229484        1751648.9        1753.4023        2.2033903 
              7.5       -1.9882251            0.625        33489.909        1972050.8       -12199.179        33.523432        1974.0249        -12.21139      0.042126787        2.4806328     -0.015345285        1972372.9        1974.3473        2.4810379 
             7.25       -1.9219509            0.625        32357.883        1993773.6       -11653.786        32.390273        1995.7694       -11.665451      0.040702818        2.5079578     -0.014659238        1994070.3        1996.0663        2.5083309 
                7       -1.8556768            0.625        16512.461        2049433.5       -11591.951         16.52899         2051.485       -11.603555      0.020770942        2.5779721     -0.014581457        2049532.8        2051.5844         2.578097 
             7.75       -1.7976869            0.625       -7924.4556        1834657.7       -15148.347        -7.932388        1836.4942        -15.16351    -0.0099681328        2.3078067     -0.019055029        1834737.4         1836.574        2.3079069 
              7.5        -1.739697            0.625        15545.489        1988648.2        -10326.16         15.56105        1990.6389       -10.336497      0.019554592        2.5015106     -0.012989225        1988735.8        1990.7265        2.5016207 
             7.25       -1.6817071            0.625        16817.687          1997503       -9773.3841        16.834522        1999.5025       -9.7831673      0.021154884         2.512649     -0.012293891        1997597.7        1999.5973        2.5127681 
                7       -1.6237172            0.625        10132.929        2036332.3        -9762.891        10.143072        2038.3707       -9.7726636       0.01274616        2.5614921     -0.012280691        2036380.9        2038.4193        2.5615533 
             7.75       -1.5408745            0.625        -9315.867        1893488.3       -12777.121       -9.3251922        1895.3837       -12.789911     -0.011718382        2.3818093     -0.016072276        1893554.3        1895.4497        2.3818924 
              7.5       -1.4911688            0.625        7096.1538          1999619       -8656.8853         7.103257        2001.6206       -8.6655509      0.008926216        2.5153106     -0.010889452        1999650.3        2001.6519          2.51535 
             7.25       -1.4414632            0.625        9361.5902        2002980.2       -8217.3442        9.3709612        2004.9851       -8.2255698      0.011775897        2.5195386     -0.010336556        2003018.9        2005.0239        2.5195874 
                7       -1.3917576            0.625        6870.6773        2029740.9        -8192.034        6.8775549        2031.7726       -8.2002342     0.0086425904        2.5532008     -0.010304718          2029769        2031.8008        2.5532362 
             7.75        -1.284062            0.625       -8789.7109        1936901.1       -10555.968       -8.7985094        1938.8399       -10.566535     -0.011056533        2.4364181       -0.0132783        1936949.8        1938.8887        2.4364794 
              7.5       -1.2426407            0.625        3183.5265        2007359.8        -7111.594        3.1867132        2009.3692       -7.1187127     0.0040045419        2.5250478    -0.0089456382          2007375        2009.3843        2.5250668 
             7.25       -1.2012193            0.625        5371.2549        2008567.5       -6678.8939        5.3766315        2010.5781       -6.6855795     0.0067564744         2.526567     -0.008401347        2008585.8        2010.5964          2.52659 
                7        -1.159798            0.625        4698.7428          2026389       -6690.8977        4.7034462        2028.4175       -6.6975953     0.0059105248        2.5489846    -0.0084164465        2026405.5         2028.434        2.5490053 
             7.75       -1.0272496            0.625       -7527.6922          1969241       -8353.3157       -7.5352274        1971.2122       -8.3616774    -0.0094690461        2.4770983     -0.010507594        1969273.1        1971.2444        2.4771387 
              7.5      -0.99411255            0.625        1219.3672        2013072.2       -5613.6295        1.2205878        2015.0873       -5.6192488     0.0015338358        2.5322334    -0.0070613563        2013080.4        2015.0955        2.5322437 
             7.25      -0.96097546            0.625        3171.3482        2013356.8       -5238.7533        3.1745227        2015.3722       -5.2439973     0.0039892229        2.5325914    -0.0065898013        2013366.1        2015.3815        2.5326031 
                7      -0.92783838            0.625        3262.2021          2024777       -5254.5009        3.2654675        2026.8038       -5.2597607     0.0041035075        2.5469567    -0.0066096102        2024786.4        2026.8132        2.5469686 
             7.75      -0.77043723            0.625       -5756.5738        1992807.3       -6177.6245       -5.7623361        1994.8021       -6.1838083    -0.0072411651        2.5067422    -0.0077708027        1992825.1          1994.82        2.5067647 
              7.5      -0.74558441            0.625        336.22092        2017154.5       -4126.0593       0.33655748        2019.1737       -4.1301895     0.0004229306        2.5373685    -0.0051901492        2017158.7        2019.1779        2.5373738 
             7.25       -0.7207316            0.625        1823.2966        2017234.9       -3853.5053        1.8251217        2019.2542       -3.8573626     0.0022935156        2.5374697    -0.0048473049        2017239.4        2019.2587        2.5374753 
                7      -0.69587878            0.625        2214.1089        2023985.8       -3834.2397        2.2163253        2026.0119       -3.8380778     0.0027851165        2.5459616    -0.0048230708        2023990.7        2026.0167        2.5459677 
             7.75      -0.51362482            0.625       -3789.8649        2008984.7        -4039.582       -3.7936586        2010.9957       -4.0436257     -0.004767252        2.5270918    -0.0050813699        2008992.4        2011.0034        2.5271014 
              7.5      -0.49705627            0.625        115.00387        2019780.6       -2688.7633       0.11511899        2021.8024       -2.6914547    0.00014466279        2.5406718    -0.0033821818        2019782.4        2021.8042        2.5406741 
             7.25      -0.48048773            0.625        1018.0766        2020030.6       -2481.2008        1.0190957        2022.0527       -2.4836844     0.0012806334        2.5409863    -0.0031210899        2020032.4        2022.0544        2.5409885 
                7      -0.46391919            0.625        1302.5756        2023603.7       -2434.5248        1.3038795        2025.6293       -2.4369618     0.0016385033        2.5454808    -0.0030623765        2023605.5        2025.6312        2.5454832 
             7.75      -0.25681241            0.625       -1825.7577        2018379.9       -1905.4341       -1.8275853        2020.4003       -1.9073415    -0.0022966114        2.5389099     -0.002396836        2018381.6         2020.402        2.5389121 
              7.5      -0.24852814            0.625       -5.8789787        2021227.2       -1250.4358    -0.0058848635        2023.2504       -1.2516875   -7.3951376e-06        2.5424915    -0.0015729169        2021227.6        2023.2508         2.542492 
             7.25      -0.24024387            0.625        378.23666        2021636.9       -1134.2079       0.37861528        2023.6605       -1.1353432    0.00047578199        2.5430068    -0.0014267143        2021637.2        2023.6609        2.5430073 
