%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%             X (in)              Y (in)              Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
                0              -11                0    -7.171973e-06        3816.5604   -1.6964518e-07    -7.171973e-06        3885.5661   -1.6964522e-07 
                0       -10.777778                0   -7.5382182e-06        4051.2594   -1.8757168e-07   -7.5382182e-06        4125.2106    -1.875717e-07 
                0       -10.555556                0   -7.9263843e-06        4306.2917   -2.0787105e-07   -7.9263843e-06         4385.666   -2.0787108e-07 
                0       -10.333333                0   -8.3376732e-06        4584.0425   -2.3092821e-07   -8.3376732e-06        4669.3738   -2.3092825e-07 
                0       -10.111111                0   -8.7732633e-06        4887.2685   -2.5718083e-07   -8.7732633e-06         4979.155   -2.5718087e-07 
                0       -9.8888889                0   -9.2343168e-06        5219.1741   -2.8716462e-07   -9.2343168e-06        5318.2869   -2.8716466e-07 
                0       -9.6666667                0    -9.721884e-06        5583.5064   -3.2151161e-07   -9.7218841e-06        5690.5998   -3.2151165e-07 
                0       -9.4444444                0    -1.023689e-05        5984.6777   -3.6096256e-07    -1.023689e-05        6100.6004   -3.6096261e-07 
                0       -9.2222222                0   -1.0780041e-05        6427.9229   -4.0644584e-07   -1.0780041e-05        6553.6313   -4.0644588e-07 
                0               -9                0   -1.1351754e-05        6919.5057   -4.5902797e-07   -1.1351754e-05        7056.0783   -4.5902802e-07 
                0       -8.7777778                0   -1.1951942e-05        7466.9923   -5.2002667e-07   -1.1951942e-05         7615.647    -5.200267e-07 
                0       -8.5555556                0   -1.2579919e-05        8079.6217   -5.9101892e-07   -1.2579919e-05        8241.7337   -5.9101894e-07 
                0       -8.3333333                0   -1.3234103e-05         8768.814   -6.7392748e-07   -1.3234103e-05        8945.9361   -6.7392751e-07 
                0       -8.1111111                0   -1.3911686e-05        9548.8843   -7.7105299e-07   -1.3911686e-05        9742.7687   -7.7105304e-07 
                0       -7.8888889                0   -1.4608195e-05        10438.067   -8.8522163e-07   -1.4608195e-05        10650.686   -8.8522168e-07 
                0       -7.6666667                0   -1.5316849e-05        11460.021   -1.0198321e-06   -1.5316849e-05        11693.591   -1.0198322e-06 
                0       -7.4444444                0   -1.6027662e-05        12646.111   -1.1789817e-06   -1.6027662e-05        12903.101   -1.1789818e-06 
                0       -7.2222222                0   -1.6726326e-05        14038.947   -1.3675763e-06   -1.6726326e-05        14322.092   -1.3675763e-06 
                0               -7                0   -1.7392313e-05        15698.089    -1.591442e-06   -1.7392313e-05        16010.375    -1.591442e-06 
                0       -6.7777778                0   -1.7996292e-05        17709.514    -1.857185e-06   -1.7996292e-05         18054.13    -1.857185e-06 
                0       -6.5555556                0   -1.8495872e-05        20201.827   -2.1720547e-06   -1.8495872e-05         20582.07   -2.1720547e-06 
                0       -6.3333333                0   -1.8828084e-05         23374.63   -2.5429197e-06   -1.8828084e-05        23793.712   -2.5429197e-06 
                0       -6.1111111                0   -1.8894946e-05        27547.488   -2.9738357e-06   -1.8894946e-05        28008.213   -2.9738358e-06 
                0       -5.8888889                0   -1.8531558e-05        33233.232   -3.4602191e-06   -1.8531558e-05        33737.464   -3.4602192e-06 
                0       -5.6666667                0    -1.742926e-05        41160.834    -3.974596e-06    -1.742926e-05        41708.669    -3.974596e-06 
                0       -5.4444444                0   -1.4962408e-05        51593.792   -4.4414517e-06   -1.4962408e-05        52182.359   -4.4414518e-06 
                0       -5.2222222                0   -1.0126928e-05        59490.657   -4.7597955e-06   -1.0126929e-05        60112.497   -4.7597956e-06 
                0               -5                0   -3.8010608e-06        46299.713   -5.1524008e-06    -3.801061e-06        46940.848   -5.1524009e-06 
