%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
       0.10999809           -4.875       0.41051848       -6950.2439        323651.63       -63348.341       -103.73498        4830.6214       -945.49763    -0.0088642913       0.41278298     -0.080794021        329866.18        4923.3759       0.42070897 
       0.30052038           -4.875       0.30052038       -26944.397        322010.47       -54511.787       -402.15518        4806.1264       -813.60876     -0.034364691       0.41068985     -0.069523942        327701.51        4891.0673       0.41794816 
       0.41051848           -4.875       0.10999809       -47883.468        320387.97       -22983.004       -714.67862          4781.91       -343.02991     -0.061070232       0.40862053     -0.029312358        324760.68        4847.1743       0.41419744 
       0.10999809           -4.625       0.41051848       -2034.7793        508022.14       -44499.383        -30.36984          7582.42       -664.16989    -0.0025951429        0.6479278     -0.056754194         509971.4        7611.5134       0.65041387 
       0.30052038           -4.625       0.30052038       -12386.686        509323.95       -39961.803       -184.87592          7601.85       -596.44482     -0.015797891       0.64958812     -0.050966997        511039.39        7627.4536       0.65177598 
       0.41051848           -4.625       0.10999809       -27250.764        510906.51       -17604.699       -406.72783        7625.4703        -262.7567      -0.03475543       0.65160651     -0.022452907        511935.54        7640.8289       0.65291892 
       0.10999809           -4.375       0.41051848        1547.8869        612233.72       -34545.797         23.10279        9137.8167       -515.60891     0.0019741639        0.7808385     -0.044059462        613209.54        9152.3812       0.78208305 
       0.30052038           -4.375       0.30052038       -1694.2819        614543.69       -33172.004        -25.28779        9172.2939       -495.10454     -0.002160875       0.78378462     -0.042307337        615440.65        9185.6814        0.7849286 
       0.41051848           -4.375       0.10999809       -14271.074         617018.8       -16224.967       -213.00111        9209.2358       -242.16368     -0.018201226       0.78694135     -0.020693206        617397.04        9214.8812       0.78742377 
       0.10999809           -4.125       0.41051848        7572.2214        656121.63       -11768.182        113.01823        9792.8601        -175.6445      0.009657557       0.83681283     -0.015009055        656270.84        9795.0872       0.83700313 
       0.30052038           -4.125       0.30052038        14705.062         664652.7       -20095.298        219.47853        9920.1896       -299.92982       0.01875473       0.84769329     -0.025629399        665118.99        9927.1491         0.848288 
       0.41051848           -4.125       0.10999809        3564.1077         672267.6       -15891.354        53.195637        10033.845       -237.18439     0.0045456374       0.85740529     -0.020267719        672464.85        10036.789       0.85765685 
       0.10999809           -3.875       0.41051848        67582.356        324849.02        170007.09        1008.6919        4848.4928        2537.4192      0.086194053       0.41431011       0.21682582        372822.57         5564.516       0.47549523 
       0.30052038           -3.875       0.30052038        171275.46        332561.21        116450.56        2556.3501        4963.6001         1738.068       0.21844349       0.42414618       0.14852021        391781.79        5847.4894       0.49967569 
       0.41051848           -3.875       0.10999809        214516.71        340312.85         31445.23         3201.742        5079.2963         469.3318       0.27359308       0.43403257      0.040105022        403508.44         6022.514       0.51463177 
       0.10999809           -3.625       0.41051848        17523.713       -10654.175       -9395.2989        261.54796       -159.01754       -140.22834      0.022349618     -0.013588259     -0.011982697        22558.006        336.68665      0.028770319 
       0.30052038           -3.625       0.30052038        36820.337       -10704.585       -23684.914        549.55727       -159.76992       -353.50618      0.046960394     -0.013652551      -0.03020757        45069.951        672.68584      0.057481893 
       0.41051848           -3.625       0.10999809        27232.814        -9152.143       -18217.321        406.45992       -136.59915       -271.90032      0.034732537     -0.011672578     -0.023234241        34018.505        507.73888      0.043386958 
       0.10999809           -3.375       0.41051848        20499.503       -56807.949       -1349.0326        305.96274       -847.87983       -20.134814       0.02614492     -0.072452451    -0.0017205465        60408.547         901.6201      0.077044628 
