%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ
             7.75       -3.0817489            0.625        50430.052        1117427.3       -137046.08 
              7.5       -2.9823376            0.625         342100.4        1538086.7       -41424.299 
             7.25       -2.8829264            0.625        629178.75        1882778.2       -25857.461 
                7       -2.7835151            0.625        380927.81        2729766.3       -9647.5303 
             7.75       -2.8249365            0.625        55588.809        1266254.9       -56058.602 
              7.5       -2.7338095            0.625        265973.79        1823668.3       -34237.322 
             7.25       -2.6426825            0.625        325057.87        2074903.1       -20666.337 
                7       -2.5515555            0.625        150197.54        2369417.4        -19100.82 
             7.75       -2.5681241            0.625        44033.864        1505907.1       -31205.704 
              7.5       -2.4852814            0.625        155715.42        1970104.9       -19170.527 
             7.25       -2.4024387            0.625        142950.07        2086255.9       -16464.337 
                7       -2.3195959            0.625        61606.679        2224258.4       -15902.969 
             7.75       -2.3113117            0.625        12899.565        1704990.8       -21212.693 
              7.5       -2.2367532            0.625        74900.233        2024933.4       -14588.748 
             7.25       -2.1621948            0.625        68731.011        2078230.1       -13807.499 
                7       -2.0876364            0.625        31091.722        2163134.3       -13707.986 
             7.75       -2.0544993            0.625       -1846.1505        1832025.4       -17772.319 
              7.5       -1.9882251            0.625        34986.389        2054290.3        -12283.47 
             7.25       -1.9219509            0.625        33775.145        2077264.5       -11752.942 
                7       -1.8556768            0.625        17195.414        2134584.3       -11775.082 
             7.75       -1.7976869            0.625       -7704.6698        1916293.2       -15263.421 
              7.5        -1.739697            0.625        16228.515        2071399.6       -10421.368 
             7.25       -1.6817071            0.625        17539.347        2080803.4       -9884.1099 
                7       -1.6237172            0.625        10568.025        2120925.7       -9962.0474 
             7.75       -1.5408745            0.625       -9276.3347        1975725.5       -12904.679 
              7.5       -1.4911688            0.625        7407.8762        2082666.8       -8763.3994 
             7.25       -1.4414632            0.625        9776.7415        2086260.7       -8344.8833 
                7       -1.3917576            0.625        7207.4203        2114077.5       -8411.5303 
             7.75        -1.284062            0.625        -8836.341        2019507.5       -10699.224 
              7.5       -1.2426407            0.625        3331.0404        2090614.7       -7230.8359 
             7.25       -1.2012193            0.625        5645.5474        2091915.2       -6819.1419 
                7        -1.159798            0.625        4990.8561        2110610.1       -6930.0076 
             7.75       -1.0272496            0.625       -7623.1185        2052131.2       -8511.2143 
              7.5      -0.99411255            0.625        1289.5979        2096503.1       -5745.0541 
             7.25      -0.96097546            0.625        3388.1124        2096811.9        -5392.516 
                7      -0.92783838            0.625        3544.0524        2108950.7       -5513.6649 
             7.75      -0.77043723            0.625       -5875.8393        2075964.4       -6349.9577 
              7.5      -0.74558441            0.625        375.55552        2100750.2       -4268.2672 
             7.25       -0.7207316            0.625        2021.0452        2100828.2        -4020.895 
                7      -0.69587878            0.625        2503.2166        2108137.8       -4112.4338 
             7.75      -0.51362482            0.625       -3923.1823          2092430       -4226.6591 
              7.5      -0.49705627            0.625        150.23878        2103537.7        -2842.588 
             7.25      -0.48048773            0.625        1219.8248        2103782.9       -2660.8802 
                7      -0.46391919            0.625        1604.5523        2107740.2       -2731.2343 
             7.75      -0.25681241            0.625       -1972.0748        2102146.9       -2106.5587 
              7.5      -0.24852814            0.625        28.618958        2105153.5       -1414.7659 
             7.25      -0.24024387            0.625         590.0833          2105563       -1326.0048 
                7      -0.23195959            0.625        810.14672        2107544.8        -1360.882 
             7.75   -8.8123953e-16            0.625       0.12742618        2105356.6       0.56439912 
              7.5   -8.9511731e-16            0.625      -0.21867318          2105685       0.61827761 
             7.25   -1.0547119e-15            0.625      -0.66266957        2106174.6       0.79095633 
                7   -1.0616508e-15            0.625      -0.86923969        2107476.1        1.1334725 
             7.75       0.25681241            0.625        1972.3301        2102146.3        2107.6797 
              7.5       0.24852814            0.625       -29.054704        2105153.4        1415.9949 
             7.25       0.24024387            0.625       -591.40637        2105562.9        1327.5793 
                7       0.23195959            0.625       -811.88339        2107545.9        1363.1413 
             7.75       0.51362482            0.625        3923.4393        2092428.8         4227.755 
              7.5       0.49705627            0.625       -150.66898        2103537.6        2843.7928 
             7.25       0.48048773            0.625       -1221.1401        2103782.6        2662.4307 
                7       0.46391919            0.625       -1606.2828        2107742.3        2733.4689 
             7.75       0.77043723            0.625        5876.1002        2075962.5        6351.0044 
              7.5       0.74558441            0.625       -375.97391        2100749.9        4269.4251 
             7.25        0.7207316            0.625       -2022.3442        2100827.7        4022.3992 
                7       0.69587878            0.625       -2504.9347        2108140.9        4114.6208 
             7.75        1.0272496            0.625        7623.3877        2052128.5        8512.1746 
              7.5       0.99411255            0.625       -1289.9928        2096502.6        5746.1301 
             7.25       0.96097546            0.625       -3389.3803        2096811.1        5393.9393 
                7       0.92783838            0.625       -3545.7477        2108954.7        5515.7705 
             7.75         1.284062            0.625        8836.6289        2019503.8        10700.039 
              7.5        1.2426407            0.625       -3331.3865        2090613.7        7231.7744 
             7.25        1.2012193            0.625       -5646.7559        2091913.9        6820.4306 
                7         1.159798            0.625       -4992.5113        2110614.7        6931.9782 
