%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
             7.75       -3.0817489            0.625        50430.052        1117427.3       -137046.08        50.480532        1118.5459       -137.18327      0.063435708        1.4056062      -0.17238958        1126928.8        1128.0569        1.4175581 
              7.5       -2.9823376            0.625         342100.4        1538086.7       -41424.299        342.44284        1539.6263       -41.465765       0.43032637        1.9347515     -0.052107417        1576216.8        1577.7946        1.9827151 
             7.25       -2.8829264            0.625        629178.75        1882778.2       -25857.461        629.80856        1884.6629       -25.883345       0.79144078        2.3683372      -0.03252597          1985293        1987.2803          2.49729 
                7       -2.7835151            0.625        380927.81        2729766.3       -9647.5303        381.30912        2732.4988       -9.6571875       0.47916717        3.4337592      -0.01213558        2756233.5        2758.9925        3.4670522 
             7.75       -2.8249365            0.625        55588.809        1266254.9       -56058.602        55.644454        1267.5224       -56.114717      0.069924883        1.5928156     -0.070515833        1268713.6        1269.9836        1.5959084 
              7.5       -2.7338095            0.625        265973.79        1823668.3       -34237.322        266.24003        1825.4938       -34.271594       0.33456709        2.2939832     -0.043066955        1843279.8        1845.1249        2.3186524 
             7.25       -2.6426825            0.625        325057.87        2074903.1       -20666.337        325.38326          2076.98       -20.687024       0.40888866        2.6100101     -0.025996081        2100312.5        2102.4149        2.6419724 
                7       -2.5515555            0.625        150197.54        2369417.4        -19100.82        150.34788        2371.7891        -19.11994       0.18893272        2.9804781     -0.024026825        2374249.9        2376.6266         2.986557 
             7.75       -2.5681241            0.625        44033.864        1505907.1       -31205.704        44.077942        1507.4145       -31.236941      0.055389975        1.8942729     -0.039253498        1506873.9        1508.3823        1.8954891 
              7.5       -2.4852814            0.625        155715.42        1970104.9       -19170.527        155.87129         1972.077       -19.189717       0.19587364        2.4781851      -0.02411451        1976342.1        1978.3205        2.4860308 
             7.25       -2.4024387            0.625        142950.07        2086255.9       -16464.337        143.09316        2088.3443       -16.480817       0.17981617        2.6242908     -0.020710406        2091212.5        2093.3058        2.6305256 
                7       -2.3195959            0.625        61606.679        2224258.4       -15902.969        61.668347        2226.4849       -15.918888      0.077494731        2.7978834     -0.020004264        2225168.3        2227.3957        2.7990279 
             7.75       -2.3113117            0.625        12899.565        1704990.8       -21212.693        12.912477        1706.6975       -21.233927      0.016226297        2.1446993     -0.026683339        1705171.5        1706.8784        2.1449266 
              7.5       -2.2367532            0.625        74900.233        2024933.4       -14588.748        74.975208        2026.9604       -14.603352      0.094216625        2.5471535     -0.018351113        2026370.7        2028.3991        2.5489615 
             7.25       -2.1621948            0.625        68731.011        2078230.1       -13807.499        68.799811        2080.3104        -13.82132      0.086456393        2.6141952     -0.017368383        2079412.2        2081.4937        2.6156821 
                7       -2.0876364            0.625        31091.722        2163134.3       -13707.986        31.122845        2165.2996       -13.721707       0.03911012        2.7209957     -0.017243206        2163401.1        2165.5667        2.7213314 
             7.75       -2.0544993            0.625       -1846.1505        1832025.4       -17772.319       -1.8479985        1833.8593       -17.790109    -0.0023222635        2.3044956      -0.02235571        1832112.6        1833.9465        2.3046052 
              7.5       -1.9882251            0.625        34986.389        2054290.3        -12283.47        35.021411        2056.3466       -12.295766      0.044009203        2.5840814     -0.015451315        2054624.9        2056.6816        2.5845023 
             7.25       -1.9219509            0.625        33775.145        2077264.5       -11752.942        33.808954        2079.3438       -11.764707      0.042485585        2.6129805     -0.014783967        2077572.3         2079.652        2.6133677 
                7       -1.8556768            0.625        17195.414        2134584.3       -11775.082        17.212627        2136.7211       -11.786869      0.021630025        2.6850829     -0.014811816        2134686.1        2136.8229        2.6852108 
             7.75       -1.7976869            0.625       -7704.6698        1916293.2       -15263.421       -7.7123822        1918.2114         -15.2787    -0.0096916653        2.4104955     -0.019199781        1916369.5        1918.2877        2.4105915 
              7.5        -1.739697            0.625        16228.515        2071399.6       -10421.368         16.24476        2073.4731         -10.4318      0.020413767        2.6056031     -0.013108987        2071489.4        2073.5629         2.605716 
             7.25       -1.6817071            0.625        17539.347        2080803.4       -9884.1099        17.556904        2082.8863       -9.8940039      0.022062656        2.6174321     -0.012433172        2080900.8        2082.9838        2.6175547 
                7       -1.6237172            0.625        10568.025        2120925.7       -9962.0474        10.578603        2123.0488       -9.9720194      0.013293465        2.6679018     -0.012531209        2120975.5        2123.0986        2.6679643 
             7.75       -1.5408745            0.625       -9276.3347        1975725.5       -12904.679       -9.2856204        1977.7032       -12.917597     -0.011668655        2.4852551     -0.016232731        1975789.4        1977.7671        2.4853355 
              7.5       -1.4911688            0.625        7407.8762        2082666.8       -8763.3994        7.4152915        2084.7516       -8.7721716     0.0093183301        2.6197761     -0.011023436        2082698.4        2084.7832        2.6198159 
             7.25       -1.4414632            0.625        9776.7415        2086260.7       -8344.8833         9.786528        2088.3491       -8.3532365      0.012298114        2.6242969     -0.010496987        2086300.3        2088.3887        2.6243467 
                7       -1.3917576            0.625        7207.4203        2114077.5       -8411.5303        7.2146349        2116.1937       -8.4199503     0.0090661776        2.6592874     -0.010580822        2114106.5        2116.2227        2.6593239 
             7.75        -1.284062            0.625        -8836.341        2019507.5       -10699.224       -8.8451862         2021.529       -10.709934     -0.011115189        2.5403283       -0.0134585        2019555.1        2021.5767        2.5403882 
              7.5       -1.2426407            0.625        3331.0404        2090614.7       -7230.8359        3.3343748        2092.7074       -7.2380739     0.0041900989        2.6297736    -0.0090956319        2090629.8        2092.7225        2.6297927 
             7.25       -1.2012193            0.625        5645.5474        2091915.2       -6819.1419        5.6511986        2094.0092       -6.8259679     0.0071015056        2.6314096    -0.0085777642        2091933.9         2094.028        2.6314331 
                7        -1.159798            0.625        4990.8561        2110610.1       -6930.0076         4.995852        2112.7228       -6.9369445     0.0062779727        2.6549257    -0.0087172216        2110627.3        2112.7401        2.6549475 
             7.75       -1.0272496            0.625       -7623.1185        2052131.2       -8511.2143       -7.6307493        2054.1854        -8.519734    -0.0095890824        2.5813655     -0.010706214          2052163        2054.2172        2.5814055 
              7.5      -0.99411255            0.625        1289.5979        2096503.1       -5745.0541        1.2908888        2098.6017       -5.7508049     0.0016221788        2.6371807    -0.0072266746        2096511.4          2098.61        2.6371911 
             7.25      -0.96097546            0.625        3388.1124        2096811.9        -5392.516        3.3915039        2098.9108       -5.3979139     0.0042618895        2.6375691    -0.0067832187        2096821.5        2098.9205        2.6375812 
                7      -0.92783838            0.625        3544.0524        2108950.7       -5513.6649           3.5476        2111.0618        -5.519184     0.0044580457        2.6528385    -0.0069356112        2108960.9         2111.072        2.6528513 
             7.75      -0.77043723            0.625       -5875.8393        2075964.4       -6349.9577       -5.8817211        2078.0424       -6.3563141    -0.0073911887        2.6113451    -0.0079875798        2075982.4        2078.0605        2.6113678 
              7.5      -0.74558441            0.625        375.55552        2100750.2       -4268.2672       0.37593146         2102.853       -4.2725397     0.0004724094        2.6425231    -0.0053690318        2100754.5        2102.8574        2.6425285 
             7.25       -0.7207316            0.625        2021.0452        2100828.2        -4020.895        2.0230683        2102.9311       -4.0249199     0.0025422626        2.6426212    -0.0050578635          2100833        2102.9359        2.6426272 
                7      -0.69587878            0.625        2503.2166        2108137.8       -4112.4338        2.5057224         2110.248       -4.1165503     0.0031487836        2.6518158    -0.0051730097        2108143.3        2110.2535        2.6518228 
             7.75      -0.51362482            0.625       -3923.1823          2092430       -4226.6591       -3.9271094        2094.5245         -4.23089    -0.0049349512        2.6320572    -0.0053166931          2092438        2094.5325        2.6320672 
              7.5      -0.49705627            0.625        150.23878        2103537.7        -2842.588       0.15038917        2105.6433       -2.8454334    0.00018898461        2.6460295    -0.0035756771        2103539.6        2105.6453        2.6460319 
             7.25      -0.48048773            0.625        1219.8248        2103782.9       -2660.8802        1.2210459        2105.8888       -2.6635437     0.0015344115        2.6463379    -0.0033471078        2103784.9        2105.8908        2.6463404 
                7      -0.46391919            0.625        1604.5523        2107740.2       -2731.2343        1.6061584          2109.85       -2.7339683     0.0020183582        2.6513157    -0.0034356058        2107742.6        2109.8524        2.6513187 
             7.75      -0.25681241            0.625       -1972.0748        2102146.9       -2106.5587       -1.9740488        2104.2511       -2.1086673    -0.0024806629          2.64428    -0.0026498295        2102148.9        2104.2531        2.6442825 
              7.5      -0.24852814            0.625        28.618958        2105153.5       -1414.7659      0.028647606        2107.2608       -1.4161821    3.5999643e-05         2.648062    -0.0017796269          2105154        2107.2612        2.6480626 
             7.25      -0.24024387            0.625         590.0833          2105563       -1326.0048       0.59067397        2107.6707       -1.3273322     0.0007422628        2.6485771    -0.0016679748        2105563.5        2107.6712        2.6485778 
                7      -0.23195959            0.625        810.14672        2107544.8        -1360.882       0.81095768        2109.6545       -1.3622442     0.0010190795          2.65107    -0.0017118466        2107545.4        2109.6551        2.6510707 
             7.75   -8.8123953e-16            0.625       0.12742618        2105356.6       0.56439912    0.00012755374        2107.4641    0.00056496409    1.6028875e-07        2.6483175    7.0995481e-07        2105356.6        2107.4641        2.6483175 
              7.5   -8.9511731e-16            0.625      -0.21867318          2105685       0.61827761   -0.00021889207        2107.7927    0.00061889651   -2.7506789e-07        2.6487305    7.7772829e-07          2105685        2107.7927        2.6487305 
             7.25   -1.0547119e-15            0.625      -0.66266957        2106174.6       0.79095633    -0.0006633329        2108.2829    0.00079174808   -8.3356871e-07        2.6493465    9.9493998e-07        2106174.6        2108.2829        2.6493465 
                7   -1.0616508e-15            0.625      -0.86923969        2107476.1        1.1334725    -0.0008701098        2109.5857     0.0011346071   -1.0934122e-06        2.6509836    1.4257894e-06        2107476.1        2109.5857        2.6509836 
             7.75       0.25681241            0.625        1972.3301        2102146.3        2107.6797        1.9743044        2104.2506        2.1097895     0.0024809841        2.6442792     0.0026512397        2102148.3        2104.2525        2.6442817 
              7.5       0.24852814            0.625       -29.054704        2105153.4        1415.9949     -0.029083788        2107.2607        1.4174123   -3.6547765e-05        2.6480619     0.0017811729        2105153.9        2107.2612        2.6480625 
             7.25       0.24024387            0.625       -591.40637        2105562.9        1327.5793      -0.59199837        2107.6706        1.3289082   -0.00074392709         2.648577     0.0016699553        2105563.4        2107.6711        2.6485776 
                7       0.23195959            0.625       -811.88339        2107545.9        1363.1413      -0.81269608        2109.6555        1.3645058     -0.001021264        2.6510713     0.0017146885        2107546.5        2109.6561        2.6510721 
             7.75       0.51362482            0.625        3923.4393        2092428.8         4227.755        3.9273667        2094.5233         4.231987     0.0049352745        2.6320557     0.0053180717        2092436.8        2094.5313        2.6320657 
              7.5       0.49705627            0.625       -150.66898        2103537.6        2843.7928       -0.1508198        2105.6432        2.8466395   -0.00018952575        2.6460293     0.0035771926        2103539.5        2105.6451        2.6460317 
             7.25       0.48048773            0.625       -1221.1401        2103782.6        2662.4307       -1.2223625        2105.8885        2.6650958     -0.001536066        2.6463376     0.0033490581        2103784.7        2105.8906        2.6463401 
                7       0.46391919            0.625       -1606.2828        2107742.3        2733.4689       -1.6078907        2109.8521        2.7362051     -0.002020535        2.6513184     0.0034384167        2107744.7        2109.8545        2.6513214 
             7.75       0.77043723            0.625        5876.1002        2075962.5        6351.0044        5.8819821        2078.0406        6.3573618     0.0073915168        2.6113428     0.0079888964        2075980.6        2078.0586        2.6113655 
              7.5       0.74558441            0.625       -375.97391        2100749.9        4269.4251      -0.37635026        2102.8527        4.2736988   -0.00047293568        2.6425227     0.0053704882        2100754.3        2102.8571        2.6425282 
             7.25        0.7207316            0.625       -2022.3442        2100827.7        4022.3992       -2.0243686        2102.9307        4.0264256    -0.0025438966        2.6426206     0.0050597556        2100832.5        2102.9355        2.6426267 
                7       0.69587878            0.625       -2504.9347        2108140.9        4114.6208       -2.5074422        2110.2511        4.1187396    -0.0031509448        2.6518197     0.0051757608        2108146.4        2110.2566        2.6518267 
             7.75        1.0272496            0.625        7623.3877        2052128.5        8512.1746        7.6310187        2054.1827        8.5206953      0.009589421        2.5813621      0.010707422        2052160.3        2054.2146        2.5814021 
              7.5       0.99411255            0.625       -1289.9928        2096502.6        5746.1301       -1.2912841        2098.6012         5.751882    -0.0016226755          2.63718      0.007228028        2096510.9        2098.6095        2.6371904 
             7.25       0.96097546            0.625       -3389.3803        2096811.1        5393.9393       -3.3927731          2098.91        5.3993387    -0.0042634844        2.6375681     0.0067850091        2096820.8        2098.9197        2.6375803 
                7       0.92783838            0.625       -3545.7477        2108954.7        5515.7705        -3.549297        2111.0657        5.5212918    -0.0044601781        2.6528434     0.0069382599        2108964.9        2111.0759        2.6528563 
             7.75         1.284062            0.625        8836.6289        2019503.8        10700.039        8.8454743        2021.5253         10.71075      0.011115551        2.5403237      0.013459525        2019551.5        2021.5731        2.5403836 
              7.5        1.2426407            0.625       -3331.3865        2090613.7        7231.7744       -3.3347213        2092.7064        7.2390134    -0.0041905343        2.6297724     0.0090968126        2090628.8        2092.7215        2.6297915 
             7.25        1.2012193            0.625       -5646.7559        2091913.9        6820.4306       -5.6524083         2094.008        6.8272578    -0.0071030258         2.631408     0.0085793852        2091932.7        2094.0267        2.6314316 
                7         1.159798            0.625       -4992.5113        2110614.7        6931.9782       -4.9975088        2112.7274        6.9389171    -0.0062800548        2.6549315     0.0087197004          2110632        2112.7447        2.6549533 
             7.75        1.5408745            0.625        9276.6654        1975720.5        12905.253        9.2859514        1977.6982        12.918171      0.011669071        2.4852489      0.016233452        1975784.4        1977.7622        2.4853293 
              7.5        1.4911688            0.625       -7408.1174        2082665.1        8764.1102        -7.415533        2084.7498        8.7728831    -0.0093186335        2.6197739       0.01102433        2082696.7        2084.7815        2.6198137 
             7.25        1.4414632            0.625       -9777.8327        2086258.7        8345.9485       -9.7876203         2088.347        8.3543028     -0.012299486        2.6242943      0.010498326        2086298.3        2088.3867        2.6243441 
                7        1.3917576            0.625       -7209.0041        2114082.4        8413.2793       -7.2162204        2116.1986         8.421701      -0.00906817        2.6592936      0.010583022        2114111.4        2116.2277        2.6593301 
             7.75        1.7976869            0.625        7705.1036        1916286.5        15263.602        7.7128164        1918.2047        15.278881      0.009692211        2.4104871      0.019200008        1916362.8        1918.2811        2.4105831 
              7.5         1.739697            0.625       -16228.515        2071396.6        10421.704        -16.24476          2073.47        10.432136     -0.020413767        2.6055993      0.013109409        2071486.4        2073.5599        2.6057122 
             7.25        1.6817071            0.625       -17540.191          2080800         9884.803       -17.557748        2082.8829        9.8946977     -0.022063717        2.6174279      0.012434044        2080897.4        2082.9804        2.6175504 
                7        1.6237172            0.625       -10569.475        2120930.4        9963.4297       -10.580055        2123.0534        9.9734031     -0.013295289        2.6679076      0.012532948        2120980.1        2123.1032        2.6679702 
             7.75        2.0544993            0.625        1846.8336        1832016.4        17771.882        1.8486823        1833.8502        17.789672     0.0023231227        2.3044842      0.022355161        1832103.5        1833.9375        2.3045938 
              7.5        1.9882251            0.625       -34985.811        2054285.2        12283.195       -35.020832        2056.3416         12.29549     -0.044008476         2.584075      0.015450969        2054619.8        2056.6765        2.5844959 
             7.25        1.9219509            0.625       -33775.424        2077258.8        11753.008       -33.809233        2079.3382        11.764773     -0.042485935        2.6129734       0.01478405        2077566.6        2079.6463        2.6133606 
                7        1.8556768            0.625       -17196.592        2134587.6        11775.845       -17.213806        2136.7243        11.787632     -0.021631507         2.685087      0.014812775        2134689.3        2136.8262        2.6852149 
