%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%             X (in)              Y (in)              Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
                0              -11                0    1.7577609e-05        2247.4931   -1.9284176e-07    1.7577609e-05        2288.8965   -1.9284178e-07 
                0       -10.777778                0    1.8093788e-05        2384.2733   -2.0986794e-07    1.8093788e-05         2428.644   -2.0986797e-07 
                0       -10.555556                0    1.8610738e-05        2532.7035   -2.2866617e-07    1.8610738e-05        2580.3281    -2.286662e-07 
                0       -10.333333                0    1.9125467e-05        2694.1161   -2.4944972e-07    1.9125467e-05        2745.3149   -2.4944974e-07 
                0       -10.111111                0    1.9634461e-05         2870.044   -2.7245887e-07    1.9634461e-05        2925.1759   -2.7245889e-07 
                0       -9.8888889                0    2.0133575e-05        3062.2605    -2.979743e-07    2.0133575e-05        3121.7282   -2.9797433e-07 
                0       -9.6666667                0    2.0618002e-05        3272.8277   -3.2631543e-07    2.0618002e-05        3337.0837   -3.2631545e-07 
                0       -9.4444444                0    2.1082153e-05        3504.1594   -3.5785471e-07    2.1082153e-05         3573.713   -3.5785474e-07 
                0       -9.2222222                0    2.1519587e-05        3759.1005   -3.9302185e-07    2.1519587e-05        3834.5255   -3.9302187e-07 
                0               -9                0    2.1922884e-05        4041.0302   -4.3231829e-07    2.1922884e-05        4122.9738   -4.3231831e-07 
                0       -8.7777778                0    2.2283547e-05        4353.9979   -4.7633729e-07    2.2283547e-05        4443.1907   -4.7633731e-07 
                0       -8.5555556                0    2.2591872e-05        4702.9043   -5.2577534e-07    2.2591872e-05        4800.1714   -5.2577536e-07 
                0       -8.3333333                0    2.2836801e-05        5093.7489   -5.8146189e-07    2.2836801e-05        5200.0222   -5.8146191e-07 
                0       -8.1111111                0    2.3005749e-05        5533.9729   -6.4438459e-07    2.3005749e-05        5650.3036   -6.4438461e-07 
                0       -7.8888889                0    2.3084443e-05        6032.9467   -7.1573354e-07    2.3084443e-05        6160.5184   -7.1573357e-07 
                0       -7.6666667                0    2.3056628e-05        6602.6802   -7.9692789e-07    2.3056628e-05        6742.8217   -7.9692793e-07 
                0       -7.4444444                0     2.290379e-05        7258.8888   -8.8967743e-07     2.290379e-05        7413.0829   -8.8967745e-07 
                0       -7.2222222                0    2.2604745e-05        8022.6393   -9.9601249e-07    2.2604745e-05        8192.5267   -9.9601252e-07 
                0               -7                0    2.2135072e-05        8922.9835   -1.1182791e-06    2.2135072e-05        9110.3549   -1.1182792e-06 
                0       -6.7777778                0    2.1466134e-05        10001.312   -1.2590712e-06    2.1466134e-05        10208.082   -1.2590712e-06 
                0       -6.5555556                0    2.0563677e-05        11318.799   -1.4209458e-06    2.0563677e-05        11546.944   -1.4209459e-06 
                0       -6.3333333                0    1.9385267e-05        12969.397    -1.605544e-06    1.9385267e-05        13220.846   -1.6055441e-06 
                0       -6.1111111                0    1.7874695e-05        15102.238   -1.8113714e-06    1.7874695e-05        15378.673   -1.8113714e-06 
                0       -5.8888889                0    1.5949933e-05        17954.744   -2.0280754e-06    1.5949933e-05        18257.283   -2.0280754e-06 
                0       -5.6666667                0    1.3471926e-05        21859.103    -2.221961e-06    1.3471926e-05        22187.804    -2.221961e-06 
                0       -5.4444444                0    1.0171956e-05        26900.101    -2.303822e-06    1.0171956e-05        27253.241    -2.303822e-06 
                0       -5.2222222                0    5.6460722e-06        30521.873   -2.1137332e-06    5.6460722e-06        30894.977   -2.1137333e-06 
                0               -5                0    6.4302936e-07        23504.555   -1.7323183e-06    6.4302922e-07        23889.236   -1.7323183e-06 
                0       -4.7777778                0   -2.2239115e-06        10455.856     -1.70202e-06   -2.2239119e-06        10838.699     -1.70202e-06 
                0       -4.5555556                0    -4.113017e-06        5155.7232   -2.0597975e-06   -4.1130164e-06        5517.6856   -2.0597976e-06 
                0       -4.3333333                0   -6.6724345e-06        3852.5946   -2.7843669e-06   -6.6724347e-06        4169.5789   -2.7843669e-06 
                0       -4.1111111                0   -1.0043341e-05         2626.514   -3.8421832e-06   -1.0043341e-05         2871.663   -3.8421832e-06 
                0       -3.8888889                0   -1.3422603e-05        172.75979   -4.9708342e-06   -1.3422603e-05        320.44712   -4.9708342e-06 
                0       -3.6666667                0   -1.5538101e-05       -3626.2585   -5.7391867e-06   -1.5538101e-05       -3595.6367   -5.7391866e-06 
                0       -3.4444444                0   -1.5887114e-05       -8247.4803   -5.9510095e-06   -1.5887114e-05       -8343.3953   -5.9510096e-06 
                0       -3.2222222                0   -1.4463538e-05        -13425.12    -5.572392e-06   -1.4463538e-05       -13644.865    -5.572392e-06 
                0               -3                0   -1.1292151e-05       -18149.682   -4.6150549e-06   -1.1292152e-05       -18479.077   -4.6150549e-06 
                0       -2.7777778                0   -7.3851732e-06       -21118.713   -3.4400063e-06   -7.3851729e-06       -21535.331   -3.4400064e-06 
                0       -2.5555556                0   -3.8637986e-06       -22356.706   -2.4359547e-06   -3.8637985e-06       -22834.531   -2.4359547e-06 
                0       -2.3333333                0   -1.2141569e-06       -22646.503   -1.7324031e-06   -1.2141566e-06       -23160.489   -1.7324031e-06 
                0       -2.1111111                0    7.3007322e-07       -22635.501   -1.2522999e-06    7.3007289e-07       -23164.781   -1.2522999e-06 
                0       -1.8888889                0    2.1887366e-06       -22511.012   -9.1662084e-07    2.1887365e-06       -23040.303    -9.166209e-07 
                0       -1.6666667                0    3.3059521e-06        -22342.07   -6.7728872e-07    3.3059522e-06       -22861.583   -6.7728872e-07 
                0       -1.4444444                0    4.1747571e-06       -22160.607   -5.0311944e-07     4.174757e-06       -22665.128   -5.0311948e-07 
                0       -1.2222222                0    4.8545409e-06        -21982.81   -3.7327978e-07    4.8545408e-06       -22470.535   -3.7327979e-07 
                0               -1                0    5.3825201e-06       -21818.644   -2.7362155e-07    5.3825199e-06       -22290.115   -2.7362157e-07 
                0      -0.77777778                0    5.7820487e-06       -21674.474   -1.9434909e-07    5.7820487e-06       -22131.744    -1.943491e-07 
                0      -0.55555556                0      6.06728e-06       -21554.103   -1.2865857e-07      6.06728e-06        -22000.15   -1.2865855e-07 
                0      -0.33333333                0     6.246905e-06       -21459.853   -7.1712902e-08    6.2469049e-06       -21898.188   -7.1712908e-08 
                0      -0.11111111                0    6.3256124e-06       -21393.494   -1.9983353e-08    6.3256124e-06       -21827.912   -1.9983334e-08 
                0       0.11111111                0    6.3054459e-06       -21355.142    2.9038974e-08    6.3054459e-06        -21789.56    2.9038945e-08 
                0       0.33333333                0    6.1863474e-06       -21344.257     7.758073e-08    6.1863473e-06       -21782.592     7.758072e-08 
                0       0.55555556                0    5.9664705e-06       -21359.603    1.2722856e-07    5.9664704e-06        -21805.65    1.2722856e-07 
                0       0.77777778                0    5.6421972e-06       -21398.207    1.7919526e-07    5.6421972e-06       -21855.477    1.7919527e-07 
                0                1                0    5.2076146e-06       -21456.365    2.3373829e-07    5.2076146e-06       -21927.836    2.3373832e-07 
                0        1.2222222                0    4.6550136e-06       -21528.613     2.896491e-07    4.6550134e-06       -22016.338    2.8964913e-07 
                0        1.4444444                0    3.9742594e-06       -21606.477    3.4252877e-07    3.9742591e-06       -22110.997     3.425288e-07 
                0        1.6666667                0    3.1537826e-06       -21677.166    3.8141949e-07    3.1537825e-06       -22196.678     3.814195e-07 
