%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
       0.10999809            4.875       0.41051848         416.1477        133392.51        25048.365        6.3052682        2021.0986        379.52068    0.00053087006       0.17016576      0.031953623        135724.56        2056.4327        0.1731407 
       0.10999809            4.625       0.41051848       -2304.5107        195642.81        14234.802       -34.916829         2964.285        215.67882    -0.0029398114       0.24957703       0.01815901        196173.52         2972.326       0.25025405 
       0.10999809            4.375       0.41051848       -5009.6172        210927.64        4436.4281        -75.90329        3195.8734        67.218608    -0.0063906535       0.26907555     0.0056594494        211033.76        3197.4812       0.26921092 
       0.10999809            4.125       0.41051848       -9645.1801        170628.03       -21217.502       -146.13909        2585.2731        -321.4773     -0.012304135       0.21766625     -0.027066679        172212.47        2609.2799       0.21968749 
       0.10999809            3.875       0.41051848       -22070.328       -9111.4593         -77990.9       -334.39891       -138.05241       -1181.6803      -0.02815461     -0.011623279     -0.099491198        81564.076        1235.8193       0.10404942 
       0.10999809            3.625       0.41051848       -23111.202       -285140.09       -84754.196       -350.16973       -4320.3044       -1284.1545     -0.029482429      -0.36374666      -0.10811898        298366.01        4520.6971       0.38061866 
       0.10999809            3.375       0.41051848       -28049.867       -601989.74       -103117.41       -424.99798       -9121.0567        -1562.385      -0.03578257      -0.76794448      -0.13154451        611401.38        9263.6573       0.77995069 
       0.10999809            3.125       0.41051848       -37636.067         -1006147       -135560.93       -570.24343       -15244.651       -2053.9535     -0.048011465       -1.2835186      -0.17293196        1015935.5        15392.963        1.2960056 
       0.10999809            2.875       0.41051848       -16551.971       -1331716.7       -44696.846       -250.78744       -20177.526       -677.22494     -0.021114969       -1.6988404     -0.057018739        1332569.4        20190.445        1.6999282 
       0.10999809            2.625       0.41051848       -8916.0846       -1430558.9       -7089.0429       -135.09219       -21675.135       -107.40974     -0.011374044       -1.8249311    -0.0090433291        1430604.2        21675.822         1.824989 
       0.10999809            2.375       0.41051848       -6140.9102       -1460301.9        1028.0228       -93.044094       -22125.786        15.576104     -0.007833818       -1.8628736     0.0013114251        1460315.2        22125.988        1.8628905 
