%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ
             7.75       -3.0817489            0.625        25362.677        641155.22       -82203.224 
              7.5       -2.9823376            0.625        192387.57        885854.05       -24850.125 
             7.25       -2.8829264            0.625        359374.19        1083194.6       -15543.612 
                7       -2.7835151            0.625        218086.39        1570350.7       -5877.9927 
             7.75       -2.8249365            0.625        30272.434        721463.98       -33609.676 
              7.5       -2.7338095            0.625        151613.84        1050638.2       -20528.029 
             7.25       -2.6426825            0.625         186446.8        1193704.8       -12399.093 
                7       -2.5515555            0.625        86295.477        1364263.8       -11413.737 
             7.75       -2.5681241            0.625        24687.203        859750.25       -18687.024 
              7.5       -2.4852814            0.625         89304.88          1134845       -11474.998 
             7.25       -2.4024387            0.625        81898.549        1200799.6       -9846.1066 
                7       -2.3195959            0.625        35385.521          1281073       -9462.4644 
             7.75       -2.3113117            0.625        6902.6741        976186.46       -12678.498 
              7.5       -2.2367532            0.625        42980.258        1166249.6       -8711.7818 
             7.25       -2.1621948            0.625        39449.443        1196550.7       -8235.9956 
                7       -2.0876364            0.625        17894.404        1246049.5       -8128.2673 
             7.75       -2.0544993            0.625       -1467.1014        1050934.8       -10603.183 
              7.5       -1.9882251            0.625        20093.945        1183230.5       -7319.5073 
             7.25       -1.9219509            0.625         19414.73        1196264.2       -6992.2714 
                7       -1.8556768            0.625        9907.4769        1229660.1       -6955.1707 
             7.75       -1.7976869            0.625       -4754.6734        1100794.6       -9089.0081 
              7.5        -1.739697            0.625        9327.2933        1193188.9       -6195.6963 
             7.25       -1.6817071            0.625        10090.612        1198501.8       -5864.0305 
                7       -1.6237172            0.625        6079.7573        1221799.4       -5857.7346 
             7.75       -1.5408745            0.625       -5589.5202          1136093       -7666.2726 
              7.5       -1.4911688            0.625        4257.6923        1199771.4       -5194.1312 
             7.25       -1.4414632            0.625        5616.9541        1201788.1       -4930.4065 
                7       -1.3917576            0.625        4122.4064        1217844.5       -4915.2204 
             7.75        -1.284062            0.625       -5273.8265        1162140.7       -6333.5811 
              7.5       -1.2426407            0.625        1910.1159        1204415.9       -4266.9564 
             7.25       -1.2012193            0.625        3222.7529        1205140.5       -4007.3363 
                7        -1.159798            0.625        2819.2457        1215833.4       -4014.5386 
             7.75       -1.0272496            0.625       -4516.6153        1181544.6       -5011.9894 
              7.5      -0.99411255            0.625        731.62031        1207843.3       -3368.1777 
             7.25      -0.96097546            0.625        1902.8089        1208014.1        -3143.252 
                7      -0.92783838            0.625        1957.3212        1214866.2       -3152.7005 
             7.75      -0.77043723            0.625       -3453.9443        1195684.4       -3706.5747 
              7.5      -0.74558441            0.625        201.73255        1210292.7       -2475.6356 
             7.25       -0.7207316            0.625        1093.9779          1210341       -2312.1032 
                7      -0.69587878            0.625        1328.4654        1214391.5       -2300.5438 
             7.75      -0.51362482            0.625        -2273.919        1205390.8       -2423.7492 
              7.5      -0.49705627            0.625        69.002322        1211868.4        -1613.258 
             7.25      -0.48048773            0.625        610.84597        1212018.4       -1488.7205 
                7      -0.46391919            0.625        781.54537        1214162.2       -1460.7149 
             7.75      -0.25681241            0.625       -1095.4546          1211028       -1143.2605 
              7.5      -0.24852814            0.625       -3.5273872        1212736.3       -750.26148 
             7.25      -0.24024387            0.625          226.942        1212982.1       -680.52471 
                7      -0.23195959            0.625        295.17059        1214055.7       -627.97905 
             7.75   -8.8123953e-16            0.625        95.324489        1212739.2        129.50314 
              7.5   -8.9511731e-16            0.625       -21.563925        1212947.3        105.28885 
             7.25   -1.0547119e-15            0.625       -133.23894        1213236.4        122.45366 
                7   -1.0616508e-15            0.625       -199.56132          1214028        198.91434 
             7.75       0.25681241            0.625        1286.5417        1210576.3        1402.1974 
              7.5       0.24852814            0.625       -38.621235        1212514.1        960.63152 
             7.25       0.24024387            0.625       -491.74137        1212750.2         924.9726 
                7       0.23195959            0.625       -692.63555        1214084.6        1024.6588 
             7.75       0.51362482            0.625        2466.3565          1204488        2682.5051 
              7.5       0.49705627            0.625       -108.17756          1211425        1823.0306 
             7.25       0.48048773            0.625        -870.5704        1211555.3        1731.8295 
                7       0.46391919            0.625       -1173.9999        1214216.9        1853.9394 
             7.75       0.77043723            0.625        3648.7454        1194331.2        3965.0343 
              7.5       0.74558441            0.625       -235.74454        1209630.2        2684.4505 
             7.25        0.7207316            0.625       -1345.0106        1209648.5         2553.014 
                7       0.69587878            0.625       -1712.4425        1214466.1        2688.0072 
             7.75        1.0272496            0.625        4715.0421        1179742.5        5270.0552 
              7.5       0.99411255            0.625       -757.75303          1206965        3575.6333 
             7.25       0.96097546            0.625       -2140.9736        1207094.6        3380.9965 
                7       0.92783838            0.625       -2329.0905        1214951.3        3532.0625 
             7.75         1.284062            0.625        5477.7753        1159892.1        6591.1627 
              7.5        1.2426407            0.625       -1924.4263        1203326.4        4472.7063 
             7.25        1.2012193            0.625       -3442.8108        1203996.7        4241.0685 
                7         1.159798            0.625       -3174.6323        1215915.8         4383.346 
             7.75        1.5408745            0.625        5801.9011        1133402.4        7923.2301 
              7.5        1.4911688            0.625       -4254.0132        1198477.7        5397.8095 
             7.25        1.4414632            0.625       -5811.3889        1200422.6        5159.1649 
                7        1.3917576            0.625       -4456.2026        1217905.7        5270.8845 
             7.75        1.7976869            0.625        4981.2903        1097671.8        9345.2023 
              7.5         1.739697            0.625        -9293.419        1191701.8        6396.8434 
             7.25        1.6817071            0.625       -10246.826        1196915.9        6086.8286 
