%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
             7.75       -3.0817489            0.625        25362.677        641155.22       -82203.224        25.388065        641.79702        -82.28551      0.031903584       0.80650592      -0.10340302        646900.81        647.54835       0.81373326 
              7.5       -2.9823376            0.625        192387.57        885854.05       -24850.125        192.58015        886.74079          -24.875       0.24200335        1.1143113     -0.031258847        906845.02        907.75278        1.1407158 
             7.25       -2.8829264            0.625        359374.19        1083194.6       -15543.612        359.73392        1084.2789       -15.559171       0.45205498         1.362545     -0.019552231        1141359.7        1142.5022        1.4357106 
                7       -2.7835151            0.625        218086.39        1570350.7       -5877.9927         218.3047        1571.9226       -5.8838765       0.27432977        1.9753362    -0.0073938973        1585432.9        1587.0199        1.9943081 
             7.75       -2.8249365            0.625        30272.434        721463.98       -33609.676        30.302736        722.18616        -33.64332      0.038079542        0.9075259     -0.042277442        722880.56        723.60416       0.90930781 
              7.5       -2.7338095            0.625        151613.84        1050638.2       -20528.029         151.7656        1051.6899       -20.548578       0.19071428        1.3215925     -0.025822104        1061719.7        1062.7825        1.3355319 
             7.25       -2.6426825            0.625         186446.8        1193704.8       -12399.093        186.63343        1194.8997       -12.411505       0.23453049        1.5015552     -0.015596757        1208241.4        1209.4508        1.5198407 
                7       -2.5515555            0.625        86295.477        1364263.8       -11413.737        86.381859        1365.6294       -11.425162       0.10855065        1.7161006     -0.014357282          1367038        1368.4064        1.7195902 
             7.75       -2.5681241            0.625        24687.203        859750.25       -18687.024        24.711915        860.61086        -18.70573      0.031053908        1.0814755     -0.023506313         860307.6        861.16876        1.0821766 
              7.5       -2.4852814            0.625         89304.88          1134845       -11474.998        89.394275        1135.9809       -11.486485       0.11233616        1.4275158     -0.014434343        1138411.2        1139.5508        1.4320018 
             7.25       -2.4024387            0.625        81898.549        1200799.6       -9846.1066         81.98053        1202.0016       -9.8559625       0.10301977        1.5104798     -0.012385368        1203629.5        1204.8344        1.5140395 
                7       -2.3195959            0.625        35385.521          1281073       -9462.4644        35.420942        1282.3553       -9.4719364      0.044511268        1.6114552     -0.011902786        1281596.5        1282.8794        1.6121138 
             7.75       -2.3113117            0.625        6902.6741        976186.46       -12678.498        6.9095837        977.16363       -12.691189     0.0086828389          1.22794     -0.015948219        976293.19        977.27046        1.2280743 
              7.5       -2.2367532            0.625        42980.258        1166249.6       -8711.7818        43.023281         1167.417       -8.7205023       0.05406465        1.4670195     -0.010958506        1167073.8        1168.2421        1.4680563 
             7.25       -2.1621948            0.625        39449.443        1196550.7       -8235.9956        39.488932        1197.7485       -8.2442398      0.049623256        1.5051351     -0.010360017        1197229.2        1198.4276        1.5059885 
                7       -2.0876364            0.625        17894.404        1246049.5       -8128.2673        17.912317        1247.2968       -8.1364037      0.022509281        1.5673993     -0.010224506        1246204.5        1247.4519        1.5675943 
             7.75       -2.0544993            0.625       -1467.1014        1050934.8       -10603.183         -1.46857        1051.9868       -10.613797    -0.0018454595        1.3219656     -0.013337691        1050989.4        1052.0414        1.3220342 
              7.5       -1.9882251            0.625        20093.945        1183230.5       -7319.5073        20.114059        1184.4149       -7.3268341      0.025276072        1.4883797    -0.0092071713        1183423.7        1184.6084        1.4886228 
             7.25       -1.9219509            0.625         19414.73        1196264.2       -6992.2714        19.434164        1197.4616       -6.9992706      0.024421691        1.5047747    -0.0087955429        1196442.2        1197.6398        1.5049985 
                7       -1.8556768            0.625        9907.4769        1229660.1       -6955.1707        9.9173943         1230.891       -6.9621329      0.012462565        1.5467832    -0.0087488742        1229719.7        1230.9506        1.5468582 
             7.75       -1.7976869            0.625       -4754.6734        1100794.6       -9089.0081       -4.7594328        1101.8965       -9.0981062    -0.0059808797         1.384684     -0.011433017        1100842.4        1101.9444        1.3847441 
              7.5        -1.739697            0.625        9327.2933        1193188.9       -6195.6963        9.3366299        1194.3833       -6.2018982      0.011732755        1.5009064    -0.0077935351        1193241.5        1194.4359        1.5009724 
             7.25       -1.6817071            0.625        10090.612        1198501.8       -5864.0305        10.100713        1199.7015       -5.8699004      0.012692931        1.5075894    -0.0073763344        1198558.6        1199.7584        1.5076609 
                7       -1.6237172            0.625        6079.7573        1221799.4       -5857.7346        6.0858431        1223.0224       -5.8635982      0.007647696        1.5368953    -0.0073684148        1221828.5        1223.0516         1.536932 
             7.75       -1.5408745            0.625       -5589.5202          1136093       -7666.2726       -5.5951153        1137.2302       -7.6739466    -0.0070310292        1.4290856    -0.0096433657        1136132.6        1137.2698        1.4291354 
              7.5       -1.4911688            0.625        4257.6923        1199771.4       -5194.1312        4.2619542        1200.9723       -5.1993305     0.0053557296        1.5091864    -0.0065336714        1199790.2        1200.9912          1.50921 
             7.25       -1.4414632            0.625        5616.9541        1201788.1       -4930.4065        5.6225767        1202.9911       -4.9353419     0.0070655383        1.5117232    -0.0062019335        1201811.3        1203.0144        1.5117524 
