%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%             X (in)              Y (in)              Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
                0              -11                0      -0.59164016        9.8251542     2.068495e-05      -0.51074461        9.9478483     2.068495e-05 
                0       -10.777778                0      -0.57146939        10.323315    2.3184184e-05      -0.48356283        10.447255    2.3184184e-05 
                0       -10.555556                0      -0.54604032        10.858376    2.6086064e-05      -0.45061738        10.983331    2.6086064e-05 
                0       -10.333333                0      -0.51462027        11.434686    2.9472863e-05      -0.41115723         11.56039    2.9472863e-05 
                0       -10.111111                0       -0.4763864        12.057432    3.3447424e-05      -0.36434481        12.183581    3.3447424e-05 
                0       -9.8888889                0      -0.43041524         12.73287    3.8139274e-05      -0.30924677        12.859115    3.8139274e-05 
                0       -9.6666667                0      -0.37567118        13.468643    4.3712855e-05      -0.24482375        13.594591    4.3712855e-05 
                0       -9.4444444                0      -0.31099357        14.274221    5.0378666e-05      -0.16991907        14.399427    5.0378666e-05 
                0       -9.2222222                0      -0.23508279        15.161517    5.8408518e-05     -0.083246477        15.285483    5.8408518e-05 
                0               -9                0      -0.14648534        16.145776    6.8156529e-05      0.016622885        16.267945    6.8156529e-05 
                0       -8.7777778                0      -0.04357886        17.246873    8.0088252e-05       0.13127347        17.366627    8.0088252e-05 
                0       -8.5555556                0      0.075440877        18.491276    9.4821245e-05       0.26245627         18.60793    9.4821245e-05 
                0       -8.3333333                0       0.21256637        19.915065    0.00011318164        0.4120932        20.027869    0.00011318164 
                0       -8.1111111                0       0.36996761        21.568756    0.00013628252       0.58226441        21.676885    0.00013628252 
                0       -7.8888889                0       0.54994052        23.525204    0.00016563051       0.77515498        23.627762    0.00016563051 
                0       -7.6666667                0       0.75476012        25.893002    0.00020326377       0.99290688        25.989017    0.00020326377 
                0       -7.4444444                0       0.98631067        28.839783    0.00025190975        1.2372485        28.928209    0.00025190975 
                0       -7.2222222                0        1.2451816        32.633062    0.00031510036        1.5085904        32.712779    0.00031510036 
                0               -7                0        1.5284542        37.707917    0.00039703107        1.8038139        37.777735    0.00039703107 
                0       -6.7777778                0        1.8242983        44.744046    0.00050155601        2.1108692        44.802707    0.00050155601 
                0       -6.5555556                0        2.0999298        54.491282    0.00062906428        2.3967373        54.537469    0.00062906428 
                0       -6.3333333                0         2.288824         65.55798    0.00077216864        2.5946484        65.590322    0.00077216864 
                0       -6.1111111                0        2.3778572        64.685272    0.00093207102        2.6912298        64.702359    0.00093207102 
                0       -5.8888889                0         2.669645        36.897403     0.0011529164        2.9888533        36.897796     0.0011529164 
                0       -5.6666667                0        3.4756089        16.268918     0.0015037165        3.7987102        16.251167     0.0015037165 
                0       -5.4444444                0        5.1365282        11.036104     0.0021378567        5.4613737        10.998764     0.0021378567 
                0       -5.2222222                0        8.0155878        9.6494897     0.0028204866        8.3398568        9.5911449     0.0028204866 
                0               -5                0        11.791626        6.9720416     0.0013091754        12.112871        6.8913257     0.0013091754 
                0       -4.7777778                0        14.736765        1.9046299    -0.0028426683        15.052463         1.800252    -0.0028426683 
                0       -4.5555556                0        15.820643       -4.6208635    -0.0066063953        16.128259       -4.7500934    -0.0066063953 
                0       -4.3333333                0        15.475364        -14.80283    -0.0050127277        15.772413       -14.957973    -0.0050127277 
                0       -4.1111111                0        13.439444       -31.078837   -0.00019049294        13.723562       -31.260802   -0.00019049294 
                0       -3.8888889                0         9.734611       -45.904381     0.0026431006        10.003616       -46.113893     0.0026431006 
                0       -3.6666667                0        6.1218752       -52.477421     0.0026178032        6.3738325       -52.714999     0.0026178032 
                0       -3.4444444                0        3.6497113       -53.878329     0.0017002404        3.8829856       -54.144266     0.0017002404 
                0       -3.2222222                0        2.1288119       -53.719478     0.0010740207        2.3421117       -54.013821     0.0010740207 
                0               -3                0        1.1977204       -53.164053    0.00067953253        1.3901307       -53.486584    0.00067953253 
                0       -2.7777778                0       0.61884963       -52.513353    0.00043319989       0.78985157       -52.863582    0.00043319989 
                0       -2.5555556                0       0.25075187       -51.856652    0.00027908449       0.40023022       -52.233809    0.00027908449 
                0       -2.3333333                0      0.010127022       -51.226852    0.00018215356       0.13836553       -51.629889    0.00018215356 
                0       -2.1111111                0      -0.15217983       -50.639577    0.00012068917     -0.044513706       -51.067167    0.00012068917 
                0       -1.8888889                0      -0.26530492       -50.102346    8.1273237e-05      -0.17718406       -50.552894    8.1273237e-05 
                0       -1.6666667                0      -0.34662776       -49.619888    5.5620184e-05      -0.27669619       -50.091548    5.5620184e-05 
                0       -1.4444444                0      -0.40659999       -49.195646    3.8603766e-05      -0.35320837       -49.686332    3.8603766e-05 
                0       -1.2222222                0      -0.45155459       -48.830781    2.7039191e-05      -0.41279842       -49.338196    2.7039191e-05 
                0               -1                0      -0.48537123        -48.52618    1.8933324e-05      -0.45913017       -49.047836    1.8933324e-05 
                0      -0.77777778                0      -0.51044445       -48.282288    1.3023723e-05      -0.49442135       -48.815537    1.3023723e-05 
                0      -0.55555556                0      -0.52825545       -48.099287    8.4947138e-06      -0.52001437       -48.641347    8.4947138e-06 
                0      -0.33333333                0      -0.53970562       -47.977225    4.8006633e-06      -0.53670841       -48.525216    4.8006633e-06 
                0      -0.11111111                0      -0.54531554       -47.916514     1.553403e-06      -0.54495689       -48.467487     1.553403e-06 
                0       0.11111111                0      -0.54531554       -47.916514   -1.5534031e-06      -0.54495689       -48.467487   -1.5534031e-06 
                0       0.33333333                0      -0.53970562       -47.977225   -4.8006637e-06      -0.53670841       -48.525216   -4.8006637e-06 
                0       0.55555556                0      -0.52825545       -48.099287   -8.4947143e-06      -0.52001437       -48.641347   -8.4947143e-06 
                0       0.77777778                0      -0.51044445       -48.282288   -1.3023723e-05      -0.49442135       -48.815537   -1.3023723e-05 
                0                1                0      -0.48537123        -48.52618   -1.8933324e-05      -0.45913017       -49.047836   -1.8933324e-05 
                0        1.2222222                0      -0.45155459       -48.830781   -2.7039191e-05      -0.41279842       -49.338196   -2.7039191e-05 
                0        1.4444444                0      -0.40659999       -49.195646   -3.8603766e-05      -0.35320837       -49.686332   -3.8603766e-05 
                0        1.6666667                0      -0.34662776       -49.619888   -5.5620184e-05      -0.27669619       -50.091548   -5.5620184e-05 
                0        1.8888889                0      -0.26530492       -50.102346   -8.1273237e-05      -0.17718406       -50.552894   -8.1273237e-05 
                0        2.1111111                0      -0.15217983       -50.639577   -0.00012068917     -0.044513706       -51.067167   -0.00012068917 
                0        2.3333333                0      0.010127022       -51.226852   -0.00018215356       0.13836553       -51.629889   -0.00018215356 
                0        2.5555556                0       0.25075187       -51.856652   -0.00027908449       0.40023022       -52.233809   -0.00027908449 
                0        2.7777778                0       0.61884963       -52.513353    -0.0004331999       0.78985157       -52.863582    -0.0004331999 
                0                3                0        1.1977204       -53.164053   -0.00067953253        1.3901307       -53.486584   -0.00067953253 
                0        3.2222222                0        2.1288119       -53.719478    -0.0010740207        2.3421117       -54.013821    -0.0010740207 
                0        3.4444444                0        3.6497113       -53.878329    -0.0017002404        3.8829856       -54.144266    -0.0017002404 
                0        3.6666667                0        6.1218752       -52.477421    -0.0026178032        6.3738325       -52.714999    -0.0026178032 
                0        3.8888889                0         9.734611       -45.904381    -0.0026431006        10.003616       -46.113893    -0.0026431006 
                0        4.1111111                0        13.439444       -31.078837    0.00019049294        13.723562       -31.260802    0.00019049294 
                0        4.3333333                0        15.475364        -14.80283     0.0050127276        15.772413       -14.957973     0.0050127276 
                0        4.5555556                0        15.820643       -4.6208635     0.0066063953        16.128259       -4.7500934     0.0066063953 
                0        4.7777778                0        14.736765        1.9046299     0.0028426683        15.052463         1.800252     0.0028426683 
                0                5                0        11.791626        6.9720416    -0.0013091754        12.112871        6.8913257    -0.0013091754 
                0        5.2222222                0        8.0155878        9.6494897    -0.0028204866        8.3398568        9.5911449    -0.0028204866 
                0        5.4444444                0        5.1365282        11.036104    -0.0021378567        5.4613737        10.998764    -0.0021378567 
                0        5.6666667                0        3.4756089        16.268918    -0.0015037165        3.7987102        16.251167    -0.0015037165 
                0        5.8888889                0         2.669645        36.897403    -0.0011529164        2.9888533        36.897796    -0.0011529164 
                0        6.1111111                0        2.3778572        64.685272   -0.00093207102        2.6912298        64.702359   -0.00093207102 
                0        6.3333333                0         2.288824         65.55798   -0.00077216864        2.5946484        65.590322   -0.00077216864 
                0        6.5555556                0        2.0999298        54.491282   -0.00062906428        2.3967373        54.537469   -0.00062906428 
                0        6.7777778                0        1.8242983        44.744046   -0.00050155601        2.1108692        44.802707   -0.00050155601 
                0                7                0        1.5284542        37.707917   -0.00039703107        1.8038139        37.777735   -0.00039703107 
                0        7.2222222                0        1.2451816        32.633062   -0.00031510036        1.5085904        32.712779   -0.00031510036 
                0        7.4444444                0       0.98631067        28.839783   -0.00025190975        1.2372485        28.928209   -0.00025190975 
                0        7.6666667                0       0.75476012        25.893002   -0.00020326377       0.99290688        25.989017   -0.00020326377 
                0        7.8888889                0       0.54994052        23.525204   -0.00016563051       0.77515498        23.627762   -0.00016563051 
                0        8.1111111                0       0.36996761        21.568756   -0.00013628252       0.58226441        21.676885   -0.00013628252 
                0        8.3333333                0       0.21256637        19.915065   -0.00011318164        0.4120932        20.027869   -0.00011318164 
                0        8.5555556                0      0.075440877        18.491276   -9.4821245e-05       0.26245627         18.60793   -9.4821245e-05 
                0        8.7777778                0      -0.04357886        17.246873   -8.0088252e-05       0.13127347        17.366627   -8.0088252e-05 
                0                9                0      -0.14648534        16.145776   -6.8156529e-05      0.016622885        16.267945   -6.8156529e-05 
                0        9.2222222                0      -0.23508279        15.161517   -5.8408518e-05     -0.083246477        15.285483   -5.8408518e-05 
                0        9.4444444                0      -0.31099357        14.274221   -5.0378666e-05      -0.16991907        14.399427   -5.0378666e-05 
                0        9.6666667                0      -0.37567118        13.468643   -4.3712855e-05      -0.24482375        13.594591   -4.3712855e-05 
                0        9.8888889                0      -0.43041524         12.73287   -3.8139274e-05      -0.30924677        12.859115   -3.8139274e-05 
                0        10.111111                0       -0.4763864        12.057432   -3.3447424e-05      -0.36434481        12.183581   -3.3447424e-05 
                0        10.333333                0      -0.51462027        11.434686   -2.9472863e-05      -0.41115723         11.56039   -2.9472863e-05 
                0        10.555556                0      -0.54604032        10.858376   -2.6086064e-05      -0.45061738        10.983331   -2.6086064e-05 
                0        10.777778                0      -0.57146939        10.323315   -2.3184184e-05      -0.48356283        10.447255   -2.3184184e-05 
                0               11                0      -0.59164016        9.8251542    -2.068495e-05      -0.51074461        9.9478483    -2.068495e-05 


