%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%          X (in)           Y (in)           Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
         0.048781        -0.987688        -0.156435       -6.9022023       0.22155892      0.035098126        19993.098       0.22155892      0.035098126 
         0.048781      -0.97781112      -0.15487065       -6.8561304       0.22147962      0.035078246        19993.144       0.22147962      0.035078246 
         0.048781      -0.96793424       -0.1533063       -6.8100761       0.22138116      0.035062777         19993.19       0.22138116      0.035062777 
         0.048781      -0.95805736      -0.15174195       -6.7640576        0.2212364      0.035039026        19993.236        0.2212364      0.035039026 
         0.048781      -0.94818048       -0.1501776       -6.7180482       0.22104799      0.035011437        19993.282       0.22104799      0.035011437 
         0.048781       -0.9383036      -0.14861325       -6.6720974       0.22086054      0.034975127        19993.328       0.22086054      0.034975127 
         0.048781      -0.92842672       -0.1470489       -6.6261896        0.2206053       0.03493391        19993.374        0.2206053       0.03493391 
         0.048781      -0.91854984      -0.14548455       -6.5803142       0.22033124      0.034883853         19993.42       0.22033124      0.034883853 
         0.048781      -0.90867296       -0.1439202       -6.5345275       0.21999284      0.034829826        19993.465       0.21999284      0.034829826 
         0.048781      -0.89879608      -0.14235585       -6.4888027       0.21962812      0.034779183        19993.511       0.21962812      0.034779183 
         0.048781       -0.8889192       -0.1407915       -6.4431695       0.21922204      0.034713688        19993.557       0.21922204      0.034713688 
         0.048781      -0.87904232      -0.13922715       -6.3975847       0.21878181      0.034636817        19993.602       0.21878181      0.034636817 
         0.048781      -0.86916544       -0.1376628       -6.3521198       0.21828715       0.03455447        19993.648       0.21828715       0.03455447 
         0.048781      -0.85928856      -0.13609845       -6.3067693       0.21776862      0.034477177        19993.693       0.21776862      0.034477177 
         0.048781      -0.84941168       -0.1345341         -6.26152       0.21717808      0.034381803        19993.738       0.21717808      0.034381803 
         0.048781       -0.8395348      -0.13296975       -6.2164012       0.21657393      0.034284142        19993.784       0.21657393      0.034284142 
         0.048781      -0.82965792       -0.1314054       -6.1714173        0.2159166      0.034180596        19993.829        0.2159166      0.034180596 
         0.048781      -0.81978104      -0.12984105       -6.1265387       0.21522534      0.034065091        19993.873       0.21522534      0.034065091 
         0.048781      -0.80990416       -0.1282767       -6.0818517       0.21447195      0.033974981        19993.918       0.21447195      0.033974981 
         0.048781      -0.80002728      -0.12671235       -6.0373282       0.21373438      0.033863134        19993.963       0.21373438      0.033863134 
         0.048781       -0.7901504        -0.125148       -5.9929486       0.21297656      0.033737687        19994.007       0.21297656      0.033737687 
         0.048781      -0.78027352      -0.12358365       -5.9486959       0.21216237       0.03362494        19994.051       0.21216237       0.03362494 
         0.048781      -0.77039664       -0.1220193       -5.9046614       0.21130254      0.033499664        19994.095       0.21130254      0.033499664 
         0.048781      -0.76051976      -0.12045495       -5.8608045        0.2103977      0.033361515        19994.139        0.2103977      0.033361515 
         0.048781      -0.75064288       -0.1188906       -5.8171288        0.2094127       0.03321697        19994.183        0.2094127       0.03321697 
         0.048781        -0.740766      -0.11732625       -5.7736738       0.20847491      0.033058126        19994.226       0.20847491      0.033058126 
         0.048781      -0.73088912       -0.1157619       -5.7304185       0.20741846       0.03287534         19994.27       0.20741846       0.03287534 
         0.048781      -0.72101224      -0.11419755       -5.6874739        0.2062871      0.032701723        19994.313        0.2062871      0.032701723 
         0.048781      -0.71113536       -0.1126332       -5.6447349       0.20516116      0.032516863        19994.355       0.20516116      0.032516863 
         0.048781      -0.70125848      -0.11106885       -5.6020747       0.20410845      0.032325424        19994.398       0.20410845      0.032325424 
         0.048781       -0.6913816       -0.1095045       -5.5598232       0.20276656       0.03211756         19994.44       0.20276656       0.03211756 
         0.048781      -0.68150472      -0.10794015       -5.5175871       0.20153572      0.031920947        19994.482       0.20153572      0.031920947 
         0.048781      -0.67162784       -0.1063758       -5.4756603        0.2002465      0.031708498        19994.524        0.2002465      0.031708498 
         0.048781      -0.66175096      -0.10481145       -5.4342824       0.19897898      0.031510261        19994.566       0.19897898      0.031510261 
         0.048781      -0.65187408       -0.1032471       -5.3929185       0.19764245      0.031262488        19994.607       0.19764245      0.031262488 
         0.048781       -0.6419972      -0.10168275       -5.3520772       0.19629325      0.031053793        19994.648       0.19629325      0.031053793 
         0.048781      -0.63212032       -0.1001184       -5.3115052       0.19484636      0.030815657        19994.688       0.19484636      0.030815657 
         0.048781      -0.62224344      -0.09855405       -5.2710511       0.19362743      0.030625976        19994.729       0.19362743      0.030625976 
         0.048781      -0.61236656       -0.0969897       -5.2309042       0.19215095      0.030398378        19994.769       0.19215095      0.030398378 
         0.048781      -0.60248968      -0.09542535       -5.1910203       0.19065302      0.030115628        19994.809       0.19065302      0.030115628 
         0.048781       -0.5926128        -0.093861       -5.1512327       0.18905699      0.029987689        19994.849       0.18905699      0.029987689 
         0.048781      -0.58273592      -0.09229665       -5.1118669       0.18743732      0.029707895        19994.888       0.18743732      0.029707895 
         0.048781      -0.57285904       -0.0907323       -5.0730441        0.1858373      0.029500797        19994.927        0.1858373      0.029500797 
         0.048781      -0.56298216      -0.08916795       -5.0344087       0.18408742       0.02921012        19994.966       0.18408742       0.02921012 
         0.048781      -0.55310528       -0.0876036       -4.9964107       0.18248397      0.028849365        19995.004       0.18248397      0.028849365 
         0.048781       -0.5432284      -0.08603925       -4.9583614       0.18071399      0.028876828        19995.042       0.18071399      0.028876828 
         0.048781      -0.53335152       -0.0844749       -4.9205626       0.17894599      0.028476133        19995.079       0.17894599      0.028476133 
         0.048781      -0.52347464      -0.08291055       -4.8832268       0.17711268       0.02810929        19995.117       0.17711268       0.02810929 
         0.048781      -0.51359776       -0.0813462       -4.8463008       0.17517026      0.027716214        19995.154       0.17517026      0.027716214 
         0.048781      -0.50372088      -0.07978185       -4.8100887       0.17315362       0.02732805         19995.19       0.17315362       0.02732805 
         0.048781        -0.493844       -0.0782175        -4.774198       0.17120485      0.026811624        19995.226       0.17120485      0.026811624 
         0.048781      -0.48396712      -0.07665315       -4.7395906       0.16827052      0.026484894         19995.26       0.16827052      0.026484894 
         0.048781      -0.47409024       -0.0750888       -4.7041231       0.16396356      0.025458638        19995.296       0.16396356      0.025458638 
         0.048781      -0.46421336      -0.07352445       -4.6684217        0.1599456      0.024545741        19995.332        0.1599456      0.024545741 
         0.048781      -0.45433648       -0.0719601        -4.635288       0.15504642       0.02292819        19995.365       0.15504642       0.02292819 
         0.048781       -0.4444596      -0.07039575       -4.6026814       0.14973733      0.022330978        19995.397       0.14973733      0.022330978 
         0.048781      -0.43458272       -0.0688314       -4.5683973       0.14188081      0.020816169        19995.432       0.14188081      0.020816169 
         0.048781      -0.42470584      -0.06726705       -4.5388529       0.13390742      0.019100465        19995.461       0.13390742      0.019100465 
         0.048781      -0.41482896       -0.0657027       -4.6943117      0.077347889      0.078821765        19995.306      0.077347889      0.078821765 
         0.048781      -0.40495208      -0.06413835       -4.4893593       0.11877711      0.019008071        19995.511       0.11877711      0.019008071 
         0.048781       -0.3950752        -0.062574       -4.4692657       0.10822421       0.01849077        19995.531       0.10822421       0.01849077 
         0.048781      -0.38519832      -0.06100965       -4.4469234       0.10060404      0.021065281        19995.553       0.10060404      0.021065281 
         0.048781      -0.37532144       -0.0594453         -4.42967      0.094108532      0.019258198         19995.57      0.094108532      0.019258198 
         0.048781      -0.36544456      -0.05788095       -4.4145425      0.091926728      0.017529728        19995.585      0.091926728      0.017529728 
         0.048781      -0.35556768       -0.0563166       -4.3950465      0.087454723      0.014872556        19995.605      0.087454723      0.014872556 
         0.048781       -0.3456908      -0.05475225       -5.9181445       -1.0008381     -0.073447813        19994.082       -1.0008381     -0.073447813 
         0.048781      -0.33581392       -0.0531879       -4.3876104      0.090601994    -0.0067679417        19995.612      0.090601994    -0.0067679417 
         0.048781      -0.32593704      -0.05162355       -4.3414944      0.093596686      0.014638193        19995.659      0.093596686      0.014638193 
         0.048781      -0.31606016       -0.0500592       -4.3244683      0.090157842      0.015940093        19995.676      0.090157842      0.015940093 
         0.048781      -0.30618328      -0.04849485       -4.3031012      0.089494908      0.013949193        19995.697      0.089494908      0.013949193 
         0.048781       -0.2963064       -0.0469305       -4.2810585      0.090059016      0.014118782        19995.719      0.090059016      0.014118782 
         0.048781      -0.28642952      -0.04536615       -4.2630021      0.088510273      0.014142105        19995.737      0.088510273      0.014142105 
         0.048781      -0.27655264       -0.0438018       -4.2436822      0.084695981      0.013106518        19995.756      0.084695981      0.013106518 
         0.048781      -0.26667576      -0.04223745       -4.2256596      0.082355611      0.013037159        19995.774      0.082355611      0.013037159 
         0.048781      -0.25679888       -0.0406731       -4.2070893      0.079827113       0.01248665        19995.793      0.079827113       0.01248665 
         0.048781        -0.246922      -0.03910875        -4.191912      0.078330941      0.012566674        19995.808      0.078330941      0.012566674 
         0.048781      -0.23704512       -0.0375444       -4.1763272      0.076029596      0.011872538        19995.824      0.076029596      0.011872538 
         0.048781      -0.22716824      -0.03598005       -4.1606348      0.072824751      0.011559593        19995.839      0.072824751      0.011559593 
         0.048781      -0.21729136       -0.0344157       -4.1462106      0.070216916      0.011029482        19995.854      0.070216916      0.011029482 
         0.048781      -0.20741448      -0.03285135       -4.1324814      0.066854475      0.010546214        19995.868      0.066854475      0.010546214 
         0.048781       -0.1975376        -0.031287       -4.1192319      0.063871303     0.0098146835        19995.881      0.063871303     0.0098146835 
         0.048781      -0.18766072      -0.02972265        -4.106167      0.060747014     0.0093221169        19995.894      0.060747014     0.0093221169 
         0.048781      -0.17778384       -0.0281583       -4.0940136      0.057809499     0.0090290653        19995.906      0.057809499     0.0090290653 
         0.048781      -0.16790696      -0.02659395       -4.0820354      0.054756814     0.0085774532        19995.918      0.054756814     0.0085774532 
         0.048781      -0.15803008       -0.0250296        -4.070231      0.051646401     0.0080808574         19995.93      0.051646401     0.0080808574 
         0.048781       -0.1481532      -0.02346525       -4.0603485      0.048569534      0.007746685         19995.94      0.048569534      0.007746685 
         0.048781      -0.13827632       -0.0219009       -4.0509165      0.045379642     0.0071521451        19995.949      0.045379642     0.0071521451 
         0.048781      -0.12839944      -0.02033655       -4.0418935      0.042409411     0.0066861967        19995.958      0.042409411     0.0066861967 
         0.048781      -0.11852256       -0.0187722       -4.0334645      0.039209449     0.0061889776        19995.967      0.039209449     0.0061889776 
         0.048781      -0.10864568      -0.01720785       -4.0252935      0.036135319     0.0057282285        19995.975      0.036135319     0.0057282285 
         0.048781       -0.0987688       -0.0156435       -4.0179863      0.033006949     0.0052893974        19995.982      0.033006949     0.0052893974 
         0.048781      -0.08889192      -0.01407915       -4.0118254      0.029765342     0.0047711074        19995.988      0.029765342     0.0047711074 
         0.048781      -0.07901504       -0.0125148       -4.0061983      0.026424943     0.0041047118        19995.994      0.026424943     0.0041047118 
         0.048781      -0.06913816      -0.01095045       -4.0015234      0.022884611     0.0035412927        19995.998      0.022884611     0.0035412927 
         0.048781      -0.05926128       -0.0093861        -3.996872      0.019629807     0.0031026595        19996.003      0.019629807     0.0031026595 
         0.048781       -0.0493844      -0.00782175       -3.9930462      0.016399182      0.002599138        19996.007      0.016399182      0.002599138 
         0.048781      -0.03950752       -0.0062574       -3.9897248      0.013054793     0.0020711004         19996.01      0.013054793     0.0020711004 
         0.048781      -0.02963064      -0.00469305       -3.9870654      0.009629754     0.0015304903        19996.013      0.009629754     0.0015304903 
         0.048781      -0.01975376       -0.0031287       -3.9853698     0.0064056734     0.0010165642        19996.015     0.0064056734     0.0010165642 
         0.048781      -0.00987688      -0.00156435       -3.9843677     0.0031902973    0.00050544237        19996.016     0.0031902973    0.00050544237 
         0.048781                0                0       -3.9838918     5.186962e-13   -2.4658391e-09        19996.016     5.186962e-13   -2.4658391e-09 
         0.048781       0.00987688       0.00156435       -3.9843677    -0.0031902973    -0.0005054473        19996.016    -0.0031902973    -0.0005054473 
         0.048781       0.01975376        0.0031287       -3.9853698    -0.0064056734    -0.0010165692        19996.015    -0.0064056734    -0.0010165692 
         0.048781       0.02963064       0.00469305       -3.9870654     -0.009629754    -0.0015304952        19996.013     -0.009629754    -0.0015304952 
         0.048781       0.03950752        0.0062574       -3.9897248     -0.013054793    -0.0020711054         19996.01     -0.013054793    -0.0020711054 
         0.048781        0.0493844       0.00782175       -3.9930462     -0.016399182     -0.002599143        19996.007     -0.016399182     -0.002599143 
         0.048781       0.05926128        0.0093861        -3.996872     -0.019629807    -0.0031026644        19996.003     -0.019629807    -0.0031026644 
         0.048781       0.06913816       0.01095045       -4.0015234     -0.022884611    -0.0035412976        19995.998     -0.022884611    -0.0035412976 
         0.048781       0.07901504        0.0125148       -4.0061983     -0.026424943    -0.0041047167        19995.994     -0.026424943    -0.0041047167 
         0.048781       0.08889192       0.01407915       -4.0118254     -0.029765342    -0.0047711123        19995.988     -0.029765342    -0.0047711123 
         0.048781        0.0987688        0.0156435       -4.0179863     -0.033006949    -0.0052894024        19995.982     -0.033006949    -0.0052894024 
         0.048781       0.10864568       0.01720785       -4.0252935     -0.036135319    -0.0057282334        19995.975     -0.036135319    -0.0057282334 
         0.048781       0.11852256        0.0187722       -4.0334645     -0.039209449    -0.0061889825        19995.967     -0.039209449    -0.0061889825 
         0.048781       0.12839944       0.02033655       -4.0418935     -0.042409411    -0.0066862017        19995.958     -0.042409411    -0.0066862017 
         0.048781       0.13827632        0.0219009       -4.0509165     -0.045379642      -0.00715215        19995.949     -0.045379642      -0.00715215 
         0.048781        0.1481532       0.02346525       -4.0603485     -0.048569534    -0.0077466899         19995.94     -0.048569534    -0.0077466899 
         0.048781       0.15803008        0.0250296        -4.070231     -0.051646401    -0.0080808623         19995.93     -0.051646401    -0.0080808623 
         0.048781       0.16790696       0.02659395       -4.0820354     -0.054756814    -0.0085774581        19995.918     -0.054756814    -0.0085774581 
         0.048781       0.17778384        0.0281583       -4.0940136     -0.057809499    -0.0090290702        19995.906     -0.057809499    -0.0090290702 
         0.048781       0.18766072       0.02972265        -4.106167     -0.060747014    -0.0093221218        19995.894     -0.060747014    -0.0093221218 
         0.048781        0.1975376         0.031287       -4.1192319     -0.063871303    -0.0098146884        19995.881     -0.063871303    -0.0098146884 
         0.048781       0.20741448       0.03285135       -4.1324814     -0.066854475     -0.010546219        19995.868     -0.066854475     -0.010546219 
         0.048781       0.21729136        0.0344157       -4.1462106     -0.070216916     -0.011029487        19995.854     -0.070216916     -0.011029487 
         0.048781       0.22716824       0.03598005       -4.1606348     -0.072824751     -0.011559598        19995.839     -0.072824751     -0.011559598 
         0.048781       0.23704512        0.0375444       -4.1763272     -0.076029596     -0.011872543        19995.824     -0.076029596     -0.011872543 
         0.048781         0.246922       0.03910875        -4.191912     -0.078330941     -0.012566679        19995.808     -0.078330941     -0.012566679 
         0.048781       0.25679888        0.0406731       -4.2070893     -0.079827113     -0.012486655        19995.793     -0.079827113     -0.012486655 
         0.048781       0.26667576       0.04223745       -4.2256596     -0.082355611     -0.013037163        19995.774     -0.082355611     -0.013037163 
         0.048781       0.27655264        0.0438018       -4.2436822     -0.084695981     -0.013106523        19995.756     -0.084695981     -0.013106523 
         0.048781       0.28642952       0.04536615       -4.2630021     -0.088510273      -0.01414211        19995.737     -0.088510273      -0.01414211 
         0.048781        0.2963064        0.0469305       -4.2810585     -0.090059016     -0.014118786        19995.719     -0.090059016     -0.014118786 
         0.048781       0.30618328       0.04849485       -4.3031012     -0.089494908     -0.013949198        19995.697     -0.089494908     -0.013949198 
