%    UNITS: X,Y,Z in m;  Magnetic Field Intensity in Amps/meter
%           X (m)            Y (m)            Z (m)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
           -0.254                0                0     0.0028674753    1.6814569e-23   -3.3953559e-23        8.0028675    1.6814569e-23   -3.3953559e-23 
         -0.24892                0                0     0.0031036038   -3.6591226e-23    2.6255988e-23        8.0031036   -3.6591226e-23    2.6255988e-23 
         -0.24384                0                0     0.0033676659   -1.7861163e-23    -2.409136e-22        8.0033677   -1.7861163e-23    -2.409136e-22 
         -0.23876                0                0     0.0036640714    2.8664513e-23   -2.0261875e-22        8.0036641    2.8664513e-23   -2.0261875e-22 
         -0.23368                0                0     0.0039981157    1.1463837e-23   -3.9598339e-23        8.0039981    1.1463837e-23   -3.9598339e-23 
          -0.2286                0                0     0.0043761979    1.9583383e-23    -1.982717e-23        8.0043762    1.9583383e-23    -1.982717e-23 
         -0.22352                0                0     0.0048061049   -4.0647371e-23    1.9724148e-22        8.0048061   -4.0647371e-23    1.9724148e-22 
         -0.21844                0                0     0.0052973814     2.985816e-23    2.2553273e-22        8.0052974     2.985816e-23    2.2553273e-22 
         -0.21336                0                0     0.0058618209    9.7819384e-24   -9.0796457e-23        8.0058618    9.7819384e-24   -9.0796457e-23 
         -0.20828                0                0     0.0065141201   -5.6396881e-23   -1.2725621e-22        8.0065141   -5.6396881e-23   -1.2725621e-22 
          -0.2032                0                0     0.0072727642      1.26621e-22    1.4242425e-22        8.0072728      1.26621e-22    1.4242425e-22 
         -0.19812                0                0      0.008161238   -2.0633164e-23     1.313886e-22        8.0081612   -2.0633164e-23     1.313886e-22 
         -0.19304                0                0     0.0092097066    8.5722506e-23    9.1999946e-23        8.0092097    8.5722506e-23    9.1999946e-23 
         -0.18796                0                0       0.01045738   -1.2095748e-22    2.4468813e-23        8.0104574   -1.2095748e-22    2.4468813e-23 
         -0.18288                0                0      0.011955894   -2.4363607e-23    2.5066559e-22        8.0119559   -2.4363607e-23    2.5066559e-22 
          -0.1778                0                0      0.013774234     1.072197e-22   -2.5710443e-22        8.0137742     1.072197e-22   -2.5710443e-22 
         -0.17272                0                0      0.016006029   -3.1923278e-22   -5.1831262e-22         8.016006   -3.1923278e-22   -5.1831262e-22 
         -0.16764                0                0      0.018780597   -4.0182581e-22   -2.7866524e-23        8.0187806   -4.0182581e-22   -2.7866524e-23 
         -0.16256                0                0      0.022280034   -1.0089858e-22   -2.7634287e-21          8.02228   -1.0089858e-22   -2.7634287e-21 
         -0.15748                0                0       0.02676631    7.2490831e-24   -3.3620426e-21        8.0267663    7.2490831e-24   -3.3620426e-21 
          -0.1524                0                0      0.032625348    1.6931747e-22    4.6274148e-21        8.0326253    1.6931747e-22    4.6274148e-21 
         -0.14732                0                0      0.040440681    4.0313766e-22    1.0494889e-21        8.0404407    4.0313766e-22    1.0494889e-21 
         -0.14224                0                0      0.051119745    4.3456293e-22    1.1417948e-20        8.0511197    4.3456293e-22    1.1417948e-20 
         -0.13716                0                0      0.066114975    2.2985384e-22    1.0490068e-22         8.066115    2.2985384e-22    1.0490068e-22 
         -0.13208                0                0      0.087811943    3.1648626e-22   -9.2728463e-21        8.0878119    3.1648626e-22   -9.2728463e-21 
           -0.127                0                0        0.1201745    3.7316254e-22   -1.8034619e-20        8.1201745    3.7316254e-22   -1.8034619e-20 
