%          X (in)           Y (in)           Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
       0.86377273                0           0.3835        20001.025   -4.0756599e-12       -1.7673735        20001.025   -4.0756599e-12       -1.7673735      0.050268058    -1.024325e-17    -4.441894e-06        20001.025        20001.025      0.050268058 
        1.0553182                0           0.3835        20004.557    4.4537569e-12       -2.5955907        20004.557    4.4537569e-12       -2.5955907      0.050276934    1.1193512e-17   -6.5234309e-06        20004.557        20004.557      0.050276935 
        1.2468636                0           0.3835        20009.715   -2.1599734e-12       -3.8143936        20009.715   -2.1599734e-12       -3.8143936      0.050289899   -5.4286052e-18   -9.5866168e-06        20009.715        20009.715        0.0502899 
        1.4384091                0           0.3835        20017.285    6.4001812e-14       -5.6582753        20017.285    6.4001812e-14       -5.6582753      0.050308924     1.608541e-19   -1.4220797e-05        20017.285        20017.285      0.050308926 
        1.6299545                0           0.3835        20028.526   -3.5949059e-12       -8.5227047        20028.526   -3.5949059e-12       -8.5227047      0.050337176    -9.034984e-18   -2.1419893e-05        20028.528        20028.528       0.05033718 
           1.8215                0           0.3835        20045.527    3.1776452e-12       -13.086891        20045.527    3.1776452e-12       -13.086891      0.050379904    7.9862934e-18   -3.2890944e-05        20045.531        20045.531      0.050379915 
        2.0130455                0           0.3835        20071.911    1.8094785e-12       -20.525288        20071.911    1.8094785e-12       -20.525288      0.050446215    4.5477155e-18   -5.1585676e-05        20071.922        20071.922      0.050446242 
        2.2045909                0           0.3835        20114.536     9.924711e-13       -32.813035        20114.536     9.924711e-13       -32.813035      0.050553343    2.4943519e-18   -8.2468151e-05        20114.563        20114.563      0.050553411 
        2.3961364                0           0.3835         20188.82   -9.6396936e-13       -52.851278         20188.82   -9.6396936e-13       -52.851278       0.05074004   -2.4227192e-18   -0.00013282975         20188.89         20188.89      0.050740214 
        2.5876818                0           0.3835        20342.278    1.0713687e-12       -82.110119        20342.278    1.0713687e-12       -82.110119      0.051125721    2.6926432e-18   -0.00020636524        20342.444        20342.444      0.051126137 
        2.7792273                0           0.3835        20821.321   -2.4204854e-12       -54.762997        20821.321   -2.4204854e-12       -54.762997      0.052329688   -6.0833433e-18   -0.00013763442        20821.393        20821.393      0.052329869 
                0                0           0.3835         19995.57    3.9674962e-14   -1.4288248e-09         19995.57    3.9674962e-14   -1.4288248e-09      0.050254349    9.9714055e-20   -3.5910283e-15         19995.57         19995.57      0.050254349 
      -0.65626017                0           0.3835        19998.478    -6.556126e-13        1.1437469        19998.478    -6.556126e-13        1.1437469      0.050261658   -1.6477342e-18    2.8745495e-06        19998.479        19998.479      0.050261659 
       -0.4327805                0           0.3835        19996.759    8.0174979e-14       0.66435983        19996.759    8.0174979e-14       0.66435983      0.050257337     2.015017e-19    1.6697184e-06        19996.759        19996.759      0.050257337 
      -0.20930083                0           0.3835        19995.843    2.5573345e-13       0.29764289        19995.843    2.5573345e-13       0.29764289      0.050255034    6.4272825e-19    7.4805817e-07        19995.843        19995.843      0.050255034 
       0.20930083                0           0.3835        19995.843    1.9976151e-12      -0.29764289        19995.843    1.9976151e-12      -0.29764289      0.050255034    5.0205544e-18   -7.4805818e-07        19995.843        19995.843      0.050255034 
        0.4327805                0           0.3835        19996.759   -5.0050488e-13      -0.66435984        19996.759   -5.0050488e-13      -0.66435984      0.050257337    -1.257906e-18   -1.6697184e-06        19996.759        19996.759      0.050257337 
       0.65626017                0           0.3835        19998.478   -4.1965783e-12       -1.1437469        19998.478   -4.1965783e-12       -1.1437469      0.050261658   -1.0547152e-17   -2.8745495e-06        19998.479        19998.479      0.050261659 
       -2.7792273                0           0.3835        20821.321   -2.5380267e-12        54.763088        20821.321   -2.5380267e-12        54.763088      0.052329688   -6.3787568e-18    0.00013763465        20821.393        20821.393      0.052329869 
       -2.5876818                0           0.3835        20342.278    3.4128271e-12        82.110116        20342.278    3.4128271e-12        82.110116      0.051125721      8.57737e-18    0.00020636523        20342.444        20342.444      0.051126137 
       -2.3961364                0           0.3835         20188.82   -4.3843737e-13        52.851277         20188.82   -4.3843737e-13        52.851277       0.05074004   -1.1019133e-18    0.00013282975         20188.89         20188.89      0.050740214 
       -2.2045909                0           0.3835        20114.536    3.0307323e-13        32.813035        20114.536    3.0307323e-13        32.813035      0.050553343    7.6170611e-19    8.2468151e-05        20114.563        20114.563      0.050553411 
       -2.0130455                0           0.3835        20071.911    3.1906086e-12        20.525288        20071.911    3.1906086e-12        20.525288      0.050446215     8.018874e-18    5.1585676e-05        20071.922        20071.922      0.050446242 
          -1.8215                0           0.3835        20045.527     2.633989e-13        13.086891        20045.527     2.633989e-13        13.086891      0.050379904    6.6199363e-19    3.2890944e-05        20045.531        20045.531      0.050379915 
       -1.6299545                0           0.3835        20028.526   -3.1869987e-12        8.5227046        20028.526   -3.1869987e-12        8.5227046      0.050337176   -8.0098015e-18    2.1419893e-05        20028.528        20028.528       0.05033718 
       -1.4384091                0           0.3835        20017.285   -1.0487556e-12        5.6582753        20017.285   -1.0487556e-12        5.6582753      0.050308924   -2.6358104e-18    1.4220797e-05        20017.285        20017.285      0.050308926 
       -1.2468636                0           0.3835        20009.715    3.0462494e-13        3.8143936        20009.715    3.0462494e-13        3.8143936      0.050289899    7.6560597e-19    9.5866167e-06        20009.715        20009.715        0.0502899 
       -1.0553182                0           0.3835        20004.557    4.1194987e-12        2.5955907        20004.557    4.1194987e-12        2.5955907      0.050276934    1.0353429e-17    6.5234309e-06        20004.557        20004.557      0.050276935 
      -0.86377273                0           0.3835        20001.025   -4.7375783e-12        1.7673735        20001.025   -4.7375783e-12        1.7673735      0.050268058   -1.1906833e-17     4.441894e-06        20001.025        20001.025      0.050268058 

