%           X (m)            Y (m)            Z (m)         RealPolX         RealPolY         RealPolZ
      0.068755435     0.0010916536      0.009688694        520.73337       0.23804011        2.3811307 
      0.068755435     0.0032202209     0.0092028625        520.94348        0.7506328         2.272386 
      0.068755435     0.0051873127     0.0082555609        520.93397        1.2599864        2.0342547 
      0.068755435     0.0068942911     0.0068942911         520.9331        1.6919744        1.6919744 
      0.068755435     0.0082555609     0.0051873127        520.93397        2.0342547        1.2599864 
      0.068755435     0.0092028625     0.0032202209        520.94348         2.272386        0.7506328 
      0.068755435      0.009688694     0.0010916536        520.73337        2.3811307       0.23804011 
      0.066566304     0.0010916536      0.009688694        525.45808       0.24684044        2.2667045 
      0.066566304     0.0032202209     0.0092028625        525.72644       0.73795031        2.1574166 
      0.066566304     0.0051873127     0.0082555609        525.71203        1.2045788        1.9359262 
      0.066566304     0.0068942911     0.0068942911        525.70942         1.612253         1.612253 
      0.066566304     0.0082555609     0.0051873127        525.71203        1.9359262        1.2045788 
      0.066566304     0.0092028625     0.0032202209        525.72644        2.1574166       0.73795031 
      0.066566304      0.009688694     0.0010916536        525.45808        2.2667045       0.24684044 
      0.064377174     0.0010916536      0.009688694        530.99033       0.24871697        2.2379642 
      0.064377174     0.0032202209     0.0092028625        531.27174       0.73720934        2.1276448 
      0.064377174     0.0051873127     0.0082555609        531.26366        1.1938974        1.9091609 
      0.064377174     0.0068942911     0.0068942911        531.26178        1.5922077        1.5922077 
      0.064377174     0.0082555609     0.0051873127        531.26366        1.9091609        1.1938974 
      0.064377174     0.0092028625     0.0032202209        531.27174        2.1276448       0.73720934 
      0.064377174      0.009688694     0.0010916536        530.99033        2.2379642       0.24871697 
      0.062188043     0.0010916536      0.009688694        536.74978       0.24322634        2.1761822 
      0.062188043     0.0032202209     0.0092028625        537.03691       0.71974362        2.0680665 
      0.062188043     0.0051873127     0.0082555609        537.03181        1.1629557        1.8553794 
      0.062188043     0.0068942911     0.0068942911        537.03098        1.5483675        1.5483675 
      0.062188043     0.0082555609     0.0051873127        537.03181        1.8553794        1.1629557 
      0.062188043     0.0092028625     0.0032202209        537.03691        2.0680665       0.71974362 
      0.062188043      0.009688694     0.0010916536        536.74978        2.1761822       0.24322634 
      0.059998913     0.0010916536      0.009688694        542.49671       0.23524696        2.1002731 
      0.059998913     0.0032202209     0.0092028625        542.78788       0.69572144        1.9956114 
      0.059998913     0.0051873127     0.0082555609        542.78392        1.1231842        1.7902329 
      0.059998913     0.0068942911     0.0068942911        542.78359        1.4944012        1.4944012 
      0.059998913     0.0082555609     0.0051873127        542.78392        1.7902329        1.1231842 
      0.059998913     0.0092028625     0.0032202209        542.78788        1.9956114       0.69572144 
      0.059998913      0.009688694     0.0010916536        542.49671        2.1002731       0.23524696 
      0.057809783     0.0010916536      0.009688694        548.11551       0.22606366        2.0166028 
      0.057809783     0.0032202209     0.0092028625        548.41006       0.66841618        1.9159903 
      0.057809783     0.0051873127     0.0082555609        548.40652        1.0787455        1.7187488 
      0.057809783     0.0068942911     0.0068942911        548.40639        1.4348843        1.4348843 
      0.057809783     0.0082555609     0.0051873127        548.40652        1.7187488        1.0787455 
      0.057809783     0.0092028625     0.0032202209        548.41006        1.9159903       0.66841618 
      0.057809783      0.009688694     0.0010916536        548.11551        2.0166028       0.22606366 
      0.055620652     0.0010916536      0.009688694        553.54613       0.21628837        1.9287755 
      0.055620652     0.0032202209     0.0092028625        553.84373       0.63946026        1.8324994 
      0.055620652     0.0051873127     0.0082555609        553.84034         1.031881        1.6438306 
      0.055620652     0.0068942911     0.0068942911        553.84029        1.3723986        1.3723986 
      0.055620652     0.0082555609     0.0051873127        553.84034        1.6438306         1.031881 
      0.055620652     0.0092028625     0.0032202209        553.84373        1.8324994       0.63946026 
      0.055620652      0.009688694     0.0010916536        553.54613        1.9287755       0.21628837 
      0.053431522     0.0010916536      0.009688694        558.75687       0.20624066        1.8389439 
      0.053431522     0.0032202209     0.0092028625        559.05733       0.60973557         1.747135 
      0.053431522     0.0051873127     0.0082555609        559.05397         0.983866        1.5672465 
      0.053431522     0.0068942911     0.0068942911        559.05395        1.3084825        1.3084825 
      0.053431522     0.0082555609     0.0051873127        559.05397        1.5672465         0.983866 
      0.053431522     0.0092028625     0.0032202209        559.05733         1.747135       0.60973557 
      0.053431522      0.009688694     0.0010916536        558.75687        1.8389439       0.20624066 
      0.051242391     0.0010916536      0.009688694         563.7316       0.19610514        1.7484889 
      0.051242391     0.0032202209     0.0092028625        564.03475       0.57976455        1.6611897 
      0.051242391     0.0051873127     0.0082555609        564.03139       0.93548744         1.490147 
      0.051242391     0.0068942911     0.0068942911        564.03139         1.244121         1.244121 
      0.051242391     0.0082555609     0.0051873127        564.03139         1.490147       0.93548744 
      0.051242391     0.0092028625     0.0032202209        564.03475        1.6611897       0.57976455 
      0.051242391      0.009688694     0.0010916536         563.7316        1.7484889       0.19610514 
      0.049053261     0.0010916536      0.009688694        568.46307       0.18599595        1.6583272 
      0.049053261     0.0032202209     0.0092028625        568.76877       0.54987603        1.5755276 
      0.049053261     0.0051873127     0.0082555609         568.7654        0.8872545        1.4133037 
      0.049053261     0.0068942911     0.0068942911         568.7654        1.1799677        1.1799677 
      0.049053261     0.0082555609     0.0051873127         568.7654        1.4133037        0.8872545 
      0.049053261     0.0092028625     0.0032202209        568.76877        1.5755276       0.54987603 
      0.049053261      0.009688694     0.0010916536        568.46307        1.6583272       0.18599595 
       0.04686413     0.0010916536      0.009688694        572.94924       0.17598619        1.5690728 
       0.04686413     0.0032202209     0.0092028625        573.25737       0.52028299         1.490729 
       0.04686413     0.0051873127     0.0082555609        573.25397       0.83950277        1.3372359 
       0.04686413     0.0068942911     0.0068942911        573.25397        1.1164597        1.1164597 
       0.04686413     0.0082555609     0.0051873127        573.25397        1.3372359       0.83950277 
       0.04686413     0.0092028625     0.0032202209        573.25737         1.490729       0.52028299 
       0.04686413      0.009688694     0.0010916536        572.94924        1.5690728       0.17598619 
         0.044675     0.0010916536      0.009688694        577.19119       0.16612281        1.4811304 
         0.044675     0.0032202209     0.0092028625         577.5016       0.49112312        1.4071773 
         0.044675     0.0051873127     0.0082555609        577.49818       0.79245145        1.2622869 
         0.044675     0.0068942911     0.0068942911        577.49818         1.053885         1.053885 
         0.044675     0.0082555609     0.0051873127        577.49818        1.2622869       0.79245145 
         0.044675     0.0092028625     0.0032202209         577.5016        1.4071773       0.49112312 
         0.044675      0.009688694     0.0010916536        577.19119        1.4811304       0.16612281 
       0.04248587     0.0010916536      0.009688694        581.19183       0.15643507        1.3947554 
       0.04248587     0.0032202209     0.0092028625        581.50439       0.46248254         1.325115 
       0.04248587     0.0051873127     0.0082555609        581.50095       0.74623838        1.1886742 
       0.04248587     0.0068942911     0.0068942911        581.50095       0.99242573       0.99242573 
       0.04248587     0.0082555609     0.0051873127        581.50095        1.1886742       0.74623838 
       0.04248587     0.0092028625     0.0032202209        581.50439         1.325115       0.46248254 
       0.04248587      0.009688694     0.0010916536        581.19183        1.3947554       0.15643507 
      0.040296739     0.0010916536      0.009688694        584.95513       0.14693987        1.3100963 
      0.040296739     0.0032202209     0.0092028625        585.26972       0.43441102        1.2446828 
      0.040296739     0.0051873127     0.0082555609        585.26625       0.70094336        1.1165236 
      0.040296739     0.0068942911     0.0068942911        585.26626        0.9321873        0.9321873 
      0.040296739     0.0082555609     0.0051873127        585.26625        1.1165236       0.70094336 
      0.040296739     0.0092028625     0.0032202209        585.26972        1.2446828       0.43441102 
      0.040296739      0.009688694     0.0010916536        584.95513        1.3100963       0.14693987 
      0.038107609     0.0010916536      0.009688694        588.48565       0.13764533        1.2272233 
      0.038107609     0.0032202209     0.0092028625        588.80214       0.40693245        1.1659474 
      0.038107609     0.0051873127     0.0082555609        588.79865       0.65660448        1.0458951 
      0.038107609     0.0068942911     0.0068942911        588.79865       0.87321984       0.87321984 
      0.038107609     0.0082555609     0.0051873127        588.79865        1.0458951       0.65660448 
      0.038107609     0.0092028625     0.0032202209        588.80214        1.1659474       0.40693245 
      0.038107609      0.009688694     0.0010916536        588.48565        1.2272233       0.13764533 
      0.035918478     0.0010916536      0.009688694         591.7882       0.12855351        1.1461505 
      0.035918478     0.0032202209     0.0092028625        592.10647       0.38005251        1.0889218 
      0.035918478     0.0051873127     0.0082555609        592.10296       0.61322998       0.97680005 
      0.035918478     0.0068942911     0.0068942911        592.10296       0.81553332       0.81553332 
      0.035918478     0.0082555609     0.0051873127        592.10296       0.97680005       0.61322998 
      0.035918478     0.0092028625     0.0032202209        592.10647        1.0889218       0.38005251 
      0.035918478      0.009688694     0.0010916536         591.7882        1.1461505       0.12855351 
      0.033729348     0.0010916536      0.009688694        594.86768       0.11966262        1.0668509 
      0.033729348     0.0032202209     0.0092028625         595.1876       0.35376491        1.0135795 
      0.033729348     0.0051873127     0.0082555609        595.18407       0.57080743       0.90921453 
      0.033729348     0.0068942911     0.0068942911        595.18407       0.75910871       0.75910871 
      0.033729348     0.0082555609     0.0051873127        595.18407       0.90921453       0.57080743 
      0.033729348     0.0092028625     0.0032202209         595.1876        1.0135795       0.35376491 
      0.033729348      0.009688694     0.0010916536        594.86768        1.0668509       0.11966262 
      0.031540217     0.0010916536      0.009688694        597.72891       0.11096946       0.98926822 
      0.031540217     0.0032202209     0.0092028625        598.05035       0.32805768       0.93986529 
      0.031540217     0.0051873127     0.0082555609        598.04678       0.52931159        0.8430879 
      0.031540217     0.0068942911     0.0068942911        598.04677       0.70390623       0.70390623 
      0.031540217     0.0082555609     0.0051873127        598.04678        0.8430879       0.52931159 
      0.031540217     0.0092028625     0.0032202209        598.05035       0.93986529       0.32805768 
