%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%          X (in)           Y (in)           Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
               -5                0                0        17558.469    1.5090151e-12     1.806157e-09        37558.469    1.5090151e-12     1.806157e-09 
            -4.95                0                0        18801.554    1.3500312e-12    1.8240343e-09        38801.554    1.3500312e-12    1.8240343e-09 
             -4.9                0                0        20167.209    1.4708235e-12    1.8400499e-09        40167.209    1.4708235e-12    1.8400499e-09 
            -4.85                0                0        21668.635    1.2363444e-12    1.8504664e-09        41668.635    1.2363444e-12    1.8504664e-09 
             -4.8                0                0        23319.624    1.5987212e-12     1.861153e-09        43319.624    1.5987212e-12     1.861153e-09 
            -4.75                0                0        25133.944     1.762146e-12    1.8666952e-09        45133.944     1.762146e-12    1.8666952e-09 
             -4.7                0                0        27124.226    2.2168933e-12    1.8664821e-09        47124.226    2.2168933e-12    1.8664821e-09 
            -4.65                0                0        29300.116    1.5063506e-12    1.8578987e-09        49300.116    1.5063506e-12    1.8578987e-09 
             -4.6                0                0        31665.261    2.9132252e-12    1.8535786e-09        51665.261    2.9132252e-12    1.8535786e-09 
            -4.55                0                0        34212.582    2.3732127e-12     1.810804e-09        54212.582    2.3732127e-12     1.810804e-09 
             -4.5                0                0        36917.078    2.8421709e-12    1.7910509e-09        56917.078    2.8421709e-12    1.7910509e-09 
            -4.45                0                0        39725.359    3.2684966e-12    1.7388118e-09        59725.359    3.2684966e-12    1.7388118e-09 
             -4.4                0                0        42540.969    5.8548721e-12    1.6530919e-09        62540.969    5.8548721e-12    1.6530919e-09 
            -4.35                0                0        45206.346     7.531753e-12    1.5942874e-09        65206.346     7.531753e-12    1.5942874e-09 
             -4.3                0                0        47483.424    1.2192913e-11    1.4788668e-09        67483.424    1.2192913e-11    1.4788668e-09 
            -4.25                0                0        49041.305    4.1211479e-12    1.3699832e-09        69041.305    4.1211479e-12    1.3699832e-09 
             -4.2                0                0        49466.434    4.5901061e-12    1.2048815e-09        69466.434    4.5901061e-12    1.2048815e-09 
            -4.15                0                0        48318.243    4.1211479e-12    1.0355734e-09        68318.243    4.1211479e-12    1.0355734e-09 
             -4.1                0                0         45246.81    3.0695446e-12    8.8536467e-10         65246.81    3.0695446e-12    8.8536467e-10 
            -4.05                0                0        40154.413    5.2295945e-12     7.321006e-10        60154.413    5.2295945e-12     7.321006e-10 
               -4                0                0        33321.543    6.3664629e-12    5.6115823e-10        53321.543    6.3664629e-12    5.6115823e-10 
            -3.95                0                0        25393.668    2.2737368e-12    4.3155524e-10        45393.668    2.2737368e-12    4.3155524e-10 
             -3.9                0                0         17196.08    2.8194336e-11    3.1411673e-10         37196.08    2.8194336e-11    3.1411673e-10 
            -3.85                0                0        9482.9712    6.3664629e-12    2.6830094e-10        29482.971    6.3664629e-12    2.6830094e-10 
             -3.8                0                0        2760.6691    2.0008883e-11    1.9133495e-10        22760.669    2.0008883e-11    1.9133495e-10 
            -3.75                0                0       -2752.9998    2.7284841e-11    1.8042101e-10            17247    2.7284841e-11    1.8042101e-10 
             -3.7                0                0       -7070.4352    3.9108272e-11    2.0335733e-10        12929.565    3.9108272e-11    2.0335733e-10 
            -3.65                0                0       -10338.095    4.3996806e-11    1.4028956e-10        9661.9051    4.3996806e-11    1.4028956e-10 
             -3.6                0                0       -12751.998    6.2300387e-11    1.3164936e-10        7248.0017    6.2300387e-11    1.3164936e-10 
            -3.55                0                0       -14503.696    5.5479177e-11    9.2313712e-11         5496.304    5.5479177e-11    9.2313712e-11 
             -3.5                0                0       -15757.306    6.3209882e-11    1.0413714e-10        4242.6942    6.3209882e-11    1.0413714e-10 
            -3.45                0                0       -16642.592    7.1395334e-11    1.2687451e-10        3357.4079    7.1395334e-11    1.2687451e-10 
             -3.4                0                0       -17258.037    6.1390892e-11    1.2914825e-10        2741.9629    6.1390892e-11    1.2914825e-10 
            -3.35                0                0       -17675.101     6.184564e-11    1.3369572e-10        2324.8991     6.184564e-11    1.3369572e-10 
             -3.3                0                0       -17945.363    6.9576345e-11    1.5279511e-10        2054.6366    6.9576345e-11    1.5279511e-10 
            -3.25                0                0       -18105.005    5.4569682e-11    8.2764018e-11        1894.9954    5.4569682e-11    8.2764018e-11 
             -3.2                0                0       -18180.438    5.0476956e-11    6.9121597e-11        1819.5618    5.0476956e-11    6.9121597e-11 
            -3.15                0                0       -18190.909    7.5033313e-11    7.6397555e-11        1809.0913    7.5033313e-11    7.6397555e-11 
             -3.1                0                0       -18152.135    6.3664629e-11    1.3278623e-10        1847.8648    6.3664629e-11    1.3278623e-10 
