%    UNITS: X,Y,Z in m;  Magnetic Field Intensity in Amps/meter
%           X (m)            Y (m)            Z (m)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
     0.0005416665                0                0       -7.8028411    5.6163246e-18    1.3400516e-17       0.19715889    5.6163246e-18    1.3400516e-17 
     0.0005416665    9.9842685e-05    5.6070449e-06       -7.8028411     5.196706e-07    2.9216962e-08       0.19715894     5.196706e-07    2.9216962e-08 
     0.0005416665    0.00019968537     1.121409e-05       -7.8028409    1.0382064e-06    5.8567624e-08       0.19715908    1.0382064e-06    5.8567624e-08 
     0.0005416665    0.00029952806    1.6821135e-05       -7.8028407    1.5544693e-06    8.8186005e-08       0.19715932    1.5544693e-06    8.8186005e-08 
     0.0005416665    0.00039937074     2.242818e-05       -7.8028403    2.0673153e-06     1.182068e-07       0.19715966    2.0673153e-06     1.182068e-07 
     0.0005416665    0.00049921343    2.8035225e-05       -7.8028399    2.5755911e-06    1.4876572e-07       0.19716009    2.5755911e-06    1.4876572e-07 
     0.0005416665    0.00059905611     3.364227e-05       -7.8028394    3.0781319e-06     1.799999e-07       0.19716062    3.0781319e-06     1.799999e-07 
     0.0005416665     0.0006988988    3.9249315e-05       -7.8028388    3.5737596e-06     2.120483e-07       0.19716124    3.5737596e-06     2.120483e-07 
     0.0005416665    0.00079874148     4.485636e-05       -7.8028381     4.061281e-06    2.4505226e-07       0.19716195     4.061281e-06    2.4505226e-07 
     0.0005416665    0.00089858417    5.0463404e-05       -7.8028372    4.5394878e-06    2.7915602e-07       0.19716275    4.5394878e-06    2.7915602e-07 
     0.0005416665    0.00099842685    5.6070449e-05       -7.8028364    5.0071575e-06    3.1450744e-07       0.19716364    5.0071575e-06    3.1450744e-07 
     0.0005416665     0.0010982695    6.1677494e-05       -7.8028354    5.4630567e-06    3.5125879e-07       0.19716461    5.4630567e-06    3.5125879e-07 
     0.0005416665     0.0011981122    6.7284539e-05       -7.8028343    5.9059456e-06    3.8956776e-07       0.19716567    5.9059456e-06    3.8956776e-07 
     0.0005416665     0.0012979549    7.2891584e-05       -7.8028332    6.3345879e-06    4.2959866e-07       0.19716681    6.3345879e-06    4.2959866e-07 
     0.0005416665     0.0013977976    7.8498629e-05        -7.802832    6.7477628e-06    4.7152391e-07       0.19716803    6.7477628e-06    4.7152391e-07 
     0.0005416665     0.0014976403    8.4105674e-05       -7.8028307    7.1442854e-06    5.1552589e-07       0.19716933    7.1442854e-06    5.1552589e-07 
     0.0005416665      0.001597483    8.9712719e-05       -7.8028293    7.5230334e-06    5.6179933e-07       0.19717069    7.5230334e-06    5.6179933e-07 
     0.0005416665     0.0016973257    9.5319764e-05       -7.8028279    7.8829857e-06    6.1055424e-07       0.19717213    7.8829857e-06    6.1055424e-07 
     0.0005416665     0.0017971683    0.00010092681       -7.8028264    8.2232745e-06    6.6201971e-07       0.19717362    8.2232745e-06    6.6201971e-07 
     0.0005416665      0.001897011    0.00010653385       -7.8028248    8.5432571e-06    7.1644876e-07       0.19717518    8.5432571e-06    7.1644876e-07 
     0.0005416665     0.0019968537     0.0001121409       -7.8028232    8.8426129e-06    7.7412461e-07       0.19717679    8.8426129e-06    7.7412461e-07 
     0.0005416665     0.0020966964    0.00011774794       -7.8028134    1.2101991e-05    7.9199623e-07       0.19718659    1.2101991e-05    7.9199623e-07 
     0.0005416665     0.0021965391    0.00012335499       -7.8028111    1.2512486e-05    8.5198937e-07        0.1971889    1.2512486e-05    8.5198937e-07 
     0.0005416665     0.0022963818    0.00012896203       -7.8027986     1.661953e-05    9.2072507e-07       0.19720143     1.661953e-05    9.2072507e-07 
     0.0005416665     0.0023962244    0.00013456908       -7.8027954    1.7152023e-05    9.8630692e-07       0.19720465    1.7152023e-05    9.8630692e-07 
     0.0005416665     0.0024960671    0.00014017612        -7.802792    1.7613304e-05    1.0552609e-06       0.19720799    1.7613304e-05    1.0552609e-06 
     0.0005416665     0.0025959098    0.00014578317       -7.8027886    1.7983896e-05    1.1277056e-06       0.19721145    1.7983896e-05    1.1277056e-06 
     0.0005416665     0.0026957525    0.00015139021       -7.8027753    2.1013386e-05    1.3169374e-06       0.19722472    2.1013386e-05    1.3169374e-06 
     0.0005416665     0.0027955952    0.00015699726       -7.8027711    2.1214429e-05    1.3944125e-06       0.19722895    2.1214429e-05    1.3944125e-06 
     0.0005416665     0.0028954379     0.0001626043       -7.8027667    2.1221284e-05     1.470739e-06       0.19723328    2.1221284e-05     1.470739e-06 
     0.0005416665     0.0029952806    0.00016821135       -7.8027623    2.0985736e-05    1.5442508e-06       0.19723771    2.0985736e-05    1.5442508e-06 
     0.0005416665     0.0030951232    0.00017381839       -7.8027578    2.0449089e-05    1.6127971e-06        0.1972422    2.0449089e-05    1.6127971e-06 
     0.0005416665     0.0031949659    0.00017942544       -7.8027533     1.954009e-05     1.673633e-06       0.19724672     1.954009e-05     1.673633e-06 
     0.0005416665     0.0032948086    0.00018503248       -7.8027488    1.8172502e-05    1.7232887e-06       0.19725123    1.8172502e-05    1.7232887e-06 
     0.0005416665     0.0033946513    0.00019063953       -7.8027443    1.6242255e-05    1.7574139e-06       0.19725567    1.6242255e-05    1.7574139e-06 
     0.0005416665      0.003494494    0.00019624657        -7.802777    6.5344102e-06    2.0817293e-06       0.19722303    6.5344102e-06    2.0817293e-06 
     0.0005416665     0.0035943367    0.00020185362       -7.8027752     4.753437e-06    2.0717148e-06        0.1972248     4.753437e-06    2.0717148e-06 
     0.0005416665     0.0036941794    0.00020746066       -7.8027639    4.2091322e-06    2.3430752e-06       0.19723607    4.2091322e-06    2.3430752e-06 
     0.0005416665      0.003794022    0.00021306771       -7.8027978    1.1855958e-06    3.0166909e-06       0.19720218    1.1855958e-06    3.0166909e-06 
     0.0005416665     0.0038938647    0.00021867475       -7.8027979    8.4551504e-07    3.0891332e-06       0.19720209    8.4551504e-07    3.0891332e-06 
