%           X (m)            Y (m)            Z (m)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
      0.068755435     0.0010916536      0.009688694        1339.5849       -6.9121387        10.904103       0.13397188   -0.00069128299     0.0010905194     0.0016835404   -8.6869183e-06    1.3703871e-05        1339.6471       0.13397811     0.0016836185 
      0.066566304     0.0010916536      0.009688694        1360.2761       -1.2128583        11.500786       0.13604121   -0.00012129796     0.0011501936     0.0017095443   -1.5242752e-06     1.445376e-05        1360.3253       0.13604613     0.0017096061 
      0.064377174     0.0010916536      0.009688694        1389.4587      0.073025527        11.319883       0.13895976     7.303283e-06     0.0011321015     0.0017462199    9.1775761e-08    1.4226408e-05        1389.5048       0.13896437     0.0017462778 
      0.062188043     0.0010916536      0.009688694         1419.936       0.42227726        11.036693        0.1420078     4.223195e-05     0.0011037797     0.0017845226    5.3070233e-07    1.3870504e-05        1419.9789       0.14201209     0.0017845766 
      0.059998913     0.0010916536      0.009688694        1450.1112       0.53890555        10.688391       0.14502562    5.3895945e-05      0.001068946     0.0018224457    6.7727642e-07    1.3432772e-05        1450.1506       0.14502957     0.0018224953 
      0.057809783     0.0010916536      0.009688694        1479.4838       0.56892147         10.30804       0.14796318    5.6897837e-05      0.001030907     0.0018593601    7.1499931e-07     1.295476e-05        1479.5198       0.14796678     0.0018594054 
      0.055620652     0.0010916536      0.009688694        1507.8487       0.56574658         9.910858       0.15079995    5.6580316e-05    0.00099118492      0.001895008    7.1100922e-07    1.2455597e-05        1507.8813       0.15080322     0.0018950491 
      0.053431522     0.0010916536      0.009688694        1535.1178       0.54971513        9.5050999       0.15352713    5.4977011e-05    0.00095060505     0.0019292788    6.9086149e-07    1.1945655e-05        1535.1473       0.15353009      0.001929316 
      0.051242391     0.0010916536      0.009688694        1561.2536       0.52871934        9.0955234       0.15614097    5.2877221e-05     0.0009096433     0.0019621254    6.6447476e-07    1.1430915e-05        1561.2802       0.15614363     0.0019621588 
      0.049053261     0.0010916536      0.009688694        1586.2415       0.50585451        8.6849543       0.15864002     5.059051e-05    0.00086858228     0.0019935293     6.357391e-07    1.0914927e-05        1586.2654        0.1586424     0.0019935593 
       0.04686413     0.0010916536      0.009688694        1610.0782       0.48234629        8.2750844       0.16102392    4.8239453e-05     0.0008275912     0.0020234863    6.0619484e-07    1.0399818e-05        1610.0995       0.16102606     0.0020235131 
         0.044675     0.0010916536      0.009688694        1632.7658       0.45868673        7.8669162       0.16329291    4.5873261e-05     0.0007867703     0.0020519992     5.764604e-07    9.8868471e-06        1632.7848       0.16329481     0.0020520231 
       0.04248587     0.0010916536      0.009688694        1654.3095        0.4350805        7.4610223       0.16544749    4.3512402e-05    0.00074617685     0.0020790745    5.4679296e-07    9.3767349e-06        1654.3264       0.16544918     0.0020790957 
      0.040296739     0.0010916536      0.009688694         1674.716       0.41162672        7.0577028       0.16748835    4.1166789e-05    0.00070584086     0.0021047206    5.1731713e-07    8.8698579e-06        1674.7309       0.16748984     0.0021047394 
      0.038107609     0.0010916536      0.009688694        1693.9928        0.3884079        6.6570799       0.16941622    3.8844674e-05    0.00066577457      0.002128947    4.8813658e-07      8.36637e-06        1694.0059       0.16941753     0.0021289635 
      0.035918478     0.0010916536      0.009688694        1712.1478       0.36556864        6.2591541        0.1712319     3.656052e-05    0.00062597801     0.0021517635    4.5943305e-07    7.8662717e-06        1712.1592       0.17123305     0.0021517779 
      0.033729348     0.0010916536      0.009688694        1729.1894       0.34345832         5.863829       0.17293623    3.4349267e-05    0.00058644155     0.0021731808    4.3164562e-07    7.3694418e-06        1729.1993       0.17293723     0.0021731933 
      0.031540217     0.0010916536      0.009688694         1745.127       0.32297578        5.4708984       0.17453015    3.2300808e-05    0.00054714456     0.0021932105    4.0590393e-07    6.8756213e-06        1745.1356       0.17453101     0.0021932214 
      0.029351087     0.0010916536      0.009688694        1759.9729       0.30646811        5.0799626        0.1760149    3.0649876e-05    0.00050804707     0.0022118684    3.8515771e-07    6.3843077e-06        1759.9803       0.17601563     0.0022118777 
      0.027161957     0.0010916536      0.009688694         1773.748       0.30022666        4.6901581       0.17739254    3.0025669e-05    0.00046906271     0.0022291804    3.7731368e-07    5.8944159e-06        1773.7542       0.17739316     0.0022291882 
      0.024972826     0.0010916536      0.009688694        1786.4972       0.32251639          4.29926       0.17866759    3.2254865e-05      0.000429969     0.0022452031    4.0532659e-07    5.4031498e-06        1786.5024       0.17866811     0.0022452097 
      0.022783696     0.0010916536      0.009688694         1798.355       0.44401232        3.8991379       0.17985348    4.4405673e-05    0.00038995278     0.0022601055    5.5801814e-07    4.9002912e-06        1798.3592       0.17985391     0.0022601109 
      0.020594565     0.0010916536      0.009688694        1809.8852          1.02015        3.4494172       0.18100662    0.00010202521    0.00034497621     0.0022745962    1.2820865e-06     4.335099e-06        1809.8887       0.18100697     0.0022746007 
      0.074124038      0.001175627      0.010433978        587.60948       0.79441218        18.057888      0.058766825    7.9449162e-05     0.0018059694     0.0007384857    9.9838762e-07    2.2694481e-05        587.88742      0.058794622    0.00073883501 
      0.076322115      0.001175627      0.010433978        564.02603        1.2909145        16.541101      0.056408243    0.00012910436     0.0016542755    0.00070884689    1.6223732e-06    2.0788239e-05           564.27      0.056432643    0.00070915351 
      0.078520192      0.001175627      0.010433978        540.07777         1.705787         16.95647      0.054013178    0.00017059576     0.0016958166    0.00067874962    2.1437696e-06     2.131026e-05        540.34658      0.054040062    0.00067908745 
      0.080718269      0.001175627      0.010433978        514.84497        1.9017661        17.554347      0.051489646    0.00019019563     0.0017556102    0.00064703798    2.3900688e-06    2.2061649e-05        515.14767      0.051519919    0.00064741839 
      0.082916346      0.001175627      0.010433978        488.36335        2.0394947        18.307569      0.048841219    0.00020396986       0.00183094    0.00061375686    2.5631609e-06    2.3008271e-05        488.71064      0.048875951    0.00061419332 
      0.085114423      0.001175627      0.010433978        460.48603        2.1616598        19.182811      0.046053209     0.0002161876     0.0019184729    0.00057872169    2.7166935e-06    2.4108242e-05        460.89049      0.046093658    0.00057922999 
        0.0873125      0.001175627      0.010433978        430.98039        2.2868123        20.181144      0.043102349     0.0002287041     0.0020183162    0.00054164009    2.8739805e-06     2.536291e-05        431.45869      0.043150184    0.00054224121 
      0.089510577      0.001175627      0.010433978        399.49772        2.4251344         21.31827      0.039953767    0.00024253769     0.0021320402    0.00050207384    3.0478185e-06    2.6792007e-05        400.07346      0.040011347    0.00050279742 
      0.091708654      0.001175627      0.010433978        365.49845        2.5855125        22.625784        0.0365535    0.00025857711     0.0022628047    0.00045934483    3.2493758e-06    2.8435242e-05        366.20722      0.036624384    0.00046023559 
      0.093906731      0.001175627      0.010433978        328.09286        2.7802647        24.161182      0.032812567    0.00027805428     0.0024163598    0.00041233488    3.4941331e-06    3.0364873e-05        328.99303      0.032902594    0.00041346619 
      0.096104808      0.001175627      0.010433978         285.5919        3.0433494        26.119943      0.028562046    0.00030436538     0.0026122555    0.00035892126    3.8247682e-06    3.2826571e-05        286.80001      0.028682869    0.00036043957 
      0.098302885      0.001175627      0.010433978        235.30263        3.3444043        28.245965      0.023532617    0.00033447387      0.002824879    0.00029571958    4.2031227e-06    3.5498476e-05         237.0155      0.023703921    0.00029787225 
       0.10050096      0.001175627      0.010433978        153.63033        4.6979219        43.976398       0.01536457    0.00046983917     0.0043980796    0.00019307688    5.9041731e-06    5.5267898e-05        159.86955      0.015988554    0.00020091809 
       0.07063692     0.0011122857     0.0098718085        1045.7775        19.918111         255.2466       0.10458821     0.0019920103      0.025527213     0.0013142942    2.5032339e-05    0.00032078442        1076.6607       0.10767684      0.001353107 
       0.07222442     0.0011542724      0.010244451        708.08649        18.536135        185.31752       0.07081573     0.0018537989      0.018533605    0.00088989671    2.3295524e-05    0.00023290015        732.16982      0.073224304    0.00092016375 
      0.018416667     0.0010916536      0.009688694         1820.938        1.0400152        3.0660415       0.18211201    0.00010401192    0.00030663481     0.0022884871    1.3070523e-06    3.8532867e-06        1820.9409        0.1821123     0.0022884907 
          0.01625     0.0010916536      0.009688694        1830.2064       0.29925868        2.7718911       0.18303894     2.992886e-05    0.00027721684     0.0023001352    3.7609715e-07    3.4836095e-06        1830.2085       0.18303915     0.0023001378 
      0.014083333     0.0010916536      0.009688694        1837.7172       0.28053648        2.3974783        0.1837901    2.8056454e-05    0.00023977181     0.0023095746     3.525678e-07    3.0130614e-06        1837.7188       0.18379026     0.0023095765 
      0.011916667     0.0010916536      0.009688694        1844.1496       0.21660972        2.0291959       0.18443341    2.1663138e-05    0.00020293989     0.0023176586    2.7222703e-07    2.5502178e-06        1844.1508       0.18443352       0.00231766 
          0.00975     0.0010916536      0.009688694        1849.5691       0.26079654        1.6496221       0.18497541    2.6082262e-05    0.00016497871     0.0023244695    3.2775937e-07    2.0731836e-06        1849.5698       0.18497548     0.0023244704 
     0.0075833333     0.0010916536      0.009688694        1854.2513       0.47077357        1.2520916       0.18544367    4.7082065e-05    0.00012522168     0.0023303539    5.9165068e-07    1.5735821e-06        1854.2517       0.18544372     0.0023303545 
     0.0054166667     0.0010916536      0.009688694        1858.8625        1.1804228       0.79882634       0.18590485    0.00011805409    7.9890623e-05     0.0023361492    1.4835114e-06    1.0039352e-06        1858.8631        0.1859049     0.0023361499 
          0.00325     0.0010916536      0.009688694        1865.4672        3.4559955       0.16951647       0.18656538    0.00034563411    1.6953342e-05     0.0023444497    4.3433663e-06    2.1304198e-07        1865.4704        0.1865657     0.0023444537 
     0.0010833333     0.0010916536      0.009688694        1882.6742        12.775309       -1.2525258       0.18828625     0.0012776587   -0.00012526511     0.0023660748    1.6055533e-05   -1.5741278e-06         1882.718       0.18829062     0.0023661298 

