%          X (in)           Y (in)           Z (in)         RealPolX         RealPolY         RealPolZ
        2.7792273      -0.36473017      -0.11850802          3373923       -27987.351       -9093.6387 
        2.7792273      -0.22541564      -0.31025802          3373923       -17297.134       -23807.462 
        2.7792273                0          -0.3835          3373923     1.051769e-06       -29427.642 
        2.7792273       0.22541564      -0.31025802          3373923        17297.134       -23807.462 
        2.7792273       0.36473017      -0.11850802          3373923        27987.351       -9093.6387 
        2.5876818      -0.36473017      -0.11850802        3569217.9       -28371.564       -9218.4865 
        2.5876818      -0.22541564      -0.31025802        3569217.8       -17534.591       -24134.296 
        2.5876818                0          -0.3835        3569217.8    2.2087712e-06        -29831.63 
        2.5876818       0.22541564      -0.31025802        3569217.8        17534.591       -24134.296 
        2.5876818       0.36473017      -0.11850802        3569217.9        28371.564       -9218.4865 
        2.3961364      -0.36473017      -0.11850802        3757639.1       -26385.121       -8573.0559 
        2.3961364      -0.22541564      -0.31025802        3757639.1       -16306.901       -22444.528 
        2.3961364                0          -0.3835        3757639.1    1.1470434e-06       -27742.961 
        2.3961364       0.22541564      -0.31025802        3757639.1        16306.901       -22444.528 
        2.3961364       0.36473017      -0.11850802        3757639.1        26385.121       -8573.0559 
        2.2045909      -0.36473017      -0.11850802        3931513.1       -24156.622       -7848.9678 
        2.2045909      -0.22541564      -0.31025802        3931513.1       -14929.612       -20548.853 
        2.2045909                0          -0.3835        3931513.1   -7.4774245e-07       -25399.777 
        2.2045909       0.22541564      -0.31025802        3931513.1        14929.612       -20548.853 
        2.2045909       0.36473017      -0.11850802        3931513.1        24156.622       -7848.9678 
        2.0130455      -0.36473017      -0.11850802        4089935.1       -21898.049       -7115.1106 
        2.0130455      -0.22541564      -0.31025802        4089935.1       -13533.737       -18627.595 
        2.0130455                0          -0.3835        4089935.1    1.0026833e-07       -23024.972 
        2.0130455       0.22541564      -0.31025802        4089935.1        13533.737       -18627.595 
        2.0130455       0.36473017      -0.11850802        4089935.1        21898.049       -7115.1106 
           1.8215      -0.36473017      -0.11850802        4232904.7       -19665.748       -6389.7908 
           1.8215      -0.22541564      -0.31025802        4232904.7         -12154.1       -16728.685 
           1.8215                0          -0.3835        4232904.7    1.5474613e-07       -20677.792 
           1.8215       0.22541564      -0.31025802        4232904.7          12154.1       -16728.685 
           1.8215       0.36473017      -0.11850802        4232904.7        19665.748       -6389.7908 
        1.6299545      -0.36473017      -0.11850802        4360654.4       -17473.708       -5677.5532 
        1.6299545      -0.22541564      -0.31025802        4360654.4       -10799.345       -14864.025 
        1.6299545                0          -0.3835        4360654.4   -4.0902392e-07       -18372.945 
        1.6299545       0.22541564      -0.31025802        4360654.4        10799.345       -14864.025 
        1.6299545       0.36473017      -0.11850802        4360654.4        17473.708       -5677.5532 
        1.4384091      -0.36473017      -0.11850802        4473465.2       -15322.762        -4978.668 
        1.4384091      -0.22541564      -0.31025802        4473465.2       -9469.9878       -13034.321 
        1.4384091                0          -0.3835        4473465.2    1.3740604e-06       -16111.306 
        1.4384091       0.22541564      -0.31025802        4473465.2        9469.9878       -13034.321 
        1.4384091       0.36473017      -0.11850802        4473465.2        15322.762        -4978.668 
        1.2468636      -0.36473017      -0.11850802          4571608       -13209.319       -4291.9684 
        1.2468636      -0.22541564      -0.31025802          4571608        -8163.808       -11236.518 
        1.2468636                0          -0.3835          4571608   -1.0611091e-06         -13889.1 
        1.2468636       0.22541564      -0.31025802          4571608         8163.808       -11236.518 
        1.2468636       0.36473017      -0.11850802          4571608        13209.319       -4291.9684 
        1.0553182      -0.36473017      -0.11850802        4655325.5        -11128.47       -3615.8593 
        1.0553182      -0.22541564      -0.31025802        4655325.5       -6877.7726       -9466.4421 
        1.0553182                0          -0.3835        4655325.5   -2.3351808e-07       -11701.166 
        1.0553182       0.22541564      -0.31025802        4655325.5        6877.7726       -9466.4421 
        1.0553182       0.36473017      -0.11850802        4655325.5         11128.47       -3615.8593 
       0.86377273      -0.36473017      -0.11850802        4724851.3       -9081.8621        -2950.876 
       0.86377273      -0.22541564      -0.31025802        4724851.3       -5612.8994       -7725.4934 
       0.86377273                0          -0.3835        4724851.3    1.5273692e-06       -9549.2349 
       0.86377273       0.22541564      -0.31025802        4724851.3        5612.8994       -7725.4934 
       0.86377273       0.36473017      -0.11850802        4724851.3        9081.8621        -2950.876 
              3.1      -0.39278634      -0.12762402        1364241.9       -43927.577       -14272.936 
              3.1      -0.24275531      -0.33412402        1364241.9       -27148.738       -37367.028 
              3.1                0           -0.413        1364241.9   -4.6657426e-07       -46188.188 
              3.1       0.24275531      -0.33412402        1364241.9        27148.738       -37367.028 
              3.1       0.39278634      -0.12762402        1364241.9        43927.577       -14272.936 
              3.3      -0.39278634      -0.12762402        1204374.7       -45452.224       -14768.323 
              3.3      -0.24275531      -0.33412402        1204374.7        -28091.02       -38663.971 
              3.3                0           -0.413        1204374.7    -5.621159e-07       -47791.296 
              3.3       0.24275531      -0.33412402        1204374.7         28091.02       -38663.971 
              3.3       0.39278634      -0.12762402        1204374.7        45452.224       -14768.323 
              3.5      -0.39278634      -0.12762402        1028375.6       -50951.831       -16555.253 
              3.5      -0.24275531      -0.33412402        1028375.6       -31489.964       -43342.216 
              3.5                0           -0.413        1028375.6    4.9873984e-07       -53573.925 
              3.5       0.24275531      -0.33412402        1028375.6        31489.964       -43342.216 
