%    UNITS: X,Y,Z in m;  Magnetic Field Intensity in Amps/meter
%           X (m)            Y (m)            Z (m)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
           -0.254                0                0       0.29640175    1.7671708e-21   -5.6806102e-21        8.2964018    1.7671708e-21   -5.6806102e-21 
         -0.24892                0                0       0.31852114   -2.0722487e-21    3.9192578e-21        8.3185211   -2.0722487e-21    3.9192578e-21 
         -0.24384                0                0       0.34299515    9.2468437e-22   -1.2502438e-20        8.3429952    9.2468437e-22   -1.2502438e-20 
         -0.23876                0                0       0.37015837   -2.5736323e-22   -6.3092262e-21        8.3701584   -2.5736323e-22   -6.3092262e-21 
         -0.23368                0                0       0.40040614    5.1270129e-22   -5.8671184e-22        8.4004061    5.1270129e-22   -5.8671184e-22 
          -0.2286                0                0       0.43420828    2.2378275e-21   -3.8085902e-22        8.4342083    2.2378275e-21   -3.8085902e-22 
         -0.22352                0                0       0.47212642   -1.2822232e-21   -3.4938759e-21        8.4721264   -1.2822232e-21   -3.4938759e-21 
         -0.21844                0                0       0.51483639    8.6106887e-22    1.6888597e-20        8.5148364    8.6106887e-22    1.6888597e-20 
         -0.21336                0                0       0.56315711   -7.0605293e-22   -1.2040676e-20        8.5631571   -7.0605293e-22   -1.2040676e-20 
         -0.20828                0                0       0.61808846   -6.8087671e-21   -4.8207413e-21        8.6180885   -6.8087671e-21   -4.8207413e-21 
          -0.2032                0                0        0.6808613    8.2379503e-21   -8.9599308e-21        8.6808613    8.2379503e-21   -8.9599308e-21 
         -0.19812                0                0       0.75300442   -8.8751164e-21   -5.0675274e-21        8.7530044   -8.8751164e-21   -5.0675274e-21 
         -0.19304                0                0       0.83643526    5.3928866e-21    1.4809067e-20        8.8364353    5.3928866e-21    1.4809067e-20 
         -0.18796                0                0       0.93358444   -1.0019062e-20    2.1966885e-20        8.9335844   -1.0019062e-20    2.1966885e-20 
         -0.18288                0                0        1.0475694   -3.5243529e-21   -1.6661389e-20        9.0475694   -3.5243529e-21   -1.6661389e-20 
          -0.1778                0                0        1.1824402    1.0996075e-20   -1.3035987e-20        9.1824402    1.0996075e-20   -1.3035987e-20 
         -0.17272                0                0        1.3435345   -2.9141308e-20   -3.6314792e-20        9.3435345   -2.9141308e-20   -3.6314792e-20 
         -0.16764                0                0        1.5379985   -1.5340186e-20    5.7699238e-20        9.5379985   -1.5340186e-20    5.7699238e-20 
         -0.16256                0                0        1.7755695    -1.913143e-22   -1.4459732e-19        9.7755695    -1.913143e-22   -1.4459732e-19 
         -0.15748                0                0        2.0697778    1.6850476e-21   -2.6775099e-20        10.069778    1.6850476e-21   -2.6775099e-20 
          -0.1524                0                0        2.4398371    -8.930023e-22    2.3999448e-19        10.439837    -8.930023e-22    2.3999448e-19 
         -0.14732                0                0        2.9136958    4.7332875e-20    1.6060035e-19        10.913696    4.7332875e-20    1.6060035e-19 
         -0.14224                0                0        3.5330822    6.4258441e-20    3.4036047e-19        11.533082    6.4258441e-20    3.4036047e-19 
         -0.13716                0                0        4.3620148   -2.5419554e-20    6.1649941e-20        12.362015   -2.5419554e-20    6.1649941e-20 
         -0.13208                0                0        5.5012068    1.4796114e-20    8.3743375e-20        13.501207    1.4796114e-20    8.3743375e-20 
           -0.127                0                0        7.1113239    6.1912274e-20   -5.6348651e-19        15.111324    6.1912274e-20   -5.6348651e-19 
         -0.12192                0                0        9.4418926    5.4022052e-20    1.8173377e-18        17.441893    5.4022052e-20    1.8173377e-18 
         -0.11684                0                0        12.811282   -5.1752906e-20    1.6576489e-18        20.811282   -5.1752906e-20    1.6576489e-18 
         -0.11176                0                0        17.183341   -4.4818992e-20     1.300268e-17        25.183341   -4.4818992e-20     1.300268e-17 
         -0.10668                0                0        19.913165    8.5381632e-20    8.5209343e-18        27.913165    8.5381632e-20    8.5209343e-18 
          -0.1016                0                0         13.21083    1.3450635e-19    1.3496903e-17         21.21083    1.3450635e-19    1.3496903e-17 
         -0.09652                0                0       0.84433013    -1.580272e-19   -3.3850127e-17        8.8443301    -1.580272e-19   -3.3850127e-17 
         -0.09144                0                0       -5.2091595   -3.1638127e-19   -4.2950512e-17        2.7908405   -3.1638127e-19   -4.2950512e-17 
         -0.08636                0                0       -6.9588015    9.4478827e-20    2.8995897e-17        1.0411985    9.4478827e-20    2.8995897e-17 
         -0.08128                0                0       -7.3556316   -1.1935115e-19   -8.0787292e-17       0.64436835   -1.1935115e-19   -8.0787292e-17 
          -0.0762                0                0       -7.3373809    3.0740557e-19   -5.6489815e-17       0.66261908    3.0740557e-19   -5.6489815e-17 
         -0.07112                0                0       -7.1254806    3.4490245e-19    5.2332103e-17       0.87451941    3.4490245e-19    5.2332103e-17 
         -0.06604                0                0         -6.89193   -1.6965651e-18   -1.5135141e-17          1.10807   -1.6965651e-18   -1.5135141e-17 
         -0.06096                0                0       -6.7529648    2.0377378e-18    5.1355743e-17        1.2470352    2.0377378e-18    5.1355743e-17 
         -0.05588                0                0       -6.6728618    2.1867216e-19   -9.7583878e-17        1.3271382    2.1867216e-19   -9.7583878e-17 
          -0.0508                0                0       -6.6149083   -4.3830153e-18   -1.1213802e-17        1.3850917   -4.3830153e-18   -1.1213802e-17 
         -0.04572                0                0       -6.5667778    6.5742086e-19    3.9189275e-17        1.4332222    6.5742086e-19    3.9189275e-17 
         -0.04064                0                0       -6.5250671   -1.8010056e-18   -9.9705086e-17        1.4749329   -1.8010056e-18   -9.9705086e-17 
         -0.03556                0                0       -6.4888127   -1.0672495e-18   -7.3876924e-17        1.5111873   -1.0672495e-18   -7.3876924e-17 
         -0.03048                0                0       -6.4576888    1.0991688e-17    1.0126744e-17        1.5423112    1.0991688e-17    1.0126744e-17 
          -0.0254                0                0       -6.4315441    4.9570521e-18   -6.5801727e-17        1.5684559    4.9570521e-18   -6.5801727e-17 
         -0.02032                0                0       -6.4102767    2.0132552e-17    1.6001452e-16        1.5897233    2.0132552e-17    1.6001452e-16 
         -0.01524                0                0       -6.3937325    3.4270959e-17    8.4272163e-17        1.6062675    3.4270959e-17    8.4272163e-17 
         -0.01016                0                0       -6.3816142    3.9059653e-17   -1.6393796e-16        1.6183858    3.9059653e-17   -1.6393796e-16 
         -0.00508                0                0       -6.3734699   -1.1341034e-16   -2.6029486e-16        1.6265301   -1.1341034e-16   -2.6029486e-16 
                0                0                0       -6.3701388                0                0        1.6298612                0                0 
          0.00508                0                0       -6.3734699   -2.1713607e-17      4.26602e-17        1.6265301   -2.1713607e-17      4.26602e-17 
          0.01016                0                0       -6.3816142   -5.0451803e-17    5.3052173e-19        1.6183858   -5.0451803e-17    5.3052173e-19 
          0.01524                0                0       -6.3937325    6.4961246e-17    3.3412607e-17        1.6062675    6.4961246e-17    3.3412607e-17 
          0.02032                0                0       -6.4102767   -5.7545567e-17     1.010223e-16        1.5897233   -5.7545567e-17     1.010223e-16 
           0.0254                0                0       -6.4315441    -4.452792e-17   -6.7347547e-17        1.5684559    -4.452792e-17   -6.7347547e-17 
          0.03048                0                0       -6.4576888   -2.5991378e-17    2.1065184e-16        1.5423112   -2.5991378e-17    2.1065184e-16 
          0.03556                0                0       -6.4888127    6.9957717e-17   -1.3444965e-16        1.5111873    6.9957717e-17   -1.3444965e-16 
          0.04064                0                0       -6.5250671   -2.5852292e-17    2.1024497e-17        1.4749329   -2.5852292e-17    2.1024497e-17 
          0.04572                0                0       -6.5667778   -1.3130515e-17    1.1033606e-18        1.4332222   -1.3130515e-17    1.1033606e-18 
           0.0508                0                0       -6.6149083   -7.2432803e-17   -5.6098025e-17        1.3850917   -7.2432803e-17   -5.6098025e-17 
          0.05588                0                0       -6.6728618    2.9758111e-17   -1.3770185e-16        1.3271382    2.9758111e-17   -1.3770185e-16 
          0.06096                0                0       -6.7529648   -1.5355908e-17    7.4949187e-17        1.2470352   -1.5355908e-17    7.4949187e-17 
          0.06604                0                0         -6.89193     6.799772e-18   -9.7027978e-17          1.10807     6.799772e-18   -9.7027978e-17 
          0.07112                0                0       -7.1254806   -1.5727605e-17     1.728759e-16       0.87451941   -1.5727605e-17     1.728759e-16 
           0.0762                0                0       -7.3373809    2.4253061e-17   -5.7781161e-17       0.66261908    2.4253061e-17   -5.7781161e-17 
          0.08128                0                0       -7.3556316    1.1609348e-17   -7.5823053e-17       0.64436835    1.1609348e-17   -7.5823053e-17 
          0.08636                0                0       -6.9588015    -3.245519e-17    5.3534792e-18        1.0411985    -3.245519e-17    5.3534792e-18 
          0.09144                0                0       -5.2091595    7.0327597e-18   -8.9147457e-18        2.7908405    7.0327597e-18   -8.9147457e-18 
          0.09652                0                0       0.84433013    1.1587533e-17    1.7828196e-17        8.8443301    1.1587533e-17    1.7828196e-17 
           0.1016                0                0         13.21083    8.1500519e-19    5.0852817e-17         21.21083    8.1500519e-19    5.0852817e-17 
          0.10668                0                0        19.913165   -1.2773509e-17   -2.6102928e-17        27.913165   -1.2773509e-17   -2.6102928e-17 
          0.11176                0                0        17.183341   -2.9644775e-18    7.3258951e-18        25.183341   -2.9644775e-18    7.3258951e-18 
