%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%          X (in)           Y (in)           Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
                0             0.05                0        -542.1326        4473833.9      -0.14990202       -422.26502          4594571      -0.14990202 
          0.00995             0.05         -0.00098       -606.58664        4473819.5        6.4297607       -486.82048        4594554.6        7.6205606 
           0.0199             0.05         -0.00196       -673.91375        4473794.1        14.190412       -554.25611        4594527.4        16.572473 
          0.02985             0.05         -0.00294       -741.41873        4473759.5        21.366119       -621.87809        4594490.8        24.939954 
           0.0398             0.05         -0.00392        -809.0169        4473715.9        28.548372       -689.60307        4594445.4        33.314539 
          0.04975             0.05          -0.0049       -876.72901        4473663.3        35.739333       -757.45316          4594391        41.698441 
           0.0597             0.05         -0.00588       -944.57561        4473601.6        42.941087       -825.45027        4594327.4        50.093794 
          0.06965             0.05         -0.00686       -1013.5694          4473530         49.83895       -894.60844        4594254.1        58.185961 
           0.0796             0.05         -0.00784       -1080.0545        4473448.5        56.334006       -961.27317        4594170.9        65.876075 
          0.08955             0.05         -0.00882       -1147.7443        4473359.1        64.150123       -1029.1591        4594079.7        74.888053 
           0.0995             0.05          -0.0098       -1215.0173        4473260.8        70.856103       -1096.6461        4593979.8        82.790742 
          0.10945             0.05         -0.01078       -1283.2649        4473153.4        77.901155       -1165.1271        4593870.7        91.033402 
           0.1194             0.05         -0.01176       -1352.5879        4473037.4        85.389956       -1234.7039          4593753        99.720755 
          0.12935             0.05         -0.01274       -1422.2784        4472911.3        93.249131       -1304.6702        4593625.3        108.77947 
           0.1393             0.05         -0.01372        -1490.671        4472776.5        101.30987       -1373.3618        4593488.9        118.04079 
          0.14925             0.05          -0.0147       -1561.6542        4472639.1        108.40407       -1444.6687          4593350        126.33666 
           0.1592             0.05         -0.01568       -1629.6518        4472488.8        116.53997       -1513.0158        4593198.1        135.67534 
          0.16915             0.05         -0.01666       -1698.1312        4472327.6        123.66255        -1581.872        4593035.3         144.0019 
           0.1791             0.05         -0.01764       -1771.7593        4472146.5        129.07989       -1655.9054        4592852.6        150.62442 
          0.18905             0.05         -0.01862        -1842.892        4471955.5        137.45748       -1727.4732          4592660        160.20846 
            0.199             0.05          -0.0196       -1915.8679        4471760.7        152.98415       -1800.9154        4592463.6        176.94287 
          0.20895             0.05         -0.02058       -1986.8955          4471556        161.65164       -1872.4417        4592257.3        186.81946 
           0.2189             0.05         -0.02156       -2054.1046          4471344        160.58415       -1940.1834        4592043.7        186.96246 
          0.22885             0.05         -0.02254       -2124.3193          4471121        167.32271       -2010.9655          4591819        194.91293 
           0.2388             0.05         -0.02352       -2192.8616        4470882.5        172.40246       -2080.1116        4591578.8        201.20606 
          0.24875             0.05          -0.0245        -2260.646        4470630.1        173.97449       -2148.5375        4591324.6        203.99298 
           0.2587             0.05         -0.02548       -2334.6646        4470387.2        179.56372       -2223.2363          4591080        210.79866 
          0.26865             0.05         -0.02646       -2406.5984        4470120.9        196.36353       -2295.8905        4590811.9        228.81651 
           0.2786             0.05         -0.02744       -2468.6966          4469865        203.35489       -2358.7504        4590554.1        237.02752 
          0.28855             0.05         -0.02842       -2523.1551        4469583.4        208.12822       -2414.0132        4590270.5        243.02216 
           0.2985             0.05          -0.0294       -2580.0273        4469305.2        212.85681       -2471.7336        4589990.2        248.97376 
          0.30845             0.05         -0.03038        -2636.754        4469018.1        226.05577       -2529.3535        4589701.1        263.39745 
           0.3184             0.05         -0.03136       -2657.3038        4468707.1        227.40703       -2550.8427        4589387.9        265.97521 
          0.32835             0.05         -0.03234       -2694.7902        4468402.9        238.68996       -2589.3162        4589081.4        278.48643 
           0.3383             0.05         -0.03332       -2716.9706          4468058        229.95109       -2612.5322        4588734.1        270.97767 
          0.34825             0.05          -0.0343        -2722.605        4467696.5        226.42329       -2619.2521        4588370.1        268.68185 
           0.3582             0.05         -0.03528        -2677.132        4467334.4        227.25751       -2574.9156        4588005.3        270.74992 
          0.36815             0.05         -0.03626       -2554.4996          4466976        221.80968        -2453.472        4587644.2        266.53786 
           0.3781             0.05         -0.03724       -2419.0351        4466604.9        231.94469       -2319.2496        4587270.2        277.91057 
          0.38805             0.05         -0.03822       -2209.3363        4466196.8        209.64349       -2110.8474          4586859        256.84905 
            0.398             0.05          -0.0392       -1880.6264        4465768.6        178.72162       -1783.4898        4586427.7        227.16883 
          0.40795             0.05         -0.04018       -1356.1233        4465351.1         148.9169       -1260.3958        4586006.8        198.60778 
           0.4179             0.05         -0.04116       -588.40191        4464894.9        549.37151       -494.14124        4585547.1        600.30809 
          0.42785             0.05         -0.04214        1755.1667        4466917.8         252.1117        1847.9015        4587566.3        304.29604 
           0.4378             0.05         -0.04312        7725.8196        4464049.4       -739.97857        7816.9685          4584694       -686.54441 
          0.44775             0.05          -0.0441        9713.9948        4463484.3       -1024.7067        9803.4966        4584124.7       -970.02058 
           0.4577             0.05         -0.04508        12453.958          4462568       -1416.7184        12541.751          4583204       -1360.7783 
          0.46765             0.05         -0.04606        15996.169        4461049.7       -1808.5325        16082.189        4581681.2       -1751.3363 
           0.4776             0.05         -0.04704        20577.771        4458503.5       -2364.3311        20661.955        4579130.2       -2305.8766 
          0.48755             0.05         -0.04802        26142.358        4454470.7       -2952.9378         26224.64        4575092.3       -2893.2229 
           0.4975             0.05           -0.049        32185.389          4448555       -3628.0106        32265.703        4569171.3       -3567.0331 
          0.50745             0.05         -0.04998        -131043.6          4440783        13128.776       -130965.33        4561393.7        13191.019 
           0.5174             0.05         -0.05096       -122560.13        4430971.9        12004.921       -122483.96        4551576.7         12068.43 
          0.52735             0.05         -0.05194       -115401.98        4419998.4        11406.235       -115327.98        4540597.1        11471.014 
           0.5373             0.05         -0.05292       -109449.74        4408236.3        10848.409       -109377.98        4528828.5        10914.459 
          0.54725             0.05          -0.0539       -104628.56        4396064.5          10471.8       -104559.12        4516649.8        10539.123 
           0.5572             0.05         -0.05488       -100755.56        4383796.6         10137.33        -100688.5        4504374.9        10205.928 
          0.56715             0.05         -0.05586       -97571.971          4371488        9866.9209       -97507.371        4492058.8        9936.7975 
           0.5771             0.05         -0.05684       -94901.178        4359274.8        9645.6327        -94839.11        4479837.7        9716.7892 
          0.58705             0.05         -0.05782       -92674.167        4347183.8        9474.1718       -92614.706        4467738.5        9546.6106 
            0.597             0.05          -0.0588       -90758.506        4335241.9        9329.5279       -90701.728        4455787.9         9403.251 
          0.60695             0.05         -0.05978       -89085.365        4323429.3        9196.3278       -89031.345        4443966.4        9271.3376 
           0.6169             0.05         -0.06076        -87600.67          4311775        9080.1771       -87549.486        4432302.6        9156.4755 
          0.62685             0.05         -0.06174       -86254.088        4300253.4        8976.2924       -86205.817        4420771.2        9053.8817 
           0.6368             0.05         -0.06272       -85040.704        4288865.3        8885.9857       -84995.425        4409372.8         8964.868 
          0.64675             0.05          -0.0637       -83923.735        4277603.4        8805.0119       -83881.528        4398100.2        8885.1894 
           0.6567             0.05         -0.06468       -82889.023        4266481.5         8732.545       -82849.967        4386967.1        8814.0197 
          0.66665             0.05         -0.06566         -81919.6        4255460.2         8662.369       -81883.776        4375934.2         8745.143 
           0.6766             0.05         -0.06664       -81019.924        4244563.7        8599.8247       -80987.414        4365025.4        8683.9001 
          0.68655             0.05         -0.06762       -80167.821        4233778.9        8542.0504       -80138.707        4354227.9        8627.4292 
           0.6965             0.05          -0.0686       -79365.953        4223086.9        8488.4091       -79340.318        4343522.8        8575.0934 
          0.70645             0.05         -0.06958        -78608.43        4212502.4        8437.9863       -78586.357        4332924.5        8525.9781 
           0.7164             0.05         -0.07056       -77890.741        4202011.3        8391.6082       -77872.314        4322419.1        8480.9094 
          0.72635             0.05         -0.07154       -77209.034        4191604.6        8348.7346       -77194.338        4311997.5        8439.3472 
           0.7363             0.05         -0.07252       -76558.816        4181275.1        8308.4224       -76547.935        4301652.6        8400.3483 
          0.74625             0.05          -0.0735       -75945.122        4171026.1        8270.7343       -75938.143        4291387.6        8363.9754 
           0.7562             0.05         -0.07448       -75361.087        4160852.2        8235.3135       -75358.096          4281197        8329.8716 
