%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%          X (in)           Y (in)           Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
                0              -11                0        1121.4185       -317231.96     -0.024997222         1410.224       -328519.15     -0.024997222 
                0       -10.777778                0         1271.984       -337072.17     -0.027279428        1581.8676       -349181.96     -0.027279428 
                0       -10.555556                0        1438.9399       -358652.96     -0.029852924        1771.2997        -371665.7     -0.029852924 
                0       -10.333333                0        1624.0526        -382178.5     -0.032766142        1980.3408       -396184.12     -0.032766142 
                0       -10.111111                0        1829.2805       -407884.23     -0.036077557        2210.9965       -422983.52     -0.036077557 
                0       -9.8888889                0        2056.7942       -436043.05     -0.039858208        2465.4758       -452349.13     -0.039858208 
                0       -9.6666667                0        2309.0006       -466973.02     -0.044194976        2746.2121       -484613.07     -0.044194976 
                0       -9.4444444                0        2588.5683       -501047.15     -0.049194874        3055.8856       -520164.32     -0.049194874 
                0       -9.2222222                0        2898.4567       -538705.94     -0.054990719         3397.449       -559461.57     -0.054990719 
                0               -9                0        3241.9485       -580473.62     -0.061748717        3774.1567       -603049.71     -0.061748717 
                0       -8.7777778                0        3622.6861       -626979.53      -0.06967871        4189.5959       -651581.58      -0.06967871 
                0       -8.5555556                0        4044.7113       -678986.76     -0.079048187        4647.7233       -705846.83     -0.079048187 
                0       -8.3333333                0        4512.5099       -737431.08     -0.090201693        5152.9038       -766811.23     -0.090201693 
                0       -8.1111111                0        5031.0582        -803475.1      -0.10358811        5709.9534       -835670.97      -0.10358811 
                0       -7.8888889                0        5605.8696       -878585.21      -0.11979961        6324.1806       -913929.69      -0.11979961 
                0       -7.6666667                0        6243.0333       -964643.59       -0.1396281        7001.4214       -1003510.2       -0.1396281 
                0       -7.4444444                0        6949.2288       -1064115.7      -0.16414888        7748.0501       -1106921.3      -0.16414888 
                0       -7.2222222                0        7731.6777       -1180308.4      -0.19484679        8570.9285       -1227514.1      -0.19484679 
                0               -7                0        8597.9511       -1317778.6      -0.23381123        9477.2125       -1369887.7      -0.23381123 
                0       -6.7777778                0        9555.4454       -1483002.2      -0.28404552        10473.828       -1540552.5      -0.28404552 
                0       -6.5555556                0        10610.093       -1685492.2       -0.3499727        11566.186       -1749039.4       -0.3499727 
                0       -6.3333333                0        11763.267       -1939684.4      -0.43829272        12755.088       -2009770.3      -0.43829272 
                0       -6.1111111                0        13004.285       -2267965.9      -0.55950103        14029.246       -2345063.9      -0.55950103 
                0       -5.8888889                0        14291.976       -2704346.5      -0.73073325        15346.852       -2788772.1      -0.73073325 
                0       -5.6666667                0        15510.031       -3291024.3      -0.98140657        16590.949       -3382796.8      -0.98140657 
                0       -5.4444444                0         16378.83         -4018297       -1.3639051        17481.274       -4116937.9       -1.3639051 
                0       -5.2222222                0        16469.715       -4519206.5       -1.9579242        17588.548       -4623467.8       -1.9579242 
                0               -5                0        16178.165         -3769512       -2.7758421        17307.678       -3877052.4       -2.7758421 
                0       -4.7777778                0        17692.684       -2152714.5        -3.737494        18826.665       -2259787.4        -3.737494 
                0       -4.5555556                0        22627.957       -1260644.1       -5.1632058        23759.784         -1361930       -5.1632058 
                0       -4.3333333                0        31849.632       -968800.14       -7.5574074        32972.387       -1057566.2       -7.5574074 
                0       -4.1111111                0        45240.024       -771826.48       -11.416562        46346.625       -840568.34       -11.416562 
                0       -3.8888889                0        58421.242       -438601.23        -16.60602        59504.589       -480157.71        -16.60602 
                0       -3.6666667                0        64966.832       -37029.291       -20.579202        66019.965       -45921.409       -20.579202 
                0       -3.4444444                0        64608.884        317209.44       -21.880779        65625.141        343630.01       -21.880779 
                0       -3.2222222                0        59433.364        661644.46       -20.598088        60406.532        722623.54       -20.598088 
                0               -3                0        50765.629        1096155.7       -17.750753        51690.087        1187734.2       -17.750753 
                0       -2.7777778                0        40430.025        1756889.6       -14.250381        41300.863        1872804.7       -14.250381 
                0       -2.5555556                0        29613.191        2574876.5       -10.452713        30426.314        2707862.3       -10.452713 
                0       -2.3333333                0        19643.584        3174120.9       -6.9855222        20395.777        3317183.3       -6.9855222 
                0       -2.1111111                0        12655.173        3506832.3       -4.5286028        13344.143        3654145.8       -4.5286028 
                0       -1.8888889                0        8303.1637        3787388.8       -2.9779348        8927.5485        3934687.8       -2.9779348 
                0       -1.6666667                0        5537.5637        4061316.4       -1.9843179        6096.9098        4205870.6       -1.9843179 
                0       -1.4444444                0        3704.3929        4293350.3       -1.3276379        4199.1078        4433708.4       -1.3276379 
                0       -1.2222222                0        2436.4281        4439433.9      -0.88594931        2867.7097        4575097.2      -0.88594931 
                0               -1                0        1532.7818        4499150.4      -0.59176712        1902.5293        4630275.2      -0.59176712 
                0      -0.77777778                0        872.75443        4507359.8      -0.40054725        1183.4684        4634524.7      -0.40054725 
                0      -0.55555556                0        374.94853        4495778.4      -0.27936345        629.62274          4619820      -0.27936345 
                0      -0.33333333                0       -15.948329        4481976.5      -0.20536568         186.0642        4603880.1      -0.20536568 
                0      -0.11111111                0       -337.35804        4474050.9      -0.16411037       -184.35151        4594880.7      -0.16411037 
