%          X (in)           Y (in)           Z (in)         RealPolX         RealPolY         RealPolZ
      0.091448588              4.9        0.4597431        -36072559        -46213777        7316123.6 
      0.091448588              4.7        0.4597431        -70608474   -1.7773484e+08         14299998 
      0.091448588              4.5        0.4597431   -1.6424312e+08   -4.5621242e+08         33049296 
      0.091448588              4.3        0.4597431   -3.9861483e+08   -1.1082631e+09         79812011 
      0.091448588              4.1        0.4597431   -1.6090169e+09   -3.3513496e+09    3.2096399e+08 
      0.091448588              3.9        0.4597431    1.5149907e+09   -3.3315572e+09   -2.7635297e+08 
      0.091448588              3.7        0.4597431    1.1412562e+09    -1.480715e+08    -2.142729e+08 
      0.091448588              3.5        0.4597431    1.2425854e+09    2.7213904e+09   -2.3738743e+08 
      0.091448588              3.3        0.4597431    1.6827766e+09     6.202185e+09   -3.2135541e+08 
      0.091448588              3.1        0.4597431    2.4822389e+09    1.1110445e+10   -4.6870756e+08 
      0.091448588              2.9        0.4597431   -9.0215218e+08    1.3332442e+10    2.4805947e+08 
      0.091448588              2.7        0.4597431   -1.6909133e+08    1.2512943e+10         54307654 
      0.091448588              2.5        0.4597431   -5.0823241e+08    1.1802465e+10    1.1972762e+08 
      0.091448588              2.3        0.4597431   -2.2033484e+09    8.6907507e+09     4.411985e+08 
      0.091448588              2.1        0.4597431   -6.4108158e+08    5.3816962e+09    1.3011921e+08 
      0.091448588              1.9        0.4597431   -2.4828596e+08     4.303734e+09         51599958 
      0.091448588              1.7        0.4597431        -94513052    3.8701758e+09         20877382 
      0.091448588              1.5        0.4597431        -33892560    3.6973759e+09        8506506.9 
      0.091448588              1.3        0.4597431        -10728734    3.6296872e+09        3248754.6 
      0.091448588              1.1        0.4597431       -2256906.8    3.6036196e+09        1187518.1 
      0.091448588              0.9        0.4597431        487722.41    3.5945089e+09        458558.64 
      0.091448588              0.7        0.4597431        1130493.4     3.592217e+09        220321.11 
      0.091448588              0.5        0.4597431        1080148.6    3.5925308e+09        152229.91 
      0.091448588              0.3        0.4597431        860342.01    3.5937193e+09        134515.94 
      0.091448588              0.1        0.4597431        651074.74    3.5950789e+09        123983.82 
      0.091448588             -0.1        0.4597431        505577.78    3.5963259e+09         105776.4 
      0.091448588             -0.3        0.4597431        436433.21    3.5973452e+09         74309.46 
      0.091448588             -0.5        0.4597431        450567.59     3.598087e+09        25257.299 
      0.091448588             -0.7        0.4597431        566909.78    3.5985287e+09       -49105.276 
      0.091448588             -0.9        0.4597431        834094.86    3.5986687e+09       -165944.45 
      0.091448588             -1.1        0.4597431        1365522.9    3.5985457e+09       -366868.67 
      0.091448588             -1.3        0.4597431          2419120    3.5982771e+09       -760256.65 
      0.091448588             -1.5        0.4597431        4329693.4    3.5981386e+09       -1434976.4 
      0.091448588             -1.7        0.4597431        8447689.4    3.6008534e+09       -2329845.3 
      0.091448588             -1.9        0.4597431         16988035    3.6133784e+09       -3984900.5 
      0.091448588             -2.1        0.4597431         35229052    3.6491076e+09       -7621428.8 
      0.091448588             -2.3        0.4597431    1.2955357e+08     3.798194e+09        -26356494 
      0.091448588             -2.5        0.4597431        -32487172    3.8504169e+09        3950332.6 
      0.091448588             -2.7        0.4597431   -5.9740529e+08    3.0158624e+09    1.1581683e+08 
      0.091448588             -2.9        0.4597431    4.5836465e+08    2.6760338e+09   -1.2529059e+08 
      0.091448588             -3.1        0.4597431         40023859    3.0604297e+09        -44259119 
      0.091448588             -3.3        0.4597431   -2.2128072e+08    2.6143658e+09          6500405 
      0.091448588             -3.5        0.4597431   -3.0629968e+08     1.730333e+09         24578215 
      0.091448588             -3.7        0.4597431   -5.3125003e+08    4.6787698e+08         70281232 
      0.091448588             -3.9        0.4597431   -1.2503363e+09   -1.8506727e+09    2.1015632e+08 
      0.091448588             -4.1        0.4597431    1.1684221e+09   -2.1258049e+09   -2.3334321e+08 
      0.091448588             -4.3        0.4597431    2.2566729e+08   -5.8421983e+08        -45482544 
      0.091448588             -4.5        0.4597431         81093387   -2.2491501e+08        -16609204 
      0.091448588             -4.7        0.4597431         31539931        -84139953       -6647918.6 
      0.091448588             -4.9        0.4597431         13945547        -20651666       -3061742.7 
       0.26042355              4.9       0.38975138        -80653915        -19240973         54206370 
       0.26042355              4.7       0.38975138   -1.5381898e+08        -74638489    1.0326022e+08 
       0.26042355              4.5       0.38975138   -3.5302494e+08   -1.9671011e+08    2.3656835e+08 
       0.26042355              4.3       0.38975138   -8.2853301e+08   -4.6531051e+08    5.5454945e+08 
       0.26042355              4.1       0.38975138   -1.6370493e+09    7.8186711e+08    1.0955993e+09 
       0.26042355              3.9       0.38975138    1.7736156e+09      1.38056e+09   -1.0848169e+09 
       0.26042355              3.7       0.38975138    2.0795406e+09    9.1809041e+08   -1.2903492e+09 
       0.26042355              3.5       0.38975138    2.2809328e+09    1.6895955e+09   -1.4270684e+09 
       0.26042355              3.3       0.38975138    2.8313307e+09    2.2149105e+09   -1.8011994e+09 
       0.26042355              3.1       0.38975138    3.2647833e+09    1.1977942e+09   -2.1116051e+09 
       0.26042355              2.9       0.38975138     2.579627e+08    2.3151374e+09   -1.5944065e+08 
       0.26042355              2.7       0.38975138   -7.5213187e+08    4.1179599e+09     5.672296e+08 
       0.26042355              2.5       0.38975138   -1.2390787e+09    3.3576945e+09    8.6995396e+08 
       0.26042355              2.3       0.38975138   -3.2147869e+09    3.7700131e+09     2.151512e+09 
       0.26042355              2.1       0.38975138   -1.3543268e+09     4.276625e+09    9.0811831e+08 
       0.26042355              1.9       0.38975138    -5.507173e+08     3.869232e+09    3.7064255e+08 
       0.26042355              1.7       0.38975138   -2.2149895e+08    3.6944502e+09    1.5048832e+08 
       0.26042355              1.5       0.38975138        -87438343    3.6266795e+09         60539493 
       0.26042355              1.3       0.38975138        -33602831    3.6016756e+09         23801749 
       0.26042355              1.1       0.38975138        -12099919    3.5928499e+09        8986193.8 
       0.26042355              0.9       0.38975138       -3799083.3    3.5905792e+09        3217427.9 
       0.26042355              0.7       0.38975138        -759770.3     3.590926e+09        1049997.9 
       0.26042355              0.5       0.38975138        235829.63    3.5922061e+09        286763.12 
       0.26042355              0.3       0.38975138        474033.03    3.5937097e+09        49819.267 
       0.26042355              0.1       0.38975138        459340.36    3.5951392e+09       -6807.7214 
       0.26042355             -0.1       0.38975138        384626.13    3.5963668e+09       -17228.866 
       0.26042355             -0.3       0.38975138        323589.11    3.5973309e+09       -34529.267 
       0.26042355             -0.5       0.38975138        311581.78    3.5979906e+09       -85998.514 
       0.26042355             -0.7       0.38975138        385741.32    3.5983043e+09       -201251.55 
       0.26042355             -0.9       0.38975138        620623.49    3.5982156e+09       -438863.66 
       0.26042355             -1.1       0.38975138        1194481.9    3.5976325e+09       -939609.32 
       0.26042355             -1.3       0.38975138        2543664.4    3.5963657e+09       -2059104.3 
       0.26042355             -1.5       0.38975138        5190372.2    3.5941159e+09       -4168109.2 
       0.26042355             -1.7       0.38975138         11736533     3.592155e+09       -8626447.6 
       0.26042355             -1.9       0.38975138         26437525    3.5941716e+09        -18397611 
       0.26042355             -2.1       0.38975138         59309935    3.6059247e+09        -40375782 
       0.26042355             -2.3       0.38975138    1.1359351e+08     3.493453e+09        -76598418 
       0.26042355             -2.5       0.38975138   -2.0915549e+08    3.1908292e+09    1.3507064e+08 
       0.26042355             -2.7       0.38975138   -1.2422525e+09    2.7763772e+09    8.2306041e+08 
       0.26042355             -2.9       0.38975138    7.7875325e+08    2.2951845e+09   -5.9108006e+08 
       0.26042355             -3.1       0.38975138    1.6185715e+08    1.9874518e+09   -1.9558653e+08 
       0.26042355             -3.3       0.38975138   -3.3033233e+08    1.7254534e+09    1.2115456e+08 
       0.26042355             -3.5       0.38975138   -5.8549047e+08    1.2638028e+09    2.8779789e+08 
       0.26042355             -3.7       0.38975138   -9.2392143e+08    7.3802028e+08    5.1236133e+08 
       0.26042355             -3.9       0.38975138   -1.2081905e+09    1.4915841e+09    7.0201766e+08 
       0.26042355             -4.1       0.38975138    9.4735799e+08    1.1289908e+09   -6.3478964e+08 
       0.26042355             -4.3       0.38975138    4.2799271e+08   -1.6756219e+08   -2.8700014e+08 
       0.26042355             -4.5       0.38975138    1.7375819e+08        -84483323   -1.1689746e+08 
       0.26042355             -4.7       0.38975138         73103301        -31869094        -49461252 
       0.26042355             -4.9       0.38975138         36025646       -7317781.4        -24552218 
       0.38975138              4.9       0.26042355        -54615135         19579664         82545230 
       0.38975138              4.7       0.26042355   -1.0428746e+08         74579249    1.5720419e+08 
       0.38975138              4.5       0.26042355   -2.4199669e+08    1.8768594e+08    3.6372338e+08 
       0.38975138              4.3       0.26042355   -5.9055274e+08     3.799378e+08    8.8593588e+08 
       0.38975138              4.1       0.26042355   -1.3610756e+09   -1.4530838e+09    2.0405057e+09 
       0.38975138              3.9       0.26042355    1.4442994e+09    -1.577962e+09   -1.9900551e+09 
       0.38975138              3.7       0.26042355    1.5572689e+09    6.7585156e+08   -2.1604839e+09 
       0.38975138              3.5       0.26042355    1.6365553e+09    1.3917619e+09   -2.2822808e+09 
       0.38975138              3.3       0.26042355    1.9177384e+09    2.0340513e+09   -2.7143532e+09 
       0.38975138              3.1       0.26042355    1.9923876e+09    3.4940421e+09   -2.8622797e+09 
       0.38975138              2.9       0.26042355    2.0344102e+08    2.4491377e+09   -2.9125584e+08 
       0.38975138              2.7       0.26042355   -2.6140171e+08    1.4742308e+09    5.0453841e+08 
       0.38975138              2.5       0.26042355   -8.1997793e+08    3.2638298e+09    1.2992494e+09 
       0.38975138              2.3       0.26042355   -2.0844373e+09    3.1556194e+09    3.1251589e+09 
       0.38975138              2.1       0.26042355   -9.0184825e+08    2.8175238e+09    1.3547289e+09 
       0.38975138              1.9       0.26042355   -3.7104329e+08    3.2530803e+09    5.5941305e+08 
       0.38975138              1.7       0.26042355   -1.5035474e+08    3.4412927e+09     2.288259e+08 
       0.38975138              1.5       0.26042355        -59803197    3.5232378e+09         92742134 
       0.38975138              1.3       0.26042355        -23335077    3.5597877e+09         37020650 
       0.38975138              1.1       0.26042355       -8625855.8     3.576151e+09         14327704 
       0.38975138              0.9       0.26042355       -2842465.8    3.5840728e+09        5325186.2 
       0.38975138              0.7       0.26042355       -660074.65    3.5884903e+09        1840198.6 
       0.38975138              0.5       0.26042355        95735.796    3.5913588e+09        549270.51 
       0.38975138              0.3       0.26042355        303812.31    3.5934545e+09        109535.78 
       0.38975138              0.1       0.26042355         314359.1     3.595082e+09       -16771.214 
       0.38975138             -0.1       0.26042355        264289.64    3.5963528e+09       -42842.827 
       0.38975138             -0.3       0.26042355        207019.76    3.5972943e+09       -54830.571 
       0.38975138             -0.5       0.26042355        167169.95    3.5978886e+09       -95497.789 
       0.38975138             -0.7       0.26042355        167394.02    3.5980769e+09       -206229.76 
       0.38975138             -0.9       0.26042355        251105.97    3.5977375e+09       -464950.59 
       0.38975138             -1.1       0.26042355        523396.12    3.5966105e+09       -1059596.5 
       0.38975138             -1.3       0.26042355        1248356.2    3.5940856e+09       -2473904.9 
       0.38975138             -1.5       0.26042355        2748940.6    3.5890747e+09       -5213573.1 
       0.38975138             -1.7       0.26042355        6899760.7    3.5807825e+09        -11540495 
       0.38975138             -1.9       0.26042355         16608708    3.5678333e+09        -25992939 
       0.38975138             -2.1       0.26042355         39651617    3.5472321e+09        -60506680 
       0.38975138             -2.3       0.26042355         87999178    3.6766343e+09   -1.3280898e+08 
       0.38975138             -2.5       0.26042355   -1.2794033e+08     4.008649e+09    1.8482471e+08 
       0.38975138             -2.7       0.26042355   -9.6649832e+08    4.1295607e+09    1.4370431e+09 
       0.38975138             -2.9       0.26042355    4.7258484e+08    3.7916077e+09   -8.3123782e+08 
       0.38975138             -3.1       0.26042355         74433142     3.173593e+09   -2.6925421e+08 
       0.38975138             -3.3       0.26042355   -2.8780692e+08      2.32852e+09    2.5055808e+08 
       0.38975138             -3.5       0.26042355   -4.5551631e+08    1.5460921e+09     4.951941e+08 
       0.38975138             -3.7       0.26042355   -6.2343147e+08    9.2351265e+08    7.4503197e+08 
       0.38975138             -3.9       0.26042355   -7.3840245e+08   -7.2316305e+08    9.1770278e+08 
       0.38975138             -4.1       0.26042355     5.629023e+08   -8.8289954e+08   -8.4608412e+08 
       0.38975138             -4.3       0.26042355    2.7040588e+08    2.3145376e+08   -4.0693529e+08 
       0.38975138             -4.5       0.26042355    1.1417722e+08    1.0459078e+08   -1.7258886e+08 
       0.38975138             -4.7       0.26042355         48975665         41129180        -74612962 
       0.38975138             -4.9       0.26042355         24471917         11579329        -37666545 
        0.4597431              4.9      0.091448588       -7528463.1         47359290         40854386 
        0.4597431              4.7      0.091448588        -14699794    1.8245483e+08         77957065 
        0.4597431              4.5      0.091448588        -35106714    4.7481993e+08    1.8197863e+08 
        0.4597431              4.3      0.091448588        -92982808    1.2078374e+09    4.7481134e+08 
        0.4597431              4.1      0.091448588    -4.111238e+08    4.0633421e+09    2.0792965e+09 
        0.4597431              3.9      0.091448588    5.4781735e+08    4.8223354e+09   -1.8777863e+09 
        0.4597431              3.7      0.091448588    4.5991052e+08    2.3104018e+09   -1.3611532e+09 
        0.4597431              3.5      0.091448588    4.6106093e+08    4.1593681e+08   -1.3669467e+09 
        0.4597431              3.3      0.091448588    5.0296897e+08   -1.8699735e+09   -1.6608849e+09 
        0.4597431              3.1      0.091448588     5.411254e+08   -5.1812767e+09   -2.1046705e+09 
        0.4597431              2.9      0.091448588   -1.7377006e+08   -6.2991753e+09    7.8870102e+08 
        0.4597431              2.7      0.091448588      1.26163e+08   -5.4305975e+09   -1.5444113e+08 
        0.4597431              2.5      0.091448588        -55528509   -4.5268979e+09    5.6654213e+08 
        0.4597431              2.3      0.091448588   -4.2288611e+08   -1.3858561e+09    2.1418722e+09 
        0.4597431              2.1      0.091448588   -1.2999407e+08    1.7552051e+09    6.6831733e+08 
        0.4597431              1.9      0.091448588        -52247062    2.8179056e+09    2.7460205e+08 
        0.4597431              1.7      0.091448588        -20226818    3.2613846e+09    1.1268661e+08 
        0.4597431              1.5      0.091448588       -7244912.4    3.4493826e+09         45805355 
        0.4597431              1.3      0.091448588         -2435291    3.5296972e+09         18379409 
        0.4597431              1.1      0.091448588       -594280.37    3.5640421e+09        7171989.5 
        0.4597431              0.9      0.091448588        92534.203     3.579278e+09        2700778.8 
        0.4597431              0.7      0.091448588        310092.89    3.5866434e+09        953973.35 
        0.4597431              0.5      0.091448588        344842.43    3.5906803e+09        296937.52 
        0.4597431              0.3      0.091448588        312962.86    3.5932244e+09        66977.785 
        0.4597431              0.1      0.091448588        259615.04    3.5950119e+09       -2597.8416 
        0.4597431             -0.1      0.091448588         201089.1    3.5963271e+09       -18245.591 
        0.4597431             -0.3      0.091448588        142286.78    3.5972633e+09       -23269.342 
        0.4597431             -0.5      0.091448588        83913.172    3.5978208e+09       -38975.277 
        0.4597431             -0.7      0.091448588        25554.907     3.597931e+09       -85245.185 
        0.4597431             -0.9      0.091448588       -32763.546    3.5974288e+09        -198806.4 
        0.4597431             -1.1      0.091448588       -90025.224    3.5959405e+09       -468419.73 
        0.4597431             -1.3      0.091448588       -147161.31    3.5925567e+09       -1125795.4 
        0.4597431             -1.5      0.091448588       -164840.19    3.5856314e+09       -2409943.1 
        0.4597431             -1.7      0.091448588        381977.78     3.572841e+09       -5461342.1 
        0.4597431             -1.9      0.091448588        1840417.6    3.5487177e+09        -12569429 
        0.4597431             -2.1      0.091448588        5459952.1    3.4963203e+09        -30858115 
        0.4597431             -2.3      0.091448588         27820019    3.2986165e+09    -1.430036e+08 
        0.4597431             -2.5      0.091448588       -9676196.6    3.1486372e+09         21015958 
        0.4597431             -2.7      0.091448588    -1.829007e+08    4.1000578e+09    8.7545686e+08 
        0.4597431             -2.9      0.091448588        -13757046    4.1225282e+09   -4.7558884e+08 
        0.4597431             -3.1      0.091448588   -1.1784043e+08    2.7709998e+09        -91613627 
        0.4597431             -3.3      0.091448588   -1.9939713e+08     2.067861e+09    2.2170945e+08 
        0.4597431             -3.5      0.091448588    -2.201457e+08    1.7552925e+09    3.0115129e+08 
        0.4597431             -3.7      0.091448588   -2.4366051e+08    1.6845058e+09    4.2258444e+08 
        0.4597431             -3.9      0.091448588   -3.5425409e+08    2.4235162e+09    1.0049053e+09 
        0.4597431             -4.1      0.091448588    2.0505456e+08    1.9603147e+09   -1.0435196e+09 
        0.4597431             -4.3      0.091448588         38731757     5.657256e+08   -2.0250816e+08 
        0.4597431             -4.5      0.091448588         15175889    2.3304844e+08        -82236240 
        0.4597431             -4.7      0.091448588          6234801         91753408        -35919402 
        0.4597431             -4.9      0.091448588        2901641.8         24763518        -18233301 
     -0.091448588             -4.9        0.4597431        -25761504        -20219115       -5421868.6 
     -0.091448588             -4.7        0.4597431        -45756349        -82988742         -9485329 
     -0.091448588             -4.5        0.4597431        -98408623   -2.2359188e+08        -20063793 
     -0.091448588             -4.3        0.4597431   -2.4545636e+08   -5.8378565e+08        -49430701 
     -0.091448588             -4.1        0.4597431   -1.1844111e+09   -2.1840302e+09   -2.3654358e+08 
     -0.091448588             -3.9        0.4597431     1.393042e+09   -1.9087727e+09    2.3795071e+08 
     -0.091448588             -3.7        0.4597431    6.6155492e+08    4.7285146e+08         95586461 
     -0.091448588             -3.5        0.4597431    4.0571996e+08    1.7432854e+09         43671968 
     -0.091448588             -3.3        0.4597431    2.8128447e+08    2.6360958e+09         17730075 
     -0.091448588             -3.1        0.4597431        -32023349     3.094417e+09        -43314550 
     -0.091448588             -2.9        0.4597431   -5.0179659e+08    2.7352596e+09   -1.3452025e+08 
     -0.091448588             -2.7        0.4597431    7.3000397e+08     3.065031e+09      1.42202e+08 
     -0.091448588             -2.5        0.4597431         83247749    3.8670811e+09         14055554 
     -0.091448588             -2.3        0.4597431        -98151027    3.8076156e+09        -20111014 
     -0.091448588             -2.1        0.4597431        -15374369    3.6534329e+09         -3673210 
     -0.091448588             -1.9        0.4597431       -4286722.8    3.6160962e+09       -1459742.2 
     -0.091448588             -1.7        0.4597431       -218731.68    3.6025641e+09       -694450.85 
     -0.091448588             -1.5        0.4597431        1048275.7    3.5992328e+09       -366781.12 
     -0.091448588             -1.3        0.4597431        1119166.3    3.5989808e+09       -57911.634 
     -0.091448588             -1.1        0.4597431        998624.15    3.5989954e+09        102304.34 
     -0.091448588             -0.9        0.4597431        784133.34    3.5989482e+09        155376.41 
     -0.091448588             -0.7        0.4597431        600865.56    3.5986875e+09        183170.73 
     -0.091448588             -0.5        0.4597431        485909.97    3.5981514e+09        212074.76 
     -0.091448588             -0.3        0.4597431        452448.79     3.597324e+09        252185.42 
     -0.091448588             -0.1        0.4597431        518131.62    3.5962117e+09        310965.84 
     -0.091448588              0.1        0.4597431           722592    3.5948471e+09         399243.9 
     -0.091448588              0.3        0.4597431          1151398    3.5933231e+09         537119.3 
     -0.091448588              0.5        0.4597431        1985098.9    3.5918923e+09        764771.43 
     -0.091448588              0.7        0.4597431          3610032    3.5912118e+09        1166432.4 
     -0.091448588              0.9        0.4597431        6875729.7    3.5929418e+09        1926677.5 
     -0.091448588              1.1        0.4597431         13701750    3.6011852e+09        3467648.7 
     -0.091448588              1.3        0.4597431         28513218    3.6259064e+09        6789875.1 
     -0.091448588              1.5        0.4597431         61493663    3.6914922e+09         13999986 
     -0.091448588              1.7        0.4597431    1.3745249e+08    3.8609788e+09         29421872 
     -0.091448588              1.9        0.4597431    3.1523307e+08    4.2892441e+09         64920370 
     -0.091448588              2.1        0.4597431    7.4601593e+08    5.3578527e+09    1.5099746e+08 
     -0.091448588              2.3        0.4597431    2.3733601e+09    8.6638598e+09    4.7502301e+08 
     -0.091448588              2.5        0.4597431    5.7792968e+08    1.1771898e+10    1.3376707e+08 
     -0.091448588              2.7        0.4597431    1.7365376e+08    1.2427138e+10         55549201 
     -0.091448588              2.9        0.4597431    7.8083942e+08    1.3282984e+10    2.2361812e+08 
     -0.091448588              3.1        0.4597431   -2.6301401e+09    1.1133814e+10   -4.9805052e+08 
     -0.091448588              3.3        0.4597431   -1.8321251e+09    6.2101113e+09   -3.5101058e+08 
     -0.091448588              3.5        0.4597431   -1.3869212e+09    2.7237643e+09   -2.6606182e+08 
     -0.091448588              3.7        0.4597431   -1.2817267e+09   -1.5104608e+08   -2.4219304e+08 
     -0.091448588              3.9        0.4597431   -1.6429663e+09   -3.3929115e+09   -3.0170098e+08 
     -0.091448588              4.1        0.4597431    1.6484284e+09   -3.4058584e+09     3.288159e+08 
     -0.091448588              4.3        0.4597431    4.2631083e+08   -1.1026959e+09         85328393 
     -0.091448588              4.5        0.4597431    1.8263077e+08   -4.5277916e+08         36713420 
     -0.091448588              4.7        0.4597431         83598824   -1.7590798e+08         16890270 
     -0.091448588              4.9        0.4597431         46175624        -45635201        9332481.2 
      -0.26042355             -4.9       0.38975138        -44887216       -5979848.8        -30507164 
      -0.26042355             -4.7       0.38975138        -84101281        -28117395        -56843192 
      -0.26042355             -4.5       0.38975138   -1.8832157e+08        -79147469   -1.2666467e+08 
      -0.26042355             -4.3       0.38975138   -4.4843646e+08   -1.6576832e+08     -3.00702e+08 
      -0.26042355             -4.1       0.38975138   -9.7179219e+08    1.1706367e+09   -6.5118735e+08 
      -0.26042355             -3.9       0.38975138    1.3390441e+09    1.5412613e+09    7.8652199e+08 
      -0.26042355             -3.7       0.38975138    1.0364173e+09    7.5920182e+08    5.8442565e+08 
      -0.26042355             -3.5       0.38975138    6.6640421e+08    1.2952738e+09      3.38628e+08 
      -0.26042355             -3.3       0.38975138    3.7630442e+08    1.7580284e+09    1.4861339e+08 
      -0.26042355             -3.1       0.38975138   -1.5840613e+08    2.0169576e+09   -1.9624385e+08 
      -0.26042355             -2.9       0.38975138   -8.0488133e+08    2.3266288e+09   -6.1094163e+08 
      -0.26042355             -2.7       0.38975138    1.3279148e+09    2.8068176e+09    8.8024024e+08 
      -0.26042355             -2.5       0.38975138     2.479785e+08    3.2131541e+09    1.6099491e+08 
      -0.26042355             -2.3       0.38975138        -91818372    3.5111051e+09        -62051257 
      -0.26042355             -2.1       0.38975138        -45537052     3.618284e+09        -31176916 
      -0.26042355             -1.9       0.38975138        -17460667    3.6017786e+09        -12403879 
      -0.26042355             -1.7       0.38975138         -5862569    3.5969887e+09       -4706536.2 
      -0.26042355             -1.5       0.38975138       -1333473.3    3.5972215e+09       -1596355.8 
