%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%          X (in)           Y (in)           Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
                0             0.05                0       -126.45729        244424.17      0.056405703       -6.5897096        365161.29      0.056405703 
          0.00098             0.05          0.00995       -126.43633        244425.48        11.859051       -6.5795172        365161.27      -0.22907277 
          0.00196             0.05           0.0199       -126.41336        244429.09        23.661214       -6.5695154        365161.27      -0.51443639 
          0.00294             0.05          0.02985       -126.38833        244434.97        35.461874       -6.5597085         365161.3       -0.7996945 
          0.00392             0.05           0.0398       -126.36119        244443.15        47.260015        -6.550101        365161.34       -1.0848546 
           0.0049             0.05          0.04975        -126.3319        244453.61        59.054622       -6.5406975         365161.4       -1.3699219 
          0.00588             0.05           0.0597       -126.30042        244466.36        70.844684       -6.5315019        365161.48       -1.6548995 
          0.00686             0.05          0.06965       -126.26668         244481.4        82.629192       -6.5225171        365161.58       -1.9397869 
          0.00784             0.05           0.0796       -126.23065        244498.71        94.407145       -6.5137444         365161.7       -2.2245805 
          0.00882             0.05          0.08955       -126.19228        244518.31        106.17754       -6.5051832        365161.83       -2.5092723 
           0.0098             0.05           0.0995       -126.15151        244540.19         117.9394       -6.4968302        365161.99       -2.7938498 
          0.01078             0.05          0.10945       -126.10828        244564.35        129.69173       -6.4886797        365162.17       -3.0782951 
          0.01176             0.05           0.1194       -126.06254        244590.79        141.43355       -6.4807226        365162.36       -3.3625846 
          0.01274             0.05          0.12935       -126.01422         244619.5        153.16389       -6.4729465        365162.58        -3.646688 
          0.01372             0.05           0.1393       -125.96326        244650.48         164.8818       -6.4653358        365162.81       -3.9305694 
           0.0147             0.05          0.14925        -125.9096        244683.73        176.58633       -6.4578714        365163.07       -4.2141891 
          0.01568             0.05           0.1592       -125.85316        244719.24        188.27651       -6.4505324        365163.34       -4.4975114 
          0.01666             0.05          0.16915       -125.79388        244757.02        199.95136       -6.4432981        365163.63       -4.7805275 
          0.01764             0.05           0.1791        -125.7317        244797.06        211.60983       -6.4361553        365163.94       -5.0633186 
          0.01862             0.05          0.18905       -125.66657        244839.35        223.25058       -6.4291158        365164.28        -5.346227 
           0.0196             0.05            0.199       -125.59854         244883.9        234.87157       -6.4222635        365164.63       -5.6303169 
          0.02058             0.05          0.20895       -125.52785         244930.7        246.46881       -6.4158783           365165        -5.918612 
          0.02156             0.05           0.2189       -125.37669        244982.25        260.26148       -6.3322118         365167.9       -3.9909419 
          0.02254             0.05          0.22885       -126.30977        245040.05        270.12431       -7.3360128        365174.82        -5.971632 
          0.02352             0.05           0.2388       -122.93905        245097.07        285.25733       -4.0392908        365178.75       -2.6596645 
