%          X (in)           Y (in)           Z (in)         RealPolX         RealPolY         RealPolZ
            7.775        -3.116623          0.65625        -16581473   -1.3078689e+08        4308348.7 
            7.575       -3.0364526          0.65625        -50491432   -1.6160179e+08          2609924 
            7.375       -2.9562823          0.65625        -75234747   -1.9337595e+08        2436923.2 
            7.175       -2.8761119          0.65625        -95312752   -2.3693926e+08        2463610.8 
            6.975       -2.7959415          0.65625        -56649926   -3.3540322e+08        3054894.5 
            7.775       -2.9088481          0.65625       -9903268.9   -1.6877347e+08        4172551.3 
            7.575       -2.8340225          0.65625        -35107933   -1.9260868e+08        3110658.8 
            7.375       -2.7591968          0.65625        -51632935   -2.1981658e+08          2756269 
            7.175       -2.6843711          0.65625        -50289430   -2.5710611e+08        2513425.4 
            6.975       -2.6095454          0.65625        -24423796     -2.86915e+08        3706861.2 
            7.775       -2.7010733          0.65625       -6019005.4   -1.9699273e+08        4050320.2 
            7.575       -2.6315923          0.65625        -23106202    -2.149261e+08        2568574.2 
            7.375       -2.5621113          0.65625        -30439891   -2.3452582e+08        2176224.7 
            7.175       -2.4926303          0.65625        -26010650   -2.5432754e+08        2170466.6 
            6.975       -2.4231493          0.65625        -12373807   -2.6653695e+08        3255713.9 
            7.775       -2.4932984          0.65625       -3049368.2   -2.1677436e+08        3167456.3 
            7.575       -2.4291621          0.65625        -13306397   -2.2852077e+08        2035935.9 
            7.375       -2.3650258          0.65625        -16924739    -2.402913e+08          1804391 
            7.175       -2.3008895          0.65625        -14110750   -2.5044782e+08        1876646.2 
            6.975       -2.2367532          0.65625         -7278957   -2.5705544e+08        2801009.3 
            7.775       -2.2855235          0.65625         -1065901    -2.289476e+08        2621159.8 
            7.575       -2.2267319          0.65625       -7150852.2   -2.3625553e+08          1708509 
            7.375       -2.1679403          0.65625       -9281325.1   -2.4287215e+08        1542517.6 
            7.175       -2.1091487          0.65625         -7994312   -2.4830464e+08        1626231.3 
            6.975       -2.0503571          0.65625       -4683495.8   -2.5239881e+08          2413390 
            7.775       -2.0777487          0.65625        96732.388   -2.3628437e+08        2237904.8 
            7.575       -2.0243018          0.65625       -3596731.1   -2.4073777e+08        1466639.4 
            7.375       -1.9708549          0.65625       -5076310.1   -2.4439169e+08        1335397.5 
            7.175       -1.9174079          0.65625         -4724164   -2.4740368e+08        1415853.6 
            6.975        -1.863961          0.65625       -3238597.7    -2.501459e+08        2092889.7 
            7.775       -1.8699738          0.65625        688376.31   -2.4074515e+08        1939853.9 
            7.575       -1.8218716          0.65625       -1651674.8   -2.4348305e+08        1273987.7 
            7.375       -1.7737694          0.65625       -2780841.5   -2.4549829e+08        1165020.2 
            7.175       -1.7256671          0.65625       -2919093.4   -2.4721765e+08        1238116.1 
            6.975       -1.6775649          0.65625       -2378845.9   -2.4913985e+08        1825131.5 
            7.775       -1.6621989          0.65625         943271.4    -2.435629e+08        1693979.4 
            7.575       -1.6194414          0.65625       -623637.17   -2.4528166e+08        1114121.1 
            7.375       -1.5766839          0.65625       -1531662.6   -2.4639558e+08        1019505.5 
            7.175       -1.5339264          0.65625       -1895970.5   -2.4740426e+08        1084246.4 
            6.975       -1.4911688          0.65625       -1836023.4   -2.4879008e+08        1597842.2 
            7.775       -1.4544241          0.65625        1009336.8   -2.4544459e+08          1481568 
            7.575       -1.4170112          0.65625       -100774.32    -2.465414e+08        974024.94 
            7.375       -1.3795984          0.65625       -848844.46   -2.4715991e+08        893025.13 
            7.175       -1.3421856          0.65625       -1301146.6   -2.4776571e+08        951455.01 
            6.975       -1.3047727          0.65625       -1475289.1    -2.487797e+08        1401804.3 
            7.775       -1.2466492          0.65625        981108.39   -2.4677919e+08        1293334.9 
            7.575       -1.2145811          0.65625        151647.19   -2.4747867e+08        851073.21 
            7.375       -1.1825129          0.65625       -476432.05   -2.4782035e+08        781504.93 
            7.175       -1.1504448          0.65625       -939821.12   -2.4819302e+08        833616.45 
            6.975       -1.1183766          0.65625       -1217598.2     -2.48939e+08        1228927.7 
            7.775       -1.0388743          0.65625        901777.75   -2.4777442e+08        1121071.1 
            7.575       -1.0121509          0.65625        257999.55   -2.4820954e+08        738969.55 
            7.375      -0.98542743          0.65625       -272670.17   -2.4839307e+08        679527.77 
