%          X (in)           Y (in)           Z (in)         RealPolX         RealPolY         RealPolZ
            7.775        -3.116623          0.65625        -16812524   -1.3183611e+08        4259821.7 
            7.575       -3.0364526          0.65625        -50991335   -1.6288813e+08        2587719.9 
            7.375       -2.9562823          0.65625        -75913298   -1.9492779e+08        2421129.8 
            7.175       -2.8761119          0.65625        -96138395   -2.3885336e+08        2450801.3 
            6.975       -2.7959415          0.65625        -57121966    -3.381282e+08        3047009.5 
            7.775       -2.9088481          0.65625        -10066341   -1.7015257e+08        4137984.8 
            7.575       -2.8340225          0.65625        -35464323   -1.9412681e+08        3092359.6 
            7.375       -2.7591968          0.65625        -52102192   -2.2156518e+08        2743240.7 
            7.175       -2.6843711          0.65625        -50724610   -2.5916398e+08        2504293.4 
            6.975       -2.6095454          0.65625        -24621455   -2.8919832e+08          3706777 
            7.775       -2.7010733          0.65625       -6137249.7   -1.9858236e+08        4020804.6 
            7.575       -2.6315923          0.65625        -23346450   -2.1660923e+08        2553202.8 
            7.375       -2.5621113          0.65625        -30725419   -2.3637403e+08        2165835.7 
            7.175       -2.4926303          0.65625        -26242148   -2.5633758e+08        2164571.8 
            6.975       -2.4231493          0.65625        -12475818   -2.6863203e+08        3258445.7 
            7.775       -2.4932984          0.65625       -3132509.7   -2.1849766e+08        3142086.4 
            7.575       -2.4291621          0.65625        -13459260   -2.3030055e+08        2023101.5 
            7.375       -2.3650258          0.65625        -17094003   -2.4217022e+08        1796298.9 
            7.175       -2.3008895          0.65625        -14243177   -2.5240814e+08        1872907.5 
            6.975       -2.2367532          0.65625       -7342143.8   -2.5905995e+08        2805505.7 
            7.775       -2.2855235          0.65625       -1123904.7   -2.3074899e+08          2599597 
            7.575       -2.2267319          0.65625       -7247064.1    -2.380861e+08        1697955.5 
            7.375       -2.1679403          0.65625       -9384222.1   -2.4475877e+08        1536329.5 
            7.175       -2.1091487          0.65625       -8075982.3   -2.5023419e+08        1624139.5 
            6.975       -2.0503571          0.65625       -4727602.4    -2.543557e+08        2419191.9 
            7.775       -2.0777487          0.65625        55376.018   -2.3812805e+08        2219884.6 
            7.575       -2.0243018          0.65625       -3658910.4   -2.4259457e+08        1458142.5 
            7.375       -1.9708549          0.65625       -5141979.9   -2.4628003e+08        1330852.3 
            7.175       -1.9174079          0.65625       -4778639.7   -2.4931564e+08        1415130.4 
            6.975        -1.863961          0.65625       -3272553.3    -2.520769e+08        2099784.4 
            7.775       -1.8699738          0.65625        657917.58   -2.4261068e+08        1925126.3 
            7.575       -1.8218716          0.65625       -1693799.8   -2.4535376e+08        1267372.7 
            7.375       -1.7737694          0.65625       -2825418.2   -2.4738717e+08        1161943.7 
