%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%          X (in)           Y (in)           Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
                0              -11                0        1147.0081       -325615.65     -0.028102722        1435.8136       -336902.84     -0.028102722 
                0       -10.777778                0        1299.5782       -345921.04     -0.030663797        1609.4618       -358030.82     -0.030663797 
                0       -10.555556                0        1468.7518       -367999.54     -0.033552611        1801.1116       -381012.28     -0.033552611 
                0       -10.333333                0        1656.3252       -392057.73     -0.036824004        2012.6133       -406063.35     -0.036824004 
                0       -10.111111                0        1864.2914        -418333.5     -0.040544306        2246.0073       -433432.78     -0.040544306 
                0       -9.8888889                0        2094.8626       -447102.18     -0.044794255        2503.5442       -463408.25     -0.044794255 
                0       -9.6666667                0         2350.495       -478684.17     -0.049672816        2787.7064       -496324.22     -0.049672816 
                0       -9.4444444                0        2633.9165        -513454.6     -0.055302199        3101.2337       -532571.77     -0.055302199 
                0       -9.2222222                0        2948.1584       -551855.53     -0.061834534        3447.1508       -572611.16     -0.061834534 
                0               -9                0        3296.5914       -594411.94     -0.069460849        3828.7995       -616988.03     -0.069460849 
                0       -8.7777778                0        3682.9658       -641752.46      -0.07842328        4249.8757        -666354.5      -0.07842328 
                0       -8.5555556                0        4111.4589       -694637.17     -0.089031919        4714.4708       -721497.24     -0.089031919 
                0       -8.3333333                0        4586.7267       -753995.25      -0.10168837        5227.1206        -783375.4      -0.10168837 
                0       -8.1111111                0         5113.964       -820976.97      -0.11691926        5792.8592       -853172.84      -0.11691926 
                0       -7.8888889                0        5698.9683       -897027.42      -0.13542464        6417.2793        -932371.9      -0.13542464 
                0       -7.6666667                0        6348.2056       -983993.25      -0.15814951        7106.5937       -1022859.9      -0.15814951 
                0       -7.4444444                0         7068.866       -1084281.7       -0.1863916        7867.6872       -1127087.3       -0.1863916 
                0       -7.2222222                0        7868.8815       -1201104.3      -0.22196819        8708.1323         -1248310      -0.22196819 
                0               -7                0        8756.8439       -1338862.3      -0.26748166        9636.1053       -1390971.3      -0.26748166 
                0       -6.7777778                0        9741.6731       -1503773.5      -0.32675716        10660.056       -1561323.8      -0.32675716 
                0       -6.5555556                0        10831.686       -1704919.4      -0.40559339        11787.778       -1768466.5      -0.40559339 
                0       -6.3333333                0        12032.212       -1956003.6      -0.51311553        13024.033       -2026089.5      -0.51311553 
                0       -6.1111111                0        13339.626       -2278171.5       -0.6643638        14364.586       -2355269.4       -0.6643638 
                0       -5.8888889                0        14726.431       -2703407.7      -0.88560518        15781.307       -2787833.3      -0.88560518 
                0       -5.6666667                0        16105.164       -3271250.6       -1.2259224        17186.082       -3363023.1       -1.2259224 
                0       -5.4444444                0        17258.999       -3972482.6       -1.7811578        18361.442       -4071123.5       -1.7811578 
                0       -5.2222222                0        17865.827       -4463955.4        -2.709529         18984.66       -4568216.7        -2.709529 
                0               -5                0        18302.089       -3793632.9       -4.0516687        19431.602       -3901173.3       -4.0516687 
                0       -4.7777778                0        20461.101       -2335122.4       -5.6367679        21595.082       -2442195.3       -5.6367679 
                0       -4.5555556                0        26063.962       -1561351.6       -7.9460732         27195.79       -1662637.5       -7.9460732 
                0       -4.3333333                0        36298.473       -1316689.4       -11.704626        37421.228       -1405455.5       -11.704626 
                0       -4.1111111                0        51058.843       -1089149.4       -17.189801        52165.443       -1157891.3       -17.189801 
                0       -3.8888889                0         65308.33       -651317.09       -23.564883        66391.677       -692873.57       -23.564883 
                0       -3.6666667                0        71948.451       -150997.06       -27.793734        73001.584       -159889.18       -27.793734 
                0       -3.4444444                0        71186.646        237345.34       -28.303484        72202.903        263765.91       -28.303484 
                0       -3.2222222                0        65466.248        571048.45        -25.87495        66439.417        632027.54        -25.87495 
                0               -3                0         56083.67        963129.25       -21.922783        57008.128        1054707.7       -21.922783 
                0       -2.7777778                0        44950.457        1563014.9       -17.459967        45821.296        1678929.9       -17.459967 
                0       -2.5555556                0        33433.154        2371707.3       -12.899849        34246.277        2504693.1       -12.899849 
                0       -2.3333333                0        22809.185        3060605.4       -8.8080201        23561.378        3203667.8       -8.8080201 
                0       -2.1111111                0        15118.538        3523040.2       -5.8357879        15807.508        3670353.7       -5.8357879 
                0       -1.8888889                0        10177.393        3918119.3       -3.9079998        10801.778        4065418.2       -3.9079998 
                0       -1.6666667                0        6970.8058        4293270.9        -2.649506        7530.1518        4437825.1        -2.649506 
                0       -1.4444444                0        4793.7711        4606592.5       -1.8013297        5288.4861        4746950.5       -1.8013297 
                0       -1.2222222                0        3240.7179        4797659.1       -1.2185356        3671.9995        4933322.4       -1.2185356 
                0               -1                0        2097.5038        4866421.5      -0.82383407        2467.2513        4997546.3      -0.82383407 
                0      -0.77777778                0        1236.6696        4863667.3      -0.56477512        1547.3835        4990832.2      -0.56477512 
                0      -0.55555556                0         568.9758        4835773.6       -0.3999199        823.65001        4959815.2       -0.3999199 
                0      -0.33333333                0        31.755481        4808455.6      -0.29935542          233.768        4930359.2      -0.29935542 
                0      -0.11111111                0       -418.12961        4793443.9      -0.24390507       -265.12308        4914273.7      -0.24390507 
                0       0.11111111                0       -811.16423        4795111.2       -0.2229588       -703.33058        4915964.9       -0.2229588 
                0       0.33333333                0       -1170.8766        4813441.8      -0.23274633       -1104.2965        4935416.4      -0.23274633 
                0       0.55555556                0       -1518.5728        4844018.6      -0.27560651       -1489.3209        4968176.8      -0.27560651 
                0       0.77777778                0       -1878.0429          4875020      -0.36023214       -1882.2564        5002344.5      -0.36023214 
                0                1                0       -2281.6752        4880538.1      -0.50249175       -2315.6101        5011861.8      -0.50249175 
                0        1.2222222                0       -2780.2417        4813850.8      -0.72574253        -2840.317        4949748.1      -0.72574253 
                0        1.4444444                0       -3459.6228        4623804.8       -1.0605777       -3542.4539        4764426.6       -1.0605777 
                0        1.6666667                0       -4467.2894        4310578.2       -1.5520905       -4569.7116        4455420.2       -1.5520905 
                0        1.8888889                0       -6046.9227        3935770.2       -2.2788423       -6166.0051        4083374.4       -2.2788423 
                0        2.1111111                0       -8581.5973        3543548.3       -3.3622369         -8714.65        3691177.9       -3.3622369 
                0        2.3333333                0       -12600.849        3082603.5       -5.0044638       -12745.424        3225985.9       -5.0044638 
                0        2.5555556                0       -18181.747        2368173.7       -7.2886365       -18335.632        2501476.3       -7.2886365 
                0        2.7777778                0       -24246.275        1521778.8       -9.7710752       -24407.489        1638000.6       -9.7710752 
                0                3                0       -30139.097        923041.07       -12.208242       -30305.875        1014909.8       -12.208242 
                0        3.2222222                0       -35126.524        557384.57       -14.400265       -35297.307        618631.23       -14.400265 
                0        3.4444444                0       -38178.322        234288.62       -16.072604        -38351.74        260948.62       -16.072604 
                0        3.6666667                0       -38602.668       -154245.31       -16.855056        -38777.53        -162930.9       -16.855056 
                0        3.8888889                0       -35128.774       -659274.57       -15.726354       -35304.046       -700661.38       -15.726354 
                0        4.1111111                0       -27662.644       -1102625.5       -12.409097        -27837.44       -1171237.7       -12.409097 
                0        4.3333333                0       -19942.155       -1333865.3       -8.5773408       -20115.721       -1422543.8       -8.5773408 
                0        4.5555556                0       -14631.519       -1582120.7       -5.7707928       -14803.217       -1683362.6       -5.7707928 
                0        4.7777778                0       -11845.779       -2365921.7        -4.040417       -12015.077       -2472994.5        -4.040417 
                0                5                0        -11129.03       -3843123.3       -2.8517309       -11295.489       -3950707.1       -2.8517309 
                0        5.2222222                0       -11570.974       -4522340.8       -1.8475602       -11734.236         -4626688       -1.8475602 
                0        5.4444444                0       -11808.802       -4025172.4       -1.1699844       -11968.583         -4123940       -1.1699844 
                0        5.6666667                0       -11553.201       -3315538.8      -0.78151796       -11709.277       -3407476.6      -0.78151796 
                0        5.8888889                0        -11049.65       -2740878.2      -0.55326129       -11201.854         -2825505      -0.55326129 
                0        6.1111111                0        -10466.35       -2310527.1      -0.40975618       -10614.561       -2387859.2      -0.40975618 
                0        6.3333333                0       -9876.0502       -1984460.9      -0.31402364       -10020.188       -2054810.7      -0.31402364 
                0        6.5555556                0       -9306.9558       -1730305.1      -0.24715146       -9446.9741       -1794142.5      -0.24715146 
                0        6.7777778                0       -8768.9626       -1526659.9      -0.19873232       -8904.8456       -1584523.5      -0.19873232 
                0                7                0       -8264.5283       -1359659.8      -0.16265263       -8396.2847       -1412101.8      -0.16265263 
                0        7.2222222                0       -7793.1061       -1220118.2       -0.1351256       -7920.7654       -1267673.1       -0.1351256 
                0        7.4444444                0        -7352.991       -1101746.6      -0.11370328          -7476.6       -1144914.7      -0.11370328 
                0        7.6666667                0       -6942.1035       -1000095.3     -0.096746777       -7061.7234       -1039334.6     -0.096746777 
                0        7.8888889                0        -6558.323        -911917.5     -0.083126302       -6674.0266        -947642.2     -0.083126302 
                0        8.1111111                0       -6199.6238       -834780.43     -0.072043417       -6311.4929       -867361.46     -0.072043417 
                0        8.3333333                0       -5864.1235       -766817.93     -0.062921631       -5972.2475       -796585.86     -0.062921631 
                0        8.5555556                0       -5550.0944       -706569.81     -0.055336831       -5654.5681        -733818.2     -0.055336831 
                0        8.7777778                0        -5255.957       -652873.84     -0.048971799       -5356.8794       -677862.89     -0.048971799 
                0                9                0       -4980.2689       -604791.17      -0.04358575       -5077.7418       -627751.34      -0.04358575 
                0        9.2222222                0       -4721.7113       -561553.79     -0.038993477       -4815.8382       -582689.14     -0.038993478 
                0        9.4444444                0       -4479.0757        -522526.4     -0.035050811       -4569.9611       -542017.73     -0.035050811 
                0        9.6666667                0       -4251.2531       -487178.43     -0.031644292       -4339.0016       -505186.05     -0.031644292 
                0        9.8888889                0        -4037.223       -455062.98     -0.028683744       -4121.9386        -471729.2     -0.028683744 
                0        10.111111                0       -3836.0448       -425800.78     -0.026096829       -3917.8306       -441252.06     -0.026096829 
                0        10.333333                0       -3646.8499       -399067.77     -0.023825036       -3725.8076       -413416.71     -0.023825036 
                0        10.555556                0       -3468.8353       -374585.43     -0.021820659       -3545.0646       -387932.37     -0.021820659 
                0        10.777778                0       -3301.2573          -352113     -0.020044527       -3374.8559       -364547.56     -0.020044527 
                0               11                0       -3143.4267        -331441.4      -0.01846425       -3214.4899       -343043.72      -0.01846425 


