%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ
      0.091448588              4.9        0.4597431         293000.2        -45860985       -3991245.4 
      0.091448588              4.7        0.4597431        446948.34        -71899774       -3250231.7 
      0.091448588              4.5        0.4597431        739807.23        -86584701       -2817413.7 
      0.091448588              4.3        0.4597431        1276517.9        -95359534       -2246027.3 
      0.091448588              4.1        0.4597431        2380016.8        -95272758        -755994.4 
      0.091448588              3.9        0.4597431        9130347.1        -47794705        8523464.6 
      0.091448588              3.7        0.4597431        7223157.9        1290182.5         -2335780 
      0.091448588              3.5        0.4597431        7622680.6         16414948       -2956879.2 
      0.091448588              3.3        0.4597431        8517546.6         31605606       -3135435.9 
      0.091448588              3.1        0.4597431        8097230.3         49656667       -2041024.8 
      0.091448588              2.9        0.4597431        4771589.4         31699064        -13305248 
      0.091448588              2.7        0.4597431        6141620.7         47551593         19765434 
      0.091448588              2.5        0.4597431        3596967.1    1.6912844e+08         17000621 
      0.091448588              2.3        0.4597431        1083165.3    2.2099936e+08        3317073.9 
      0.091448588              2.1        0.4597431        759084.22    2.4463464e+08        3750742.5 
      0.091448588              1.9        0.4597431        703108.16      2.67922e+08        3785811.7 
      0.091448588              1.7        0.4597431        826551.28    2.9258395e+08        4286621.2 
      0.091448588              1.5        0.4597431        770202.43     3.178512e+08        3730823.8 
      0.091448588              1.3        0.4597431           294288    3.3286035e+08        1082694.5 
      0.091448588              1.1        0.4597431        45541.041    3.3545864e+08       -273097.29 
      0.091448588              0.9        0.4597431       -34298.986    3.3313261e+08          -630849 
      0.091448588              0.7        0.4597431        -59364.05    3.2974759e+08       -637942.37 
      0.091448588              0.5        0.4597431       -62723.499    3.2665425e+08       -510333.26 
      0.091448588              0.3        0.4597431       -55119.912    3.2438057e+08       -326259.08 
      0.091448588              0.1        0.4597431       -41242.556    3.2315005e+08        -118811.1 
      0.091448588             -0.1        0.4597431       -23934.144    3.2304803e+08        94816.461 
      0.091448588             -0.3        0.4597431       -5503.7289    3.2407475e+08        301470.02 
      0.091448588             -0.5        0.4597431        11534.041    3.2614549e+08        483980.38 
      0.091448588             -0.7        0.4597431        23197.854     3.290382e+08        609362.71 
      0.091448588             -0.9        0.4597431        19945.034    3.3222855e+08        599764.93 
      0.091448588             -1.1        0.4597431       -29401.924    3.3437569e+08           240577 
      0.091448588             -1.3        0.4597431       -236073.27    3.3164309e+08       -1111057.8 
      0.091448588             -1.5        0.4597431       -656406.38    3.1660272e+08       -3746701.3 
      0.091448588             -1.7        0.4597431       -645303.82    2.9140645e+08       -4305021.7 
      0.091448588             -1.9        0.4597431       -430197.78    2.6686164e+08       -3818036.7 
      0.091448588             -2.1        0.4597431       -334360.54    2.4377941e+08       -3803572.2 
      0.091448588             -2.3        0.4597431       -260743.61    2.2068359e+08       -3493162.6 
      0.091448588             -2.5        0.4597431       -2875530.4    1.7464181e+08        -14336211 
      0.091448588             -2.7        0.4597431       -4298889.9         81285606        -13841201 
      0.091448588             -2.9        0.4597431         -2827342         51082051        4198162.1 
      0.091448588             -3.1        0.4597431       -5390711.9         47263168        1871683.1 
      0.091448588             -3.3        0.4597431       -5523459.8         31191557        2178696.3 
      0.091448588             -3.5        0.4597431       -4728704.6         16105698        2200712.1 
      0.091448588             -3.7        0.4597431       -4394558.4        1233681.6        1617673.9 
      0.091448588             -3.9        0.4597431       -6306699.2        -47275614       -9131081.8 
      0.091448588             -4.1        0.4597431       -815212.45        -93978813        458257.48 
      0.091448588             -4.3        0.4597431       -222321.85        -94076288        2012439.8 
      0.091448588             -4.5        0.4597431        10114.346        -85442179        2637889.2 
      0.091448588             -4.7        0.4597431        130473.28        -70967312        3099176.6 
      0.091448588             -4.9        0.4597431        205159.71        -45277489        3846164.6 
       0.26042355              4.9       0.38975138        962007.05        -45712164       -4967780.3 
       0.26042355              4.7       0.38975138        1506204.3        -72188833       -4357459.3 
       0.26042355              4.5       0.38975138        2415009.7        -87253633       -4282961.6 
       0.26042355              4.3       0.38975138        3987355.4        -96704809       -4425419.7 
       0.26042355              4.1       0.38975138          7402393        -98234697       -4777818.8 
       0.26042355              3.9       0.38975138         20940374        -50296597        2541684.6 
       0.26042355              3.7       0.38975138         16053267        541033.17       -8075736.3 
       0.26042355              3.5       0.38975138         16506687         15913708       -8844153.1 
       0.26042355              3.3       0.38975138         17443477         31911990         -8647761 
       0.26042355              3.1       0.38975138         16417014         51739968       -6935642.6 
       0.26042355              2.9       0.38975138        7154141.2         38887013        -13886936 
       0.26042355              2.7       0.38975138         17242613         57167136         12076830 
       0.26042355              2.5       0.38975138         12023133    1.7213977e+08         12481199 
       0.26042355              2.3       0.38975138        3368061.3    2.2249969e+08        1978189.7 
       0.26042355              2.1       0.38975138        2749728.4    2.4501629e+08        2810388.1 
       0.26042355              1.9       0.38975138        2509080.1    2.6801242e+08        2994437.2 
       0.26042355              1.7       0.38975138          2742660    2.9256715e+08        3458767.9 
       0.26042355              1.5       0.38975138        2477196.7    3.1779223e+08        2978864.3 
       0.26042355              1.3       0.38975138        1041826.1    3.3282411e+08        719031.45 
       0.26042355              1.1       0.38975138        278434.18    3.3547347e+08       -431205.11 
       0.26042355              0.9       0.38975138         20773.86    3.3318074e+08       -711562.66 
       0.26042355              0.7       0.38975138       -66672.668    3.2980959e+08       -680732.12 
       0.26042355              0.5       0.38975138       -86729.643    3.2671947e+08       -530534.34 
       0.26042355              0.3       0.38975138       -75009.259    3.2444465e+08       -331662.82 
       0.26042355              0.1       0.38975138       -47591.068    3.2321192e+08       -113676.02 
       0.26042355             -0.1       0.38975138       -14283.385    3.2310786e+08        108714.79 
       0.26042355             -0.3       0.38975138        16703.216    3.2413257e+08        324590.01 
       0.26042355             -0.5       0.38975138         35819.66    3.2619982e+08        519174.76 
       0.26042355             -0.7       0.38975138        27561.329    3.2908397e+08        662826.09 
       0.26042355             -0.9       0.38975138        -42639.23    3.3225402e+08         684906.9 
       0.26042355             -1.1       0.38975138       -275665.06    3.3435992e+08        394380.45 
       0.26042355             -1.3       0.38975138       -1002956.6    3.3156674e+08        -763998.3 
       0.26042355             -1.5       0.38975138       -2387778.8    3.1649231e+08       -3028281.7 
       0.26042355             -1.7       0.38975138       -2598120.8    2.9132003e+08       -3531403.6 
       0.26042355             -1.9       0.38975138         -2290008      2.66842e+08         -3111282 
       0.26042355             -2.1       0.38975138       -2397746.7    2.4392861e+08       -3004618.6 
       0.26042355             -2.3       0.38975138       -2724510.5    2.2120805e+08         -2412106 
       0.26042355             -2.5       0.38975138        -10684812    1.7589797e+08        -10666427 
       0.26042355             -2.7       0.38975138        -13834653         85100980       -8416070.9 
       0.26042355             -2.9       0.38975138       -8021937.8         54818749        6930844.6 
       0.26042355             -3.1       0.38975138        -13644122         49058741        6087206.9 
       0.26042355             -3.3       0.38975138        -14695117         31316032        7155160.9 
       0.26042355             -3.5       0.38975138        -13911146         15585152        7430771.7 
       0.26042355             -3.7       0.38975138        -13594496        519308.24        6703481.7 
       0.26042355             -3.9       0.38975138        -18344553        -49456267       -3738255.1 
       0.26042355             -4.1       0.38975138       -6093323.3        -96367052          3936736 
       0.26042355             -4.3       0.38975138       -3153949.8        -95044725        3858294.8 
       0.26042355             -4.5       0.38975138       -1831507.1        -85894871        3870831.6 
       0.26042355             -4.7       0.38975138       -1063187.1        -71143665          4029689 
       0.26042355             -4.9       0.38975138       -583879.37        -45096895          4670350 
       0.38975138              4.9       0.26042355       -595753.14        -45503945       -4898073.6 
       0.38975138              4.7       0.26042355        190845.69        -72628034       -4498309.7 
       0.38975138              4.5       0.26042355        1121704.7        -88247251       -4708175.4 
       0.38975138              4.3       0.26042355        2538865.9        -98730466       -5393931.8 
       0.38975138              4.1       0.26042355        5550425.1    -1.041761e+08       -7310156.7 
       0.38975138              3.9       0.26042355         22506137        -55132121       -5663446.5 
       0.38975138              3.7       0.26042355         13034986        -106207.8        -13207090 
       0.38975138              3.5       0.26042355         13102551         15259888        -13893818 
       0.38975138              3.3       0.26042355         13849293         32562786        -13467418 
       0.38975138              3.1       0.26042355         13321131         55028349        -11354498 
       0.38975138              2.9       0.26042355        1080239.3         44260906        -13531151 
       0.38975138              2.7       0.26042355         21356873         62173396        3920907.7 
