%          X (in)           Y (in)           Z (in)         RealPolX         RealPolY         RealPolZ
            7.775        -3.116623          0.65625        887.00068        4843.3184         105.6601 
            7.575       -3.0364526          0.65625        2120.1733        5967.9598        41.558373 
            7.375       -2.9562823          0.65625        2987.2996        7214.1577        28.117447 
            7.175       -2.8761119          0.65625        3712.3364        8925.6036        24.662028 
            6.975       -2.7959415          0.65625        2101.7193        12695.121        29.225136 
            7.775       -2.9088481          0.65625         551.1418        6327.2458        24.349862 
            7.575       -2.8340225          0.65625        1465.3791        7110.2572       -1.8339389 
            7.375       -2.7591968          0.65625        2041.5747        8171.1331        1.4412704 
            7.175       -2.6843711          0.65625        1898.2496        9638.3929        19.579746 
            6.975       -2.6095454          0.65625        775.06668        10625.284        40.666857 
            7.775       -2.7010733          0.65625        389.67419        7356.0744        14.015408 
            7.575       -2.6315923          0.65625        988.72365        7911.0766        17.274595 
            7.375       -2.5621113          0.65625        1190.8088        8664.7306        26.726285 
            7.175       -2.4926303          0.65625        919.95711        9424.5413        39.269658 
            6.975       -2.4231493          0.65625        294.32042        9714.0381        68.811974 
            7.775       -2.4932984          0.65625        272.50921        8048.1323        52.597207 
            7.575       -2.4291621          0.65625        595.86545        8357.7012        41.280371 
            7.375       -2.3650258          0.65625        650.51603        8796.6476        44.676153 
            7.175       -2.3008895          0.65625        447.28358        9170.3532        55.114074 
            6.975       -2.2367532          0.65625        93.619731        9254.5808        91.876127 
            7.775       -2.2855235          0.65625        197.57038        8427.4573         78.88455 
            7.575       -2.2267319          0.65625        352.54863        8567.3514        57.483575 
            7.375       -2.1679403          0.65625        347.13083        8801.4772        58.336903 
            7.175       -2.1091487          0.65625        203.99876        8990.0366        68.756206 
            6.975       -2.0503571          0.65625       -11.521744        8987.9895        112.31123 
            7.775       -2.0777487          0.65625        156.12416        8610.0254        99.455615 
            7.575       -2.0243018          0.65625        213.85991         8645.107        70.760369 
            7.375       -1.9708549          0.65625        180.70884         8763.241          70.0998 
            7.175       -1.9174079          0.65625        72.656334        8858.4008         81.01158 
            6.975        -1.863961          0.65625       -72.944514        8815.4046        130.79516 
            7.775       -1.8699738          0.65625        137.91708        8674.8027        117.28978 
            7.575       -1.8218716          0.65625        139.37518        8651.3013        82.481123 
            7.375       -1.7737694          0.65625        89.782422        8706.4665        80.729941 
            7.175       -1.7256671          0.65625       -1.5806445        8752.9336        92.327232 
            6.975       -1.6775649          0.65625       -112.52004        8689.9013         147.9117 
            7.775       -1.6621989          0.65625        133.49415        8670.6882        133.61698 
            7.575       -1.6194414          0.65625        101.30903        8616.9242        93.268681 
            7.375       -1.5766839          0.65625        39.953264        8638.5055        90.696841 
            7.175       -1.5339264          0.65625       -45.615558        8659.2676        103.05687 
            6.975       -1.4911688          0.65625       -140.49784        8587.7317        164.04833 
            7.775       -1.4544241          0.65625        136.92144        8625.3274        149.13891 
            7.575       -1.4170112          0.65625        83.272555        8557.7548        103.60461 
            7.375       -1.3795984          0.65625        12.258994        8561.8931        100.22515 
            7.175       -1.3421856          0.65625       -73.296459        8569.1307         113.3053 
            6.975       -1.3047727          0.65625        -162.0016        8496.2038        179.49698 
            7.775       -1.2466492          0.65625         144.4786        8553.6919        164.20791 
            7.575       -1.2145811          0.65625        76.002356        8482.0083        113.59066 
            7.375       -1.1825129          0.65625       -3.3747571        8477.4411        109.46208 
            7.175       -1.1504448          0.65625       -92.177892        8477.9116        123.28216 
            6.975       -1.1183766          0.65625       -179.99318        8408.4942        194.51568 
            7.775       -1.0388743          0.65625        154.44627        8463.5962        179.13475 
            7.575       -1.0121509          0.65625        74.608086        8393.9695         123.4671 
            7.375      -0.98542743          0.65625       -12.480385        8385.5023        118.60595 
            7.175      -0.95870397          0.65625       -106.08446        8383.0295         133.1457 
            6.975      -0.93198052          0.65625       -195.91323        8320.8348        209.28136 
            7.775      -0.83109947          0.65625        165.77222         8359.238        194.08551 
            7.575      -0.80972071          0.65625        76.472229        8295.8465        133.33177 
            7.375      -0.78834194          0.65625        -17.90122        8286.2793        127.70708 
            7.175      -0.76696318          0.65625       -117.22707        8283.0808        142.94197 
            6.975      -0.74558441          0.65625       -210.69056        8231.0477        223.91949 
            7.775       -0.6233246          0.65625        178.04038        8242.7356         209.1772 
            7.575      -0.60729053          0.65625        80.249635        8188.8159        143.27063 
            7.375      -0.59125646          0.65625       -21.295692        8179.7432        136.85941 
            7.175      -0.57522238          0.65625       -126.85914        8177.2371        152.75881 
            6.975      -0.55918831          0.65625       -224.84821        8137.8892        238.56665 
            7.775      -0.41554974          0.65625        190.96053        8115.1259        224.54282 
            7.575      -0.40486035          0.65625        85.120766        8073.4214        153.34353 
            7.375      -0.39417097          0.65625       -23.508516        8065.8243         146.1257 
            7.175      -0.38348159          0.65625       -135.65306         8064.982         162.6822 
            6.975      -0.37279221          0.65625       -238.73702          8040.65        253.31326 
            7.775      -0.20777487          0.65625        204.51572        7976.8191        240.28265 
            7.575      -0.20243018          0.65625        90.753967        7949.8491        163.65397 
            7.375      -0.19708549          0.65625       -25.061061        7944.4364        155.56636 
            7.175      -0.19174079          0.65625       -144.01804        7945.9555        172.76361 
            6.975       -0.1863961          0.65625       -252.54285         7938.889         268.2447 
            7.775   -9.2981178e-16          0.65625        218.63946        7827.8739        256.52292 
            7.575   -1.0338952e-15          0.65625        96.903436        7818.1135        174.24831 
            7.375   -1.0338952e-15          0.65625       -26.170468        7815.4522        165.24781 
            7.175   -1.0130785e-15          0.65625       -152.15102         7819.891        183.06307 
            6.975    -1.047773e-15          0.65625       -266.39868        7832.2967        283.43903 
            7.775       0.20777487          0.65625        233.42367        7668.0864        273.35998 
            7.575       0.20243018          0.65625        103.54307        7678.1252        185.19488 
            7.375       0.19708549          0.65625       -26.971778        7678.7055        175.21854 
            7.175       0.19174079          0.65625       -160.19535        7686.5367        193.63244 
            6.975        0.1863961          0.65625       -280.39568        7720.6355        298.96876 
            7.775       0.41554974          0.65625        248.98816        7497.1306        290.90457 
            7.575       0.40486035          0.65625        110.69214        7529.6381        196.56535 
            7.375       0.39417097          0.65625       -27.545172        7533.9351        185.53027 
            7.175       0.38348159          0.65625       -168.25646        7545.6495        204.52251 
            6.975       0.37279221          0.65625       -294.61163        7603.7094        314.90201 
            7.775        0.6233246          0.65625         265.3757        7314.4802        309.31778 
            7.575       0.60729053          0.65625        118.28076         7372.339        208.43322 
            7.375       0.59125646          0.65625       -27.928496        7380.8422        196.26273 
            7.175       0.57522238          0.65625       -176.39112        7396.9663        215.80591 
            6.975       0.55918831          0.65625       -309.11205         7481.346        331.31153 
            7.775       0.83109947          0.65625        282.75996        7119.4046         328.7704 
            7.575       0.80972071          0.65625        126.31222        7205.8334        220.92785 
            7.375       0.78834194          0.65625       -28.274792        7219.0857        207.49882 
            7.175       0.76696318          0.65625        -184.7291        7240.2489        227.54719 
            6.975       0.74558441          0.65625       -323.95656        7353.4018        348.28823 
            7.775        1.0388743          0.65625        301.21087        6910.8642        349.49377 
            7.575        1.0121509          0.65625        134.61134        7029.5505        234.16531 
            7.375       0.98542743          0.65625       -28.754982         7048.299        219.33366 
            7.175       0.95870397          0.65625       -193.43291        7075.2715        239.84272 
            6.975       0.93198052          0.65625       -339.26656        7219.8009        365.91567 
            7.775        1.2466492          0.65625        320.89809        6687.3548        371.75781 
            7.575        1.2145811          0.65625        142.95848        6842.6463        248.30425 
            7.375        1.1825129          0.65625       -29.813911        6868.0647        231.91103 
            7.175        1.1504448          0.65625       -202.86439         6901.858        252.80818 
            6.975        1.1183766          0.65625       -355.18976        7080.6226         384.3175 
            7.775        1.4544241          0.65625        341.80851        6446.4985        395.93224 
            7.575        1.4170112          0.65625        150.75563         6643.905        263.56116 
            7.375        1.3795984          0.65625        -32.16103        6677.7568        245.35497 
            7.175        1.3421856          0.65625       -213.65859        6719.9435        266.53016 
            6.975        1.3047727          0.65625       -372.00964        6936.2163        403.60874 
